"ple0009","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","West Germany","11041","0.677058472056718","0.669767346386673","0.684349597726762","3"
"No, not limited","2011","East Germany","3188","0.633915101141391","0.620419936137229","0.647410266145553","3"
"Yes, somewhat limited","2011","West Germany","3221","0.213898549645717","0.207504694894245","0.220292404397189","2"
"Yes, somewhat limited","2011","East Germany","1163","0.253031145238078","0.240852191506824","0.265210098969331","2"
"Yes, strongly limited","2011","West Germany","1538","0.109042978297565","0.104182860703719","0.113903095891412","1"
"Yes, strongly limited","2011","East Germany","544","0.113053753620532","0.104182951610748","0.121924555630315","1"
"No, not limited","2012","West Germany","14183","0.633641562327005","0.627139767608552","0.640143357045457","3"
"No, not limited","2012","East Germany","3712","0.579354992479279","0.566903202614485","0.591806782344073","3"
"Yes, somewhat limited","2012","West Germany","5033","0.26159989027327","0.255668957775572","0.267530822770967","2"
"Yes, somewhat limited","2012","East Germany","1662","0.29292985808832","0.281450579219773","0.304409136956867","2"
"Yes, strongly limited","2012","West Germany","1879","0.104758547399725","0.100625949490162","0.108891145309289","1"
"Yes, strongly limited","2012","East Germany","664","0.127715149432401","0.119296316144841","0.136133982719961","1"
"No, not limited","2013","West Germany","17239","0.658224805916462","0.652274498748237","0.664175113084687","3"
"No, not limited","2013","East Germany","3885","0.615298658236659","0.603052238472448","0.627545078000871","3"
"Yes, somewhat limited","2013","West Germany","5180","0.236898984064138","0.231564964445435","0.242233003682841","2"
"Yes, somewhat limited","2013","East Germany","1558","0.267046283858005","0.255910113863319","0.278182453852692","2"
"Yes, strongly limited","2013","West Germany","1989","0.1048762100194","0.101032398926113","0.108720021112688","1"
"Yes, strongly limited","2013","East Germany","620","0.117655057905335","0.109544909373046","0.125765206437624","1"
"No, not limited","2014","West Germany","","","","","3"
"No, not limited","2014","East Germany","","","","","3"
"Yes, somewhat limited","2014","West Germany","","","","","2"
"Yes, somewhat limited","2014","East Germany","","","","","2"
"Yes, strongly limited","2014","West Germany","","","","","1"
"Yes, strongly limited","2014","East Germany","","","","","1"
"No, not limited","2015","West Germany","14716","0.648677116336118","0.642248283737186","0.65510594893505","3"
"No, not limited","2015","East Germany","3324","0.596728560381632","0.583563928173913","0.609893192589351","3"
"Yes, somewhat limited","2015","West Germany","4692","0.242609533882965","0.23683684093382","0.24838222683211","2"
"Yes, somewhat limited","2015","East Germany","1439","0.282654077051032","0.270569998780756","0.294738155321307","2"
"Yes, strongly limited","2015","West Germany","1774","0.108713349780917","0.104521412763057","0.112905286798777","1"
"Yes, strongly limited","2015","East Germany","571","0.120617362567336","0.111877281867695","0.129357443266977","1"
"No, not limited","2016","West Germany","2835","0.809638013316645","0.796788741748871","0.822487284884419","3"
"No, not limited","2016","East Germany","579","0.787358919772849","0.75847668041389","0.816241159131807","3"
"Yes, somewhat limited","2016","West Germany","563","0.13961761891475","0.128273812249535","0.150961425579964","2"
"Yes, somewhat limited","2016","East Germany","136","0.151343443132834","0.126046462249087","0.176640424016581","2"
"Yes, strongly limited","2016","West Germany","188","0.0507443677686058","0.0435609940288123","0.0579277415083993","1"
"Yes, strongly limited","2016","East Germany","56","0.0612976370943174","0.0443656969576233","0.0782295772310115","1"
"No, not limited","2017","West Germany","16432","0.646052091844321","0.639935989480844","0.652168194207799","3"
"No, not limited","2017","East Germany","3767","0.61613841861219","0.603699531214318","0.628577306010063","3"
"Yes, somewhat limited","2017","West Germany","5146","0.252228343265553","0.246673743832372","0.257782942698735","2"
"Yes, somewhat limited","2017","East Germany","1535","0.274104168078575","0.262695103491516","0.285513232665633","2"
"Yes, strongly limited","2017","West Germany","1905","0.101719564890125","0.0978534075965457","0.105585722183705","1"
"Yes, strongly limited","2017","East Germany","570","0.109757413309235","0.10176227129829","0.117752555320181","1"
"No, not limited","2018","West Germany","297","0.782434707343229","0.740731156976728","0.82413825770973","3"
"No, not limited","2018","East Germany","37","0.820228211816541","0.711596757708354","0.928859665924728","3"
"Yes, somewhat limited","2018","West Germany","57","0.168181107816465","0.130375418337699","0.20598679729523","2"
"Yes, somewhat limited","2018","East Germany","10","","","","2"
"Yes, strongly limited","2018","West Germany","22","","","","1"
"Yes, strongly limited","2018","East Germany","1","","","","1"
"No, not limited","2019","West Germany","16185","0.640876432743484","0.634735139091779","0.647017726395188","3"
"No, not limited","2019","East Germany","3768","0.58225661646487","0.569829155437395","0.594684077492344","3"
"Yes, somewhat limited","2019","West Germany","5313","0.254589192531438","0.249012604213698","0.260165780849177","2"
"Yes, somewhat limited","2019","East Germany","1706","0.308325215898821","0.29668862148739","0.319961810310252","2"
"Yes, strongly limited","2019","West Germany","1944","0.104534374725078","0.100617814738543","0.108450934711613","1"
"Yes, strongly limited","2019","East Germany","576","0.109418167636309","0.101552202119452","0.117284133153166","1"
