"ple0009","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","16-34 y.","1-pers.-HH","5","","",""
"Yes, strongly limited","2011","16-34 y.","(Married) couple without C. ","21","","",""
"Yes, strongly limited","2011","16-34 y.","Single parent ","9","","",""
"Yes, strongly limited","2011","16-34 y.","Couple + C. LE 16 ","9","","",""
"Yes, strongly limited","2011","16-34 y.","Couple + C. GT 16 ","19","","",""
"Yes, strongly limited","2011","16-34 y.","Couple + C. LE and GT 16","6","","",""
"Yes, strongly limited","2011","35-65 y.","1-pers.-HH","201","0.131301418570634","0.114100967861549","0.148501869279719"
"Yes, strongly limited","2011","35-65 y.","(Married) couple without C. ","398","0.0974978771840736","0.088216652472488","0.106779101895659"
"Yes, strongly limited","2011","35-65 y.","Single parent ","61","0.100747180324376","0.0773730355825273","0.124121325066226"
"Yes, strongly limited","2011","35-65 y.","Couple + C. LE 16 ","87","0.0406998114915889","0.032596295285458","0.0488033276977199"
"Yes, strongly limited","2011","35-65 y.","Couple + C. GT 16 ","150","0.0834990210208443","0.071079815866774","0.0959182261749145"
"Yes, strongly limited","2011","35-65 y.","Couple + C. LE and GT 16","47","0.0578924945464215","0.0420804712601903","0.0737045178326527"
"Yes, strongly limited","2011","66 and older","1-pers.-HH","350","0.26152454303599","0.238683151838333","0.284365934233648"
"Yes, strongly limited","2011","66 and older","(Married) couple without C. ","598","0.190644725705161","0.177307128652383","0.203982322757939"
"Yes, strongly limited","2011","66 and older","Single parent ","18","","",""
"Yes, strongly limited","2011","66 and older","Couple + C. LE 16 ","2","","",""
"Yes, strongly limited","2011","66 and older","Couple + C. GT 16 ","28","","",""
"Yes, strongly limited","2011","66 and older","Couple + C. LE and GT 16","","","",""
"Yes, somewhat limited","2011","16-34 y.","1-pers.-HH","56","0.0877670734132497","0.0657936838512344","0.109740462975265"
"Yes, somewhat limited","2011","16-34 y.","(Married) couple without C. ","76","0.0748388620776431","0.0569699600015181","0.092707764153768"
"Yes, somewhat limited","2011","16-34 y.","Single parent ","48","0.130072665997437","0.0987484119684435","0.161396920026432"
"Yes, somewhat limited","2011","16-34 y.","Couple + C. LE 16 ","68","0.0858485905615243","0.0665444939900927","0.105152687132956"
