"ple0009","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"No, not limited","2015","Employed","Urban Area","8234","0.761344838727805","0.753289221653474","0.769400455802136"
"No, not limited","2015","Employed","Rural Area","4217","0.731948816537409","0.720371357042733","0.743526276032084"
"Yes, strongly limited","2016","Not Employed","Urban Area","148","0.051253715480518","0.0433070171445821","0.0592004138164539"
"Yes, strongly limited","2016","Not Employed","Rural Area","94","0.0550258746823315","0.0429861399553964","0.0670656094092666"
"Yes, strongly limited","2016","Employed","Urban Area","","","",""
"Yes, strongly limited","2016","Employed","Rural Area","","","",""
"Yes, somewhat limited","2016","Not Employed","Urban Area","468","0.138881456289459","0.126419029849003","0.151343882729914"
"Yes, somewhat limited","2016","Not Employed","Rural Area","227","0.146881611900673","0.128191502279945","0.165571721521401"
"Yes, somewhat limited","2016","Employed","Urban Area","","","",""
"Yes, somewhat limited","2016","Employed","Rural Area","","","",""
"No, not limited","2016","Not Employed","Urban Area","2342","0.809864828230023","0.79572362036746","0.824006036092587"
"No, not limited","2016","Not Employed","Rural Area","1057","0.798092513416995","0.77689786035399","0.819287166480001"
"No, not limited","2016","Employed","Urban Area","","","",""
"No, not limited","2016","Employed","Rural Area","","","",""
"Yes, strongly limited","2017","Not Employed","Urban Area","1062","0.207243318344103","0.19807730414434","0.216409332543866"
"Yes, strongly limited","2017","Not Employed","Rural Area","670","0.228782479385761","0.215474298821066","0.242090659950456"
"Yes, strongly limited","2017","Employed","Urban Area","455","0.0368644796118243","0.0334485637456644","0.0402803954779842"
"Yes, strongly limited","2017","Employed","Rural Area","288","0.0504190611237676","0.0450275246807935","0.0558105975667417"
"Yes, somewhat limited","2017","Not Employed","Urban Area","1976","0.335076000147623","0.324401981258032","0.345750019037214"
"Yes, somewhat limited","2017","Not Employed","Rural Area","1129","0.357225443819592","0.342043779284091","0.372407108355092"
"Yes, somewhat limited","2017","Employed","Urban Area","2221","0.200859979547523","0.193596954214147","0.2081230048809"
"Yes, somewhat limited","2017","Employed","Rural Area","1355","0.223417279013965","0.213153638921681","0.23368091910625"
"No, not limited","2017","Not Employed","Urban Area","4474","0.457680681508274","0.446414438107533","0.468946924909014"
"No, not limited","2017","Not Employed","Rural Area","2028","0.413992076794647","0.398386974545784","0.429597179043511"
"No, not limited","2017","Employed","Urban Area","9013","0.762275540840652","0.754558472645411","0.769992609035894"
"No, not limited","2017","Employed","Rural Area","4684","0.726163659862267","0.715175828881355","0.73715149084318"
"Yes, strongly limited","2018","Not Employed","Urban Area","16","","",""
"Yes, strongly limited","2018","Not Employed","Rural Area","7","","",""
"Yes, strongly limited","2018","Employed","Urban Area","","","",""
"Yes, strongly limited","2018","Employed","Rural Area","","","",""
"Yes, somewhat limited","2018","Not Employed","Urban Area","39","0.175442974591906","0.129906538956283","0.220979410227529"
"Yes, somewhat limited","2018","Not Employed","Rural Area","28","","",""
"Yes, somewhat limited","2018","Employed","Urban Area","","","",""
"Yes, somewhat limited","2018","Employed","Rural Area","","","",""
"No, not limited","2018","Not Employed","Urban Area","213","0.779104309115742","0.72943682984682","0.828771788384663"
"No, not limited","2018","Not Employed","Rural Area","121","0.804693488767075","0.742483604043235","0.866903373490914"
"No, not limited","2018","Employed","Urban Area","","","",""
"No, not limited","2018","Employed","Rural Area","","","",""
"Yes, strongly limited","2019","Not Employed","Urban Area","1047","0.214086931445756","0.20436043357366","0.223813429317851"
"Yes, strongly limited","2019","Not Employed","Rural Area","615","0.224781374020768","0.211196157222445","0.23836659081909"
"Yes, strongly limited","2019","Employed","Urban Area","420","0.0416439170848198","0.0379462618262158","0.0453415723434239"
"Yes, strongly limited","2019","Employed","Rural Area","269","0.0464940260212832","0.0412732162780588","0.0517148357645077"
"Yes, somewhat limited","2019","Not Employed","Urban Area","1808","0.326477558978813","0.315358273904304","0.337596844053322"
"Yes, somewhat limited","2019","Not Employed","Rural Area","1201","0.400638161501918","0.384690573245245","0.41658574975859"
"Yes, somewhat limited","2019","Employed","Urban Area","2248","0.206110351831345","0.198623191181009","0.21359751248168"
"Yes, somewhat limited","2019","Employed","Rural Area","1360","0.236331322756637","0.225797385860045","0.246865259653229"
"No, not limited","2019","Not Employed","Urban Area","3977","0.459435509575431","0.447618428960121","0.471252590190742"
"No, not limited","2019","Not Employed","Rural Area","1811","0.374580464477315","0.35882857715571","0.390332351798919"
"No, not limited","2019","Employed","Urban Area","8545","0.752245731083836","0.744255163685424","0.760236298482247"
"No, not limited","2019","Employed","Rural Area","4619","0.71717465122208","0.706007324776544","0.728341977667615"
