"ple0009","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Urban Area","Male","562","0.0940930843244685","0.0868905516720699","0.101295616976867"
"Yes, strongly limited","2011","Urban Area","Female","726","0.119613712350614","0.112106590181122","0.127120834520106"
"Yes, strongly limited","2011","Rural Area","Male","367","0.107842268208636","0.0974949447326972","0.118189591684574"
"Yes, strongly limited","2011","Rural Area","Female","427","0.122712021982926","0.112214822413768","0.133209221552084"
"Yes, somewhat limited","2011","Urban Area","Male","1225","0.195366484899723","0.185585362665941","0.205147607133504"
"Yes, somewhat limited","2011","Urban Area","Female","1587","0.240627981292983","0.230739110033637","0.25051685255233"
"Yes, somewhat limited","2011","Rural Area","Male","700","0.202297002956157","0.188896286018266","0.215697719894047"
"Yes, somewhat limited","2011","Rural Area","Female","872","0.250038050132082","0.236183849414671","0.263892250849492"
"No, not limited","2011","Urban Area","Male","4525","0.710540430775809","0.699352418116159","0.721728443435459"
"No, not limited","2011","Urban Area","Female","4865","0.639758306356403","0.628652468755731","0.650864143957075"
"No, not limited","2011","Rural Area","Male","2385","0.689860728835208","0.67443052049726","0.705290937173155"
"No, not limited","2011","Rural Area","Female","2454","0.627249927884992","0.611780010767139","0.642719845002846"
"Yes, strongly limited","2012","Urban Area","Male","689","0.0937650767886357","0.0873100617051284","0.100220091872143"
"Yes, strongly limited","2012","Urban Area","Female","886","0.114554492236812","0.108172967023236","0.120936017450388"
"Yes, strongly limited","2012","Rural Area","Male","424","0.105938062487237","0.0969049135499161","0.114971211424558"
"Yes, strongly limited","2012","Rural Area","Female","544","0.129749914894072","0.120679315883098","0.138820513905047"
"Yes, somewhat limited","2012","Urban Area","Male","1745","0.235677612671229","0.226279216178522","0.245076009163936"
"Yes, somewhat limited","2012","Urban Area","Female","2438","0.285322207743428","0.27627404425389","0.294370371232965"
"Yes, somewhat limited","2012","Rural Area","Male","1093","0.268844232142009","0.255831015145517","0.281857449138502"
"Yes, somewhat limited","2012","Rural Area","Female","1419","0.290073719824155","0.2778241395241","0.30232330012421"
"No, not limited","2012","Urban Area","Male","5400","0.670557310540135","0.660149384543814","0.680965236536457"
"No, not limited","2012","Urban Area","Female","6244","0.60012330001976","0.590307610748436","0.609938989291084"
"No, not limited","2012","Rural Area","Male","2942","0.625217705370754","0.61100965389536","0.639425756846148"
"No, not limited","2012","Rural Area","Female","3309","0.580176365281772","0.566854229712057","0.593498500851487"
"Yes, strongly limited","2013","Urban Area","Male","695","0.089025247233266","0.0832022395598312","0.0948482549067007"
"Yes, strongly limited","2013","Urban Area","Female","975","0.118657031420013","0.112626645230953","0.124687417609074"
"Yes, strongly limited","2013","Rural Area","Male","423","0.100727203750999","0.0921365471454361","0.109317860356563"
"Yes, strongly limited","2013","Rural Area","Female","516","0.125206589494438","0.116476764010116","0.133936414978761"
"Yes, somewhat limited","2013","Urban Area","Male","1836","0.214622394010814","0.206227516338673","0.223017271682954"
"Yes, somewhat limited","2013","Urban Area","Female","2485","0.255662947568537","0.247528189731283","0.263797705405791"
"Yes, somewhat limited","2013","Rural Area","Male","1052","0.242387983968496","0.230156301093441","0.25461966684355"
"Yes, somewhat limited","2013","Rural Area","Female","1365","0.269349071511193","0.257647291504812","0.281050851517574"
"No, not limited","2013","Urban Area","Male","6657","0.69635235875592","0.686949994347193","0.705754723164648"
"No, not limited","2013","Urban Area","Female","7587","0.62568002101145","0.616655512442403","0.634704529580496"
"No, not limited","2013","Rural Area","Male","3240","0.656884812280505","0.643333797345171","0.670435827215839"
"No, not limited","2013","Rural Area","Female","3640","0.605444338994369","0.592552037050947","0.618336640937791"
"Yes, strongly limited","2014","Urban Area","Male","","","",""
"Yes, strongly limited","2014","Urban Area","Female","","","",""
"Yes, strongly limited","2014","Rural Area","Male","","","",""
"Yes, strongly limited","2014","Rural Area","Female","","","",""
"Yes, somewhat limited","2014","Urban Area","Male","","","",""
"Yes, somewhat limited","2014","Urban Area","Female","","","",""
"Yes, somewhat limited","2014","Rural Area","Male","","","",""
"Yes, somewhat limited","2014","Rural Area","Female","","","",""
"No, not limited","2014","Urban Area","Male","","","",""
"No, not limited","2014","Urban Area","Female","","","",""
"No, not limited","2014","Rural Area","Male","","","",""
"No, not limited","2014","Rural Area","Female","","","",""
"Yes, strongly limited","2015","Urban Area","Male","626","0.0984169563906135","0.0918956566798153","0.104938256101412"
"Yes, strongly limited","2015","Urban Area","Female","864","0.122109042067231","0.115519632252183","0.128698451882278"
"Yes, strongly limited","2015","Rural Area","Male","382","0.104092694257262","0.0948239323265161","0.113361456188007"
"Yes, strongly limited","2015","Rural Area","Female","473","0.118402110301861","0.109306610398016","0.127497610205705"
"Yes, somewhat limited","2015","Urban Area","Male","1623","0.213010427473999","0.204046852638872","0.221974002309126"
