"ple0009","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","Not Employed","Male","1775","0.497680843198059","0.480871999402201","0.514489686993917","3"
"No, not limited","2011","Not Employed","Female","2391","0.464064309867785","0.449754918958462","0.478373700777107","3"
"No, not limited","2011","Employed","Male","5135","0.804976585504853","0.795242752547525","0.81471041846218","3"
"No, not limited","2011","Employed","Female","4928","0.772026596661898","0.761638265736827","0.782414927586969","3"
"Yes, somewhat limited","2011","Not Employed","Male","965","0.296397089663172","0.281044795268857","0.311749384057488","2"
"Yes, somewhat limited","2011","Not Employed","Female","1396","0.320328025995071","0.306939804964043","0.333716247026099","2"
"Yes, somewhat limited","2011","Employed","Male","960","0.14916813935701","0.140416109400618","0.157920169313402","2"
"Yes, somewhat limited","2011","Employed","Female","1063","0.182735282810065","0.173165983621276","0.192304581998855","2"
"Yes, strongly limited","2011","Not Employed","Male","659","0.205922067138768","0.192327808856217","0.21951632542132","1"
"Yes, strongly limited","2011","Not Employed","Female","879","0.215607664137144","0.203807868333926","0.227407459940363","1"
"Yes, strongly limited","2011","Employed","Male","270","0.0458552751381374","0.0407166058838409","0.0509939443924338","1"
"Yes, strongly limited","2011","Employed","Female","274","0.045238120528037","0.0400919121749808","0.0503843288810931","1"
"No, not limited","2012","Not Employed","Female","2949","0.420983653582137","0.408356771657264","0.43361053550701","3"
"No, not limited","2012","Not Employed","Male","1716","0.423513723808806","0.40775357445971","0.439273873157902","3"
"No, not limited","2012","Employed","Male","6626","0.766881917551609","0.757902317428438","0.775861517674779","3"
"No, not limited","2012","Employed","Female","6604","0.724879789575366","0.715636666213972","0.73412291293676","3"
"Yes, somewhat limited","2012","Not Employed","Male","1261","0.352947278976507","0.33770475625156","0.368189801701453","2"
"Yes, somewhat limited","2012","Not Employed","Female","1866","0.357869400319901","0.345609355541997","0.370129445097805","2"
"Yes, somewhat limited","2012","Employed","Male","1577","0.195460920654752","0.187039054995754","0.20388278631375","2"
