"ple0009","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","16-34 y.","(0) in school","2","","",""
"Yes, strongly limited","2011","16-34 y.","(1a) inadequately completed","3","","",""
"Yes, strongly limited","2011","16-34 y.","(1b) general elementary school","9","","",""
"Yes, strongly limited","2011","16-34 y.","(1c) basic vocational qualification","6","","",""
"Yes, strongly limited","2011","16-34 y.","(2b) intermediate general qualification","6","","",""
"Yes, strongly limited","2011","16-34 y.","(2a) intermediate vocational","15","","",""
"Yes, strongly limited","2011","16-34 y.","(2c_gen) general maturity certificate","7","","",""
"Yes, strongly limited","2011","16-34 y.","(2c_voc) vocational maturity certificate","5","","",""
"Yes, strongly limited","2011","16-34 y.","(3a) lower tertiary education","","","",""
"Yes, strongly limited","2011","16-34 y.","(3b) higher tertiary education","5","","",""
"Yes, strongly limited","2011","35-65 y.","(0) in school","","","",""
"Yes, strongly limited","2011","35-65 y.","(1a) inadequately completed","21","","",""
"Yes, strongly limited","2011","35-65 y.","(1b) general elementary school","100","0.163868099891465","0.13534606176168","0.19239013802125"
"Yes, strongly limited","2011","35-65 y.","(1c) basic vocational qualification","348","0.122767874064782","0.110799114898595","0.134736633230969"
"Yes, strongly limited","2011","35-65 y.","(2b) intermediate general qualification","14","","",""
"Yes, strongly limited","2011","35-65 y.","(2a) intermediate vocational","272","0.0847792083870103","0.0754829302018242","0.0940754865721965"
"Yes, strongly limited","2011","35-65 y.","(2c_gen) general maturity certificate","9","","",""
"Yes, strongly limited","2011","35-65 y.","(2c_voc) vocational maturity certificate","59","0.0673431075736977","0.051270653941333","0.0834155612060624"
"Yes, strongly limited","2011","35-65 y.","(3a) lower tertiary education","64","0.0498073373499285","0.0368268837934693","0.0627877909063877"
"Yes, strongly limited","2011","35-65 y.","(3b) higher tertiary education","77","0.0484986272842899","0.0384368557756232","0.0585603987929565"
"Yes, strongly limited","2011","66 and older","(0) in school","","","",""
"Yes, strongly limited","2011","66 and older","(1a) inadequately completed","20","","",""
"Yes, strongly limited","2011","66 and older","(1b) general elementary school","209","0.293061466996652","0.260701245790518","0.325421688202786"
"Yes, strongly limited","2011","66 and older","(1c) basic vocational qualification","487","0.233615381300511","0.215853296020277","0.251377466580745"
"Yes, strongly limited","2011","66 and older","(2b) intermediate general qualification","16","","",""
"Yes, strongly limited","2011","66 and older","(2a) intermediate vocational","117","0.16607823335636","0.138529090243958","0.193627376468762"
"Yes, strongly limited","2011","66 and older","(2c_gen) general maturity certificate","8","","",""
"Yes, strongly limited","2011","66 and older","(2c_voc) vocational maturity certificate","43","0.237447905871755","0.178475068428374","0.296420743315136"
"Yes, strongly limited","2011","66 and older","(3a) lower tertiary education","64","0.179854805202146","0.144330031868743","0.21537957853555"
"Yes, strongly limited","2011","66 and older","(3b) higher tertiary education","62","0.109133354092586","0.0849574478335845","0.133309260351587"
"Yes, somewhat limited","2011","16-34 y.","(0) in school","18","","",""
"Yes, somewhat limited","2011","16-34 y.","(1a) inadequately completed","3","","",""
"Yes, somewhat limited","2011","16-34 y.","(1b) general elementary school","29","","",""
"Yes, somewhat limited","2011","16-34 y.","(1c) basic vocational qualification","40","0.121168136947101","0.0889055692986208","0.153430704595582"
"Yes, somewhat limited","2011","16-34 y.","(2b) intermediate general qualification","32","0.0870528690341658","0.0564974268359346","0.117608311232397"
"Yes, somewhat limited","2011","16-34 y.","(2a) intermediate vocational","73","0.0791580746850212","0.0606223555535972","0.0976937938164452"
"Yes, somewhat limited","2011","16-34 y.","(2c_gen) general maturity certificate","49","0.0651215746532885","0.046424440353691","0.083818708952886"
"Yes, somewhat limited","2011","16-34 y.","(2c_voc) vocational maturity certificate","43","0.10734799270239","0.078390971251118","0.136305014153663"
"Yes, somewhat limited","2011","16-34 y.","(3a) lower tertiary education","16","","",""
"Yes, somewhat limited","2011","16-34 y.","(3b) higher tertiary education","27","","",""
"Yes, somewhat limited","2011","35-65 y.","(0) in school","","","",""
"Yes, somewhat limited","2011","35-65 y.","(1a) inadequately completed","46","0.345028003626823","0.265425569862932","0.424630437390714"
