"ple0009","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","1-pers.-HH","Urban Area","362","0.15488431164077","0.140502373763553","0.169266249517988"
"Yes, strongly limited","2011","1-pers.-HH","Rural Area","194","0.157474513261918","0.136036774273434","0.178912252250401"
"Yes, strongly limited","2011","(Married) couple without C. ","Urban Area","622","0.121213413380823","0.112332346152457","0.130094480609188"
"Yes, strongly limited","2011","(Married) couple without C. ","Rural Area","395","0.134382008951052","0.121970976007381","0.146793041894723"
"Yes, strongly limited","2011","Single parent ","Urban Area","60","0.0764980879743733","0.0578691153656168","0.0951270605831298"
"Yes, strongly limited","2011","Single parent ","Rural Area","28","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","Urban Area","59","0.0287898553557466","0.0215425296205309","0.0360371810909623"
"Yes, strongly limited","2011","Couple + C. LE 16 ","Rural Area","39","0.0446878751106022","0.0322200885616363","0.0571556616595681"
"Yes, strongly limited","2011","Couple + C. GT 16 ","Urban Area","116","0.0589751448454889","0.048694267040961","0.0692560226500169"
"Yes, strongly limited","2011","Couple + C. GT 16 ","Rural Area","81","0.0662857160954251","0.0519568841586003","0.08061454803225"
"Yes, strongly limited","2011","Couple + C. LE and GT 16","Urban Area","27","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","Rural Area","26","","",""
"Yes, somewhat limited","2011","1-pers.-HH","Urban Area","608","0.242743741463763","0.225700544304155","0.259786938623371"
"Yes, somewhat limited","2011","1-pers.-HH","Rural Area","295","0.252162139567099","0.226604191553335","0.277720087580863"
"Yes, somewhat limited","2011","(Married) couple without C. ","Urban Area","1324","0.253836066086297","0.241993606855395","0.2656785253172"
"Yes, somewhat limited","2011","(Married) couple without C. ","Rural Area","777","0.269199846002456","0.253059570435303","0.285340121569609"
"Yes, somewhat limited","2011","Single parent ","Urban Area","148","0.198843545913311","0.170869252101783","0.226817839724839"
"Yes, somewhat limited","2011","Single parent ","Rural Area","66","0.185756405029352","0.146550519699119","0.224962290359586"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","Urban Area","241","0.127965250447285","0.113487057634078","0.142443443260492"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","Rural Area","126","0.140272628906574","0.119317578677781","0.161227679135366"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","Urban Area","351","0.181377886129315","0.164561640353436","0.198194131905195"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","Rural Area","205","0.171021123793545","0.1493345761172","0.19270767146989"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","Urban Area","95","0.116225603535499","0.0937770262126866","0.138674180858311"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","Rural Area","63","0.111240255261963","0.0818940485433121","0.140586461980615"
"No, not limited","2011","1-pers.-HH","Urban Area","1461","0.602371946895467","0.582917159504549","0.621826734286384"
"No, not limited","2011","1-pers.-HH","Rural Area","620","0.590363347170983","0.561420489058746","0.61930620528322"
"No, not limited","2011","(Married) couple without C. ","Urban Area","3242","0.62495052053288","0.61177659488823","0.63812444617753"
"No, not limited","2011","(Married) couple without C. ","Rural Area","1729","0.596418145046491","0.578564969862293","0.61427132023069"
"No, not limited","2011","Single parent ","Urban Area","574","0.724658366112316","0.693350943746189","0.755965788478443"
"No, not limited","2011","Single parent ","Rural Area","284","0.751853494772024","0.708310039926164","0.795396949617884"
"No, not limited","2011","Couple + C. LE 16 ","Urban Area","1745","0.843244894196968","0.8274873279106","0.859002460483337"
"No, not limited","2011","Couple + C. LE 16 ","Rural Area","890","0.815039495982824","0.791610661261177","0.838468330704471"
"No, not limited","2011","Couple + C. GT 16 ","Urban Area","1550","0.759646969025196","0.740999244359877","0.778294693690515"
"No, not limited","2011","Couple + C. GT 16 ","Rural Area","872","0.76269316011103","0.738189900286646","0.787196419935413"
"No, not limited","2011","Couple + C. LE and GT 16","Urban Area","661","0.84141434761048","0.815828246418175","0.867000448802785"
"No, not limited","2011","Couple + C. LE and GT 16","Rural Area","352","0.812815606345062","0.776410724019707","0.849220488670417"
"Yes, strongly limited","2012","1-pers.-HH","Urban Area","396","0.155411554220752","0.141209789728771","0.169613318712734"
"Yes, strongly limited","2012","1-pers.-HH","Rural Area","224","0.165922616810553","0.14478623832965","0.187058995291456"
"Yes, strongly limited","2012","(Married) couple without C. ","Urban Area","654","0.126623523731111","0.11746157483376","0.135785472628462"
"Yes, strongly limited","2012","(Married) couple without C. ","Rural Area","452","0.154705268297583","0.141629150386802","0.167781386208363"
"Yes, strongly limited","2012","Single parent ","Urban Area","158","0.098954489739432","0.0851138727968191","0.112795106682045"
"Yes, strongly limited","2012","Single parent ","Rural Area","71","0.0751684176071686","0.0585416220073834","0.0917952132069539"
"Yes, strongly limited","2012","Couple + C. LE 16 ","Urban Area","166","0.0310520383027939","0.026064835395434","0.0360392412101539"
"Yes, strongly limited","2012","Couple + C. LE 16 ","Rural Area","80","0.0309070131361681","0.0242211872340797","0.0375928390382566"
"Yes, strongly limited","2012","Couple + C. GT 16 ","Urban Area","91","0.0443433541377972","0.0351113366256356","0.0535753716499588"
"Yes, strongly limited","2012","Couple + C. GT 16 ","Rural Area","71","0.0650608966254648","0.0503244206782533","0.0797973725726762"
"Yes, strongly limited","2012","Couple + C. LE and GT 16","Urban Area","67","0.055672736559268","0.0428432771082188","0.0685021960103171"
"Yes, strongly limited","2012","Couple + C. LE and GT 16","Rural Area","28","","",""
"Yes, somewhat limited","2012","1-pers.-HH","Urban Area","731","0.301316496204721","0.283330695128789","0.319302297280654"
"Yes, somewhat limited","2012","1-pers.-HH","Rural Area","383","0.322455144010417","0.295898188179762","0.349012099841072"
"Yes, somewhat limited","2012","(Married) couple without C. ","Urban Area","1596","0.307401499960653","0.29468921302936","0.320113786891946"
"Yes, somewhat limited","2012","(Married) couple without C. ","Rural Area","991","0.323551925731638","0.306635390320628","0.340468461142648"
"Yes, somewhat limited","2012","Single parent ","Urban Area","397","0.213307418673235","0.194319828856339","0.232295008490131"
"Yes, somewhat limited","2012","Single parent ","Rural Area","233","0.20555842438504","0.180074978690483","0.231041870079597"
"Yes, somewhat limited","2012","Couple + C. LE 16 ","Urban Area","751","0.156843852169567","0.146388238920412","0.167299465418722"
"Yes, somewhat limited","2012","Couple + C. LE 16 ","Rural Area","417","0.183859452883177","0.168894709329712","0.198824196436641"
"Yes, somewhat limited","2012","Couple + C. GT 16 ","Urban Area","416","0.218989232367962","0.200442333718819","0.237536131017106"
"Yes, somewhat limited","2012","Couple + C. GT 16 ","Rural Area","257","0.241456768956353","0.215885527304628","0.267028010608079"
"Yes, somewhat limited","2012","Couple + C. LE and GT 16","Urban Area","228","0.199859094079501","0.177483683988397","0.222234504170604"
"Yes, somewhat limited","2012","Couple + C. LE and GT 16","Rural Area","168","0.211915000543659","0.182879912785513","0.240950088301805"
"No, not limited","2012","1-pers.-HH","Urban Area","1373","0.543271949574526","0.523745846830076","0.562798052318976"
"No, not limited","2012","1-pers.-HH","Rural Area","583","0.51162223917903","0.483221656060119","0.540022822297941"
"No, not limited","2012","(Married) couple without C. ","Urban Area","2811","0.565974976308236","0.552320158115957","0.579629794500515"
"No, not limited","2012","(Married) couple without C. ","Rural Area","1495","0.521742805970779","0.503680167653022","0.539805444288537"
"No, not limited","2012","Single parent ","Urban Area","1233","0.687738091587334","0.666258037124771","0.709218146049896"
"No, not limited","2012","Single parent ","Rural Area","662","0.719273158007792","0.690936513317817","0.747609802697767"
"No, not limited","2012","Couple + C. LE 16 ","Urban Area","3730","0.812104109527639","0.800872907235093","0.823335311820185"
"No, not limited","2012","Couple + C. LE 16 ","Rural Area","2077","0.785233533980655","0.769369030866844","0.801098037094466"
"No, not limited","2012","Couple + C. GT 16 ","Urban Area","1403","0.73666741349424","0.716915033156707","0.756419793831773"
"No, not limited","2012","Couple + C. GT 16 ","Rural Area","748","0.693482334418182","0.665934503340098","0.721030165496266"
"No, not limited","2012","Couple + C. LE and GT 16","Urban Area","932","0.744468169361231","0.720063587015609","0.768872751706854"
"No, not limited","2012","Couple + C. LE and GT 16","Rural Area","565","0.741972147231348","0.710884857690551","0.773059436772146"
"Yes, strongly limited","2013","1-pers.-HH","Urban Area","392","0.160843975277191","0.146976036852839","0.174711913701544"
"Yes, strongly limited","2013","1-pers.-HH","Rural Area","208","0.165231349624927","0.144218412620657","0.186244286629197"
"Yes, strongly limited","2013","(Married) couple without C. ","Urban Area","629","0.119718329474327","0.111067041793118","0.128369617155535"
"Yes, strongly limited","2013","(Married) couple without C. ","Rural Area","394","0.129094855001734","0.117096343869019","0.141093366134448"
"Yes, strongly limited","2013","Single parent ","Urban Area","155","0.0806822525220214","0.0686649670559112","0.0926995379881317"
"Yes, strongly limited","2013","Single parent ","Rural Area","70","0.0884494596137347","0.0706263387756741","0.106272580451795"
"Yes, strongly limited","2013","Couple + C. LE 16 ","Urban Area","194","0.0328550499622196","0.0281581143563012","0.037551985568138"
"Yes, strongly limited","2013","Couple + C. LE 16 ","Rural Area","100","0.043160502291977","0.0354188455229938","0.0509021590609601"
"Yes, strongly limited","2013","Couple + C. GT 16 ","Urban Area","138","0.057328784145965","0.0477571822519502","0.0669003860399797"
"Yes, strongly limited","2013","Couple + C. GT 16 ","Rural Area","79","0.0763766435888885","0.0608494605238506","0.0919038266539265"
"Yes, strongly limited","2013","Couple + C. LE and GT 16","Urban Area","81","0.0611166355929114","0.0494698266893627","0.0727634444964601"
"Yes, strongly limited","2013","Couple + C. LE and GT 16","Rural Area","47","0.0432244605951723","0.0301191581612336","0.056329763029111"
"Yes, somewhat limited","2013","1-pers.-HH","Urban Area","713","0.26555380423256","0.248883466304821","0.2822241421603"
"Yes, somewhat limited","2013","1-pers.-HH","Rural Area","345","0.283820983556748","0.258312155024372","0.309329812089124"
"Yes, somewhat limited","2013","(Married) couple without C. ","Urban Area","1515","0.284775013252642","0.272747886725237","0.296802139780048"
"Yes, somewhat limited","2013","(Married) couple without C. ","Rural Area","972","0.318593403761866","0.301920585347278","0.335266222176455"
"Yes, somewhat limited","2013","Single parent ","Urban Area","412","0.202941103214986","0.185194519433079","0.220687686996893"
"Yes, somewhat limited","2013","Single parent ","Rural Area","239","0.225946989069005","0.199696680399465","0.252197297738544"
"Yes, somewhat limited","2013","Couple + C. LE 16 ","Urban Area","831","0.142161008958669","0.132959460967155","0.151362556950182"
"Yes, somewhat limited","2013","Couple + C. LE 16 ","Rural Area","405","0.154941417425625","0.141156686565967","0.168726148285283"
"Yes, somewhat limited","2013","Couple + C. GT 16 ","Urban Area","432","0.190400288648708","0.174234864214056","0.206565713083361"
"Yes, somewhat limited","2013","Couple + C. GT 16 ","Rural Area","221","0.187217751204016","0.164412988759426","0.210022513648607"
"Yes, somewhat limited","2013","Couple + C. LE and GT 16","Urban Area","275","0.169694380340809","0.151443907232956","0.187944853448662"
"Yes, somewhat limited","2013","Couple + C. LE and GT 16","Rural Area","171","0.200253378037723","0.174463852205197","0.226042903870249"
"No, not limited","2013","1-pers.-HH","Urban Area","1591","0.573602220490248","0.554934081476552","0.592270359503945"
"No, not limited","2013","1-pers.-HH","Rural Area","647","0.550947666818325","0.522805267520175","0.579090066116475"
"No, not limited","2013","(Married) couple without C. ","Urban Area","3265","0.595506657273031","0.582427233839055","0.608586080707007"
"No, not limited","2013","(Married) couple without C. ","Rural Area","1634","0.5523117412364","0.534517992494002","0.570105489978797"
"No, not limited","2013","Single parent ","Urban Area","1406","0.716376644262993","0.696487034920464","0.736266253605521"
"No, not limited","2013","Single parent ","Rural Area","666","0.685603551317261","0.656461432248817","0.714745670385704"
"No, not limited","2013","Couple + C. LE 16 ","Urban Area","4508","0.824983941079112","0.814971742532161","0.834996139626063"
"No, not limited","2013","Couple + C. LE 16 ","Rural Area","2142","0.801898080282398","0.786714469960552","0.817081690604244"
"No, not limited","2013","Couple + C. GT 16 ","Urban Area","1696","0.752270927205327","0.734496575644018","0.770045278766635"
"No, not limited","2013","Couple + C. GT 16 ","Rural Area","824","0.736405605207095","0.71064882549453","0.762162384919661"
"No, not limited","2013","Couple + C. LE and GT 16","Urban Area","1269","0.76918898406628","0.748702557911517","0.789675410221043"
"No, not limited","2013","Couple + C. LE and GT 16","Rural Area","707","0.756522161367105","0.728864352509651","0.784179970224558"
"Yes, strongly limited","2014","1-pers.-HH","Urban Area","","","",""
"Yes, strongly limited","2014","1-pers.-HH","Rural Area","","","",""
"Yes, strongly limited","2014","(Married) couple without C. ","Urban Area","","","",""
"Yes, strongly limited","2014","(Married) couple without C. ","Rural Area","","","",""
"Yes, strongly limited","2014","Single parent ","Urban Area","","","",""
"Yes, strongly limited","2014","Single parent ","Rural Area","","","",""
"Yes, strongly limited","2014","Couple + C. LE 16 ","Urban Area","","","",""
"Yes, strongly limited","2014","Couple + C. LE 16 ","Rural Area","","","",""
"Yes, strongly limited","2014","Couple + C. GT 16 ","Urban Area","","","",""
"Yes, strongly limited","2014","Couple + C. GT 16 ","Rural Area","","","",""
"Yes, strongly limited","2014","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes, strongly limited","2014","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes, somewhat limited","2014","1-pers.-HH","Urban Area","","","",""
"Yes, somewhat limited","2014","1-pers.-HH","Rural Area","","","",""
"Yes, somewhat limited","2014","(Married) couple without C. ","Urban Area","","","",""
