"ple0009","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","1-pers.-HH","(0) in school","","","",""
"Yes, strongly limited","2011","1-pers.-HH","(1a) inadequately completed","19","","",""
"Yes, strongly limited","2011","1-pers.-HH","(1b) general elementary school","121","0.284487243492826","0.241643897555788","0.327330589429863"
"Yes, strongly limited","2011","1-pers.-HH","(1c) basic vocational qualification","227","0.218320614721729","0.192613463217142","0.244027766226316"
"Yes, strongly limited","2011","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes, strongly limited","2011","1-pers.-HH","(2a) intermediate vocational","97","0.127347152997127","0.103441359417146","0.151252946577107"
"Yes, strongly limited","2011","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Yes, strongly limited","2011","1-pers.-HH","(2c_voc) vocational maturity certificate","23","","",""
"Yes, strongly limited","2011","1-pers.-HH","(3a) lower tertiary education","29","","",""
"Yes, strongly limited","2011","1-pers.-HH","(3b) higher tertiary education","20","","",""
"Yes, strongly limited","2011","(Married) couple without C. ","(0) in school","","","",""
"Yes, strongly limited","2011","(Married) couple without C. ","(1a) inadequately completed","16","","",""
"Yes, strongly limited","2011","(Married) couple without C. ","(1b) general elementary school","125","0.193982294862865","0.162316673306578","0.225647916419152"
"Yes, strongly limited","2011","(Married) couple without C. ","(1c) basic vocational qualification","452","0.168839929398761","0.15460930414975","0.183070554647771"
"Yes, strongly limited","2011","(Married) couple without C. ","(2b) intermediate general qualification","18","","",""
"Yes, strongly limited","2011","(Married) couple without C. ","(2a) intermediate vocational","179","0.0921636114468104","0.0789791264355143","0.105348096458106"
"Yes, strongly limited","2011","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"Yes, strongly limited","2011","(Married) couple without C. ","(2c_voc) vocational maturity certificate","56","0.0890727095338567","0.0647990954279005","0.113346323639813"
"Yes, strongly limited","2011","(Married) couple without C. ","(3a) lower tertiary education","70","0.0852153754524892","0.065558447362138","0.10487230354284"
"Yes, strongly limited","2011","(Married) couple without C. ","(3b) higher tertiary education","86","0.0741636820092062","0.0596023652670987","0.0887249987513136"
"Yes, strongly limited","2011","Single parent ","(0) in school","","","",""
"Yes, strongly limited","2011","Single parent ","(1a) inadequately completed","3","","",""
"Yes, strongly limited","2011","Single parent ","(1b) general elementary school","16","","",""
"Yes, strongly limited","2011","Single parent ","(1c) basic vocational qualification","28","","",""
"Yes, strongly limited","2011","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes, strongly limited","2011","Single parent ","(2a) intermediate vocational","16","","",""
"Yes, strongly limited","2011","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Yes, strongly limited","2011","Single parent ","(2c_voc) vocational maturity certificate","8","","",""
"Yes, strongly limited","2011","Single parent ","(3a) lower tertiary education","4","","",""
"Yes, strongly limited","2011","Single parent ","(3b) higher tertiary education","4","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(0) in school","","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(1b) general elementary school","5","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(1c) basic vocational qualification","30","0.0512999917544652","0.0332052188586286","0.0693947646503018"
"Yes, strongly limited","2011","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(2a) intermediate vocational","32","0.0293043229889867","0.0189488868923449","0.0396597590856284"
"Yes, strongly limited","2011","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(3a) lower tertiary education","6","","",""
"Yes, strongly limited","2011","Couple + C. LE 16 ","(3b) higher tertiary education","13","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(0) in school","2","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(1a) inadequately completed","1","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(1b) general elementary school","27","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(1c) basic vocational qualification","72","0.102305479335645","0.0796277395549725","0.124983219116318"
"Yes, strongly limited","2011","Couple + C. GT 16 ","(2b) intermediate general qualification","3","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(2a) intermediate vocational","54","0.0707330163658592","0.0521603655594147","0.0893056671723037"
"Yes, strongly limited","2011","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(3a) lower tertiary education","11","","",""
"Yes, strongly limited","2011","Couple + C. GT 16 ","(3b) higher tertiary education","12","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(1b) general elementary school","4","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(1c) basic vocational qualification","11","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(2b) intermediate general qualification","1","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(2a) intermediate vocational","17","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(3a) lower tertiary education","6","","",""
"Yes, strongly limited","2011","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"Yes, somewhat limited","2011","1-pers.-HH","(0) in school","","","",""
"Yes, somewhat limited","2011","1-pers.-HH","(1a) inadequately completed","17","","",""
"Yes, somewhat limited","2011","1-pers.-HH","(1b) general elementary school","149","0.31494436047566","0.270835774806283","0.359052946145037"
"Yes, somewhat limited","2011","1-pers.-HH","(1c) basic vocational qualification","273","0.260973156440507","0.233644374154616","0.288301938726399"
"Yes, somewhat limited","2011","1-pers.-HH","(2b) intermediate general qualification","21","","",""
"Yes, somewhat limited","2011","1-pers.-HH","(2a) intermediate vocational","181","0.242748102512884","0.212002295478186","0.273493909547582"
"Yes, somewhat limited","2011","1-pers.-HH","(2c_gen) general maturity certificate","22","","",""
"Yes, somewhat limited","2011","1-pers.-HH","(2c_voc) vocational maturity certificate","54","0.212830330660187","0.162885657684231","0.262775003636142"
"Yes, somewhat limited","2011","1-pers.-HH","(3a) lower tertiary education","70","0.238814611183242","0.190406779731303","0.287222442635182"
"Yes, somewhat limited","2011","1-pers.-HH","(3b) higher tertiary education","105","0.228140832972276","0.189108262667457","0.267173403277095"
"Yes, somewhat limited","2011","(Married) couple without C. ","(0) in school","","","",""
"Yes, somewhat limited","2011","(Married) couple without C. ","(1a) inadequately completed","32","0.318026651077395","0.222341872904692","0.413711429250097"
"Yes, somewhat limited","2011","(Married) couple without C. ","(1b) general elementary school","199","0.340428588195775","0.302481487176508","0.378375689215042"
"Yes, somewhat limited","2011","(Married) couple without C. ","(1c) basic vocational qualification","797","0.303452358427983","0.285987513369955","0.320917203486012"
"Yes, somewhat limited","2011","(Married) couple without C. ","(2b) intermediate general qualification","19","","",""
"Yes, somewhat limited","2011","(Married) couple without C. ","(2a) intermediate vocational","431","0.230345791896032","0.211153908297818","0.249537675494246"
"Yes, somewhat limited","2011","(Married) couple without C. ","(2c_gen) general maturity certificate","24","","",""
"Yes, somewhat limited","2011","(Married) couple without C. ","(2c_voc) vocational maturity certificate","110","0.189365816610826","0.15597834711574","0.222753286105912"
"Yes, somewhat limited","2011","(Married) couple without C. ","(3a) lower tertiary education","200","0.265481028589406","0.234391402829933","0.296570654348879"
"Yes, somewhat limited","2011","(Married) couple without C. ","(3b) higher tertiary education","279","0.215188065508243","0.192351552486794","0.238024578529692"
"Yes, somewhat limited","2011","Single parent ","(0) in school","3","","",""
"Yes, somewhat limited","2011","Single parent ","(1a) inadequately completed","9","","",""
"Yes, somewhat limited","2011","Single parent ","(1b) general elementary school","35","0.189577715298823","0.125334184421584","0.253821246176062"
"Yes, somewhat limited","2011","Single parent ","(1c) basic vocational qualification","48","0.282074992886362","0.22301172216911","0.341138263603615"
"Yes, somewhat limited","2011","Single parent ","(2b) intermediate general qualification","8","","",""
"Yes, somewhat limited","2011","Single parent ","(2a) intermediate vocational","52","0.249512635398822","0.19711455108133","0.301910719716314"
"Yes, somewhat limited","2011","Single parent ","(2c_gen) general maturity certificate","7","","",""
"Yes, somewhat limited","2011","Single parent ","(2c_voc) vocational maturity certificate","11","","",""
"Yes, somewhat limited","2011","Single parent ","(3a) lower tertiary education","6","","",""
"Yes, somewhat limited","2011","Single parent ","(3b) higher tertiary education","26","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(0) in school","","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(1b) general elementary school","19","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(1c) basic vocational qualification","71","0.157801442452462","0.127899956720098","0.187702928184825"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(2b) intermediate general qualification","8","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(2a) intermediate vocational","137","0.147462572972338","0.125692562916236","0.16923258302844"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(2c_gen) general maturity certificate","8","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","39","0.0732016876950349","0.0470132580772497","0.0993901173128202"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(3a) lower tertiary education","27","","",""
"Yes, somewhat limited","2011","Couple + C. LE 16 ","(3b) higher tertiary education","52","0.118085744320503","0.0904284836034894","0.145743005037517"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(0) in school","9","","",""
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(1a) inadequately completed","12","","",""
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(1b) general elementary school","53","0.256491728834002","0.196418682390358","0.316564775277646"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(1c) basic vocational qualification","156","0.237875328258367","0.20601327612029","0.269737380396444"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(2b) intermediate general qualification","17","","",""
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(2a) intermediate vocational","112","0.158133137945401","0.131701401059733","0.18456487483107"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(2c_gen) general maturity certificate","28","","",""
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","47","0.227649914542557","0.172981721826643","0.282318107258472"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(3a) lower tertiary education","51","0.229735208665727","0.172840451693311","0.286629965638142"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","(3b) higher tertiary education","51","0.10408703569614","0.0727590198684944","0.135415051523785"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(0) in school","6","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(1a) inadequately completed","3","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(1b) general elementary school","13","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(1c) basic vocational qualification","39","0.158266788338514","0.109479016136253","0.207054560540774"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(2a) intermediate vocational","41","0.137868961735698","0.0966694713676883","0.179068452103707"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","11","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(3a) lower tertiary education","13","","",""
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","(3b) higher tertiary education","8","","",""
"No, not limited","2011","1-pers.-HH","(0) in school","7","","",""
"No, not limited","2011","1-pers.-HH","(1a) inadequately completed","20","","",""
"No, not limited","2011","1-pers.-HH","(1b) general elementary school","156","0.400568396031514","0.35403642484564","0.447100367217388"
"No, not limited","2011","1-pers.-HH","(1c) basic vocational qualification","492","0.520706228837764","0.489618461436769","0.551793996238758"
"No, not limited","2011","1-pers.-HH","(2b) intermediate general qualification","41","0.642607949265145","0.529532313896092","0.755683584634198"
"No, not limited","2011","1-pers.-HH","(2a) intermediate vocational","469","0.629904744489989","0.595280365828475","0.664529123151504"
"No, not limited","2011","1-pers.-HH","(2c_gen) general maturity certificate","142","0.838249482015896","0.782733985851033","0.893764978180759"
"No, not limited","2011","1-pers.-HH","(2c_voc) vocational maturity certificate","181","0.681185798002336","0.624321476688371","0.7380501193163"
"No, not limited","2011","1-pers.-HH","(3a) lower tertiary education","199","0.657863923607872","0.603998828657087","0.711729018558657"
"No, not limited","2011","1-pers.-HH","(3b) higher tertiary education","319","0.727533402614512","0.686120114973987","0.768946690255038"
"No, not limited","2011","(Married) couple without C. ","(0) in school","","","",""
"No, not limited","2011","(Married) couple without C. ","(1a) inadequately completed","43","0.431487969009794","0.329726921182415","0.533249016837173"
"No, not limited","2011","(Married) couple without C. ","(1b) general elementary school","275","0.46558911694136","0.42564307654847","0.505535157334249"
"No, not limited","2011","(Married) couple without C. ","(1c) basic vocational qualification","1413","0.527707712173256","0.508743001868666","0.546672422477846"
"No, not limited","2011","(Married) couple without C. ","(2b) intermediate general qualification","71","0.71445905363277","0.629274847075079","0.79964326019046"
"No, not limited","2011","(Married) couple without C. ","(2a) intermediate vocational","1239","0.677490596657158","0.656184570189119","0.698796623125196"
"No, not limited","2011","(Married) couple without C. ","(2c_gen) general maturity certificate","124","0.843278713491962","0.786231379298608","0.900326047685316"
"No, not limited","2011","(Married) couple without C. ","(2c_voc) vocational maturity certificate","363","0.721561473855317","0.683365148269256","0.759757799441379"
"No, not limited","2011","(Married) couple without C. ","(3a) lower tertiary education","505","0.649303595958105","0.615707655709559","0.68289953620665"
"No, not limited","2011","(Married) couple without C. ","(3b) higher tertiary education","879","0.710648252482551","0.685449542866597","0.735846962098504"
"No, not limited","2011","Single parent ","(0) in school","47","0.922205211628821","0.847962790408608","0.996447632849034"
"No, not limited","2011","Single parent ","(1a) inadequately completed","11","","",""
"No, not limited","2011","Single parent ","(1b) general elementary school","92","0.667402866450729","0.590182233498393","0.744623499403064"
"No, not limited","2011","Single parent ","(1c) basic vocational qualification","147","0.617972920645772","0.554201299694067","0.681744541597478"
"No, not limited","2011","Single parent ","(2b) intermediate general qualification","65","0.833044956380276","0.749746544824191","0.916343367936361"
"No, not limited","2011","Single parent ","(2a) intermediate vocational","194","0.684860821131695","0.628607287804734","0.741114354458656"
"No, not limited","2011","Single parent ","(2c_gen) general maturity certificate","62","0.915090564470897","0.849791180145084","0.980389948796709"
"No, not limited","2011","Single parent ","(2c_voc) vocational maturity certificate","54","0.660071346597481","0.551409773459732","0.768732919735231"
"No, not limited","2011","Single parent ","(3a) lower tertiary education","52","0.909681734795749","0.838333246273042","0.981030223318455"
"No, not limited","2011","Single parent ","(3b) higher tertiary education","84","0.78047728389136","0.704494442028869","0.856460125753851"
"No, not limited","2011","Couple + C. LE 16 ","(0) in school","","","",""
"No, not limited","2011","Couple + C. LE 16 ","(1a) inadequately completed","26","","",""
"No, not limited","2011","Couple + C. LE 16 ","(1b) general elementary school","97","0.81983444933906","0.751355929541018","0.888312969137101"
"No, not limited","2011","Couple + C. LE 16 ","(1c) basic vocational qualification","470","0.790898565793073","0.757542952002056","0.82425417958409"
"No, not limited","2011","Couple + C. LE 16 ","(2b) intermediate general qualification","49","0.835477749745573","0.740063363972222","0.930892135518923"
"No, not limited","2011","Couple + C. LE 16 ","(2a) intermediate vocational","850","0.823233104038675","0.799811163186089","0.846655044891261"
"No, not limited","2011","Couple + C. LE 16 ","(2c_gen) general maturity certificate","63","0.89524975235919","0.825001375351619","0.965498129366761"
"No, not limited","2011","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","334","0.891502578508516","0.86023262014003","0.922772536877002"
"No, not limited","2011","Couple + C. LE 16 ","(3a) lower tertiary education","256","0.813378625167244","0.768460022306411","0.858297228028076"
"No, not limited","2011","Couple + C. LE 16 ","(3b) higher tertiary education","458","0.857647268426341","0.82770156607675","0.887592970775932"
"No, not limited","2011","Couple + C. GT 16 ","(0) in school","136","0.919826366352979","0.875927011852862","0.963725720853095"
