"ple0009","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","Urban Area","9390","0.674248340024671","0.666339817099713","0.682156862949629","3"
"No, not limited","2011","Rural Area","4839","0.658142854976047","0.647190348603814","0.669095361348279","3"
"Yes, somewhat limited","2011","Urban Area","2812","0.218573394103287","0.211599347241542","0.225547440965031","2"
"Yes, somewhat limited","2011","Rural Area","1572","0.226482039551269","0.216817455149024","0.236146623953514","2"
"Yes, strongly limited","2011","Urban Area","1288","0.107178265872043","0.101958177491084","0.112398354253001","1"
"Yes, strongly limited","2011","Rural Area","794","0.115375105472685","0.107998327157047","0.122751883788322","1"
"No, not limited","2012","Urban Area","11644","0.634177896611727","0.627021588498923","0.641334204724532","3"
"No, not limited","2012","Rural Area","6251","0.602110914702166","0.592385936922959","0.611835892481373","3"
"Yes, somewhat limited","2012","Urban Area","4183","0.261319220469741","0.254791484420734","0.267846956518748","2"
"Yes, somewhat limited","2012","Rural Area","2512","0.279735234205971","0.270816791519634","0.288653676892308","2"
"Yes, strongly limited","2012","Urban Area","1575","0.104502882918532","0.0999577693370842","0.10904799649998","1"
"Yes, strongly limited","2012","Rural Area","968","0.118153851091863","0.111740430721941","0.124567271461784","1"
"No, not limited","2013","Urban Area","14244","0.659759751476488","0.653231720010595","0.666287782942381","3"
"No, not limited","2013","Rural Area","6880","0.630745978805741","0.621396814024697","0.640095143586785","3"
"Yes, somewhat limited","2013","Urban Area","4321","0.235872304609473","0.230022815561058","0.241721793657889","2"
"Yes, somewhat limited","2013","Rural Area","2417","0.256087923579414","0.247632442807307","0.26454340435152","2"
"Yes, strongly limited","2013","Urban Area","1670","0.104367943914039","0.100155395887847","0.10858049194023","1"
"Yes, strongly limited","2013","Rural Area","939","0.113166097614846","0.107029010810978","0.119303184418713","1"
"No, not limited","2014","Urban Area","","","","","3"
"No, not limited","2014","Rural Area","","","","","3"
"Yes, somewhat limited","2014","Urban Area","","","","","2"
"Yes, somewhat limited","2014","Rural Area","","","","","2"
"Yes, strongly limited","2014","Urban Area","","","","","1"
"Yes, strongly limited","2014","Rural Area","","","","","1"
"No, not limited","2015","Urban Area","12072","0.648321575147658","0.641246849947064","0.655396300348253","3"
"No, not limited","2015","Rural Area","5968","0.620071227804487","0.61005304532063","0.630089410288345","3"
"Yes, somewhat limited","2015","Urban Area","3937","0.24112404644296","0.234786120900365","0.247461971985555","2"
"Yes, somewhat limited","2015","Rural Area","2194","0.268539172164017","0.259391377331547","0.277686966996486","2"
"Yes, strongly limited","2015","Urban Area","1490","0.110554378409382","0.105908272025617","0.115200484793147","1"
"Yes, strongly limited","2015","Rural Area","855","0.111389600031496","0.104895857366847","0.117883342696146","1"
"No, not limited","2016","Urban Area","2351","0.809343222016706","0.795215818237198","0.823470625796214","3"
"No, not limited","2016","Rural Area","1063","0.797807841904799","0.776670948133653","0.818944735675945","3"
"Yes, somewhat limited","2016","Urban Area","471","0.139551109609498","0.127088785184715","0.152013434034282","2"
"Yes, somewhat limited","2016","Rural Area","228","0.14630683671007","0.127707687758953","0.164905985661187","2"
"Yes, strongly limited","2016","Urban Area","148","0.0511056683737957","0.0431858845246658","0.0590254522229256","1"
"Yes, strongly limited","2016","Rural Area","96","0.0558853213851306","0.0437968576538178","0.0679737851164434","1"
"No, not limited","2017","Urban Area","13487","0.65284014926514","0.64610644030925","0.659573858221029","3"
"No, not limited","2017","Rural Area","6712","0.614639566667945","0.605173417816047","0.624105715519842","3"
"Yes, somewhat limited","2017","Urban Area","4197","0.24908135400628","0.242964146393282","0.255198561619278","2"
"Yes, somewhat limited","2017","Rural Area","2484","0.271220586718342","0.262573120281151","0.279868053155534","2"
"Yes, strongly limited","2017","Urban Area","1517","0.0980784967285801","0.0938716427454967","0.102285350711663","1"
"Yes, strongly limited","2017","Rural Area","958","0.114139846613713","0.107954974309541","0.120324718917885","1"
"No, not limited","2018","Urban Area","213","0.779104309115742","0.72943682984682","0.828771788384663","3"
"No, not limited","2018","Rural Area","121","0.804693488767075","0.742483604043235","0.866903373490914","3"
"Yes, somewhat limited","2018","Urban Area","39","0.175442974591906","0.129906538956283","0.220979410227529","2"
"Yes, somewhat limited","2018","Rural Area","28","","","","2"
"Yes, strongly limited","2018","Urban Area","16","","","","1"
"Yes, strongly limited","2018","Rural Area","7","","","","1"
"No, not limited","2019","Urban Area","12522","0.649328683961827","0.642366394690588","0.656290973233067","3"
"No, not limited","2019","Rural Area","6430","0.593672214343704","0.583985172824814","0.603359255862593","3"
"Yes, somewhat limited","2019","Urban Area","4056","0.248417063209537","0.242112589829361","0.254721536589713","2"
"Yes, somewhat limited","2019","Rural Area","2561","0.295562610869364","0.286562963656291","0.304562258082436","2"
"Yes, strongly limited","2019","Urban Area","1467","0.102254252828636","0.0978335938264158","0.106674911830856","1"
"Yes, strongly limited","2019","Rural Area","884","0.110765174786932","0.104575192748965","0.1169551568249","1"
