"ple0009","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Full Time","(0) in school","","","",""
"Yes, strongly limited","2011","Full Time","(1a) inadequately completed","3","","",""
"Yes, strongly limited","2011","Full Time","(1b) general elementary school","11","","",""
"Yes, strongly limited","2011","Full Time","(1c) basic vocational qualification","85","0.0589538799394548","0.0472166777838049","0.0706910820951047"
"Yes, strongly limited","2011","Full Time","(2b) intermediate general qualification","2","","",""
"Yes, strongly limited","2011","Full Time","(2a) intermediate vocational","70","0.031280744413882","0.024185102633423","0.038376386194341"
"Yes, strongly limited","2011","Full Time","(2c_gen) general maturity certificate","4","","",""
"Yes, strongly limited","2011","Full Time","(2c_voc) vocational maturity certificate","18","","",""
"Yes, strongly limited","2011","Full Time","(3a) lower tertiary education","27","","",""
"Yes, strongly limited","2011","Full Time","(3b) higher tertiary education","40","0.0264754379822594","0.0180687668797432","0.0348821090847755"
"Yes, strongly limited","2011","Part Time","(0) in school","","","",""
"Yes, strongly limited","2011","Part Time","(1a) inadequately completed","5","","",""
"Yes, strongly limited","2011","Part Time","(1b) general elementary school","28","","",""
"Yes, strongly limited","2011","Part Time","(1c) basic vocational qualification","83","0.0799694190562113","0.0633801988774813","0.0965586392349413"
"Yes, strongly limited","2011","Part Time","(2b) intermediate general qualification","6","","",""
"Yes, strongly limited","2011","Part Time","(2a) intermediate vocational","82","0.076148964902743","0.0621244547336414","0.0901734750718446"
"Yes, strongly limited","2011","Part Time","(2c_gen) general maturity certificate","4","","",""
"Yes, strongly limited","2011","Part Time","(2c_voc) vocational maturity certificate","26","","",""
"Yes, strongly limited","2011","Part Time","(3a) lower tertiary education","20","","",""
"Yes, strongly limited","2011","Part Time","(3b) higher tertiary education","19","","",""
"Yes, strongly limited","2011","Not Working","(0) in school","2","","",""
"Yes, strongly limited","2011","Not Working","(1a) inadequately completed","36","0.284199999456652","0.211779279094966","0.356620719818338"
"Yes, strongly limited","2011","Not Working","(1b) general elementary school","279","0.278370296794807","0.251652300161223","0.305088293428391"
"Yes, strongly limited","2011","Not Working","(1c) basic vocational qualification","673","0.246802640689724","0.231075347083528","0.262529934295919"
"Yes, strongly limited","2011","Not Working","(2b) intermediate general qualification","28","","",""
"Yes, strongly limited","2011","Not Working","(2a) intermediate vocational","252","0.208822376036481","0.186546318379357","0.231098433693605"
"Yes, strongly limited","2011","Not Working","(2c_gen) general maturity certificate","16","","",""
"Yes, strongly limited","2011","Not Working","(2c_voc) vocational maturity certificate","63","0.205808224372588","0.164389034146777","0.247227414598399"
"Yes, strongly limited","2011","Not Working","(3a) lower tertiary education","81","0.173787318751212","0.141466221243026","0.206108416259398"
"Yes, strongly limited","2011","Not Working","(3b) higher tertiary education","85","0.117171798110834","0.0948288126159123","0.139514783605756"
"Yes, somewhat limited","2011","Full Time","(0) in school","1","","",""
"Yes, somewhat limited","2011","Full Time","(1a) inadequately completed","9","","",""
"Yes, somewhat limited","2011","Full Time","(1b) general elementary school","51","0.176888547548294","0.133345756527697","0.220431338568891"
"Yes, somewhat limited","2011","Full Time","(1c) basic vocational qualification","269","0.170984789435055","0.152223489670237","0.189746089199872"
"Yes, somewhat limited","2011","Full Time","(2b) intermediate general qualification","19","","",""
"Yes, somewhat limited","2011","Full Time","(2a) intermediate vocational","363","0.161609532573714","0.146605402203127","0.176613662944302"
"Yes, somewhat limited","2011","Full Time","(2c_gen) general maturity certificate","21","","",""
"Yes, somewhat limited","2011","Full Time","(2c_voc) vocational maturity certificate","111","0.138691842900407","0.113671062956823","0.163712622843991"
"Yes, somewhat limited","2011","Full Time","(3a) lower tertiary education","130","0.155300971729943","0.131329959239596","0.179271984220289"
"Yes, somewhat limited","2011","Full Time","(3b) higher tertiary education","203","0.142085345270534","0.123803260848661","0.160367429692407"
"Yes, somewhat limited","2011","Part Time","(0) in school","1","","",""
"Yes, somewhat limited","2011","Part Time","(1a) inadequately completed","15","","",""
"Yes, somewhat limited","2011","Part Time","(1b) general elementary school","67","0.227461809126444","0.179215586591006","0.275708031661883"
"Yes, somewhat limited","2011","Part Time","(1c) basic vocational qualification","208","0.224877163377632","0.199343048229309","0.250411278525955"
"Yes, somewhat limited","2011","Part Time","(2b) intermediate general qualification","22","","",""
"Yes, somewhat limited","2011","Part Time","(2a) intermediate vocational","233","0.196337307191157","0.175333740800325","0.217340873581989"
"Yes, somewhat limited","2011","Part Time","(2c_gen) general maturity certificate","36","0.109724145112162","0.0768392278080207","0.142609062416302"
"Yes, somewhat limited","2011","Part Time","(2c_voc) vocational maturity certificate","74","0.184479979058925","0.149561858973374","0.219398099144477"
"Yes, somewhat limited","2011","Part Time","(3a) lower tertiary education","61","0.196432017840182","0.153950903208827","0.238913132471537"
"Yes, somewhat limited","2011","Part Time","(3b) higher tertiary education","99","0.145754205700351","0.118090519184703","0.173417892216"
"Yes, somewhat limited","2011","Not Working","(0) in school","16","","",""
"Yes, somewhat limited","2011","Not Working","(1a) inadequately completed","56","0.38383907614543","0.305752455962202","0.461925696328659"
"Yes, somewhat limited","2011","Not Working","(1b) general elementary school","369","0.345659263842123","0.317308724619625","0.374009803064621"
"Yes, somewhat limited","2011","Not Working","(1c) basic vocational qualification","936","0.339276789195387","0.322006024961285","0.356547553429489"
"Yes, somewhat limited","2011","Not Working","(2b) intermediate general qualification","43","0.20478127085133","0.148430041510607","0.261132500192054"
"Yes, somewhat limited","2011","Not Working","(2a) intermediate vocational","373","0.314939946134248","0.289483896130191","0.340395996138306"
"Yes, somewhat limited","2011","Not Working","(2c_gen) general maturity certificate","46","0.101643479638356","0.0707277726057046","0.132559186671007"
"Yes, somewhat limited","2011","Not Working","(2c_voc) vocational maturity certificate","93","0.282632793630517","0.236502142604768","0.328763444656265"
"Yes, somewhat limited","2011","Not Working","(3a) lower tertiary education","176","0.383421475502113","0.341948657691009","0.424894293313217"
"Yes, somewhat limited","2011","Not Working","(3b) higher tertiary education","222","0.298722676475407","0.266926818315711","0.330518534635103"
"No, not limited","2011","Full Time","(0) in school","5","","",""
"No, not limited","2011","Full Time","(1a) inadequately completed","38","0.77599328331129","0.660429276759553","0.891557289863027"
"No, not limited","2011","Full Time","(1b) general elementary school","233","0.785088828074243","0.738215479736337","0.83196217641215"
"No, not limited","2011","Full Time","(1c) basic vocational qualification","1193","0.770061330625491","0.74909262615834","0.791030035092641"
"No, not limited","2011","Full Time","(2b) intermediate general qualification","161","0.884151981624993","0.83765549219994","0.930648471050046"
"No, not limited","2011","Full Time","(2a) intermediate vocational","1879","0.807109723012404","0.791026405561501","0.823193040463306"
"No, not limited","2011","Full Time","(2c_gen) general maturity certificate","141","0.839798854588991","0.784001386250744","0.895596322927237"
"No, not limited","2011","Full Time","(2c_voc) vocational maturity certificate","604","0.837933711741926","0.811256079694502","0.86461134378935"
"No, not limited","2011","Full Time","(3a) lower tertiary education","720","0.820702728038108","0.79531475235162","0.846090703724595"
"No, not limited","2011","Full Time","(3b) higher tertiary education","1158","0.831439216747207","0.811836216460069","0.851042217034346"
"No, not limited","2011","Part Time","(0) in school","58","0.99645726478202","0.981296511811572","1.01161801775247"
"No, not limited","2011","Part Time","(1a) inadequately completed","30","0.63094979878649","0.497196896291266","0.764702701281714"
"No, not limited","2011","Part Time","(1b) general elementary school","195","0.65494803321447","0.600234499258841","0.709661567170099"
"No, not limited","2011","Part Time","(1c) basic vocational qualification","736","0.695153417566157","0.666999173857263","0.723307661275051"
"No, not limited","2011","Part Time","(2b) intermediate general qualification","129","0.859492778042666","0.805134122802042","0.91385143328329"
"No, not limited","2011","Part Time","(2a) intermediate vocational","1059","0.7275137279061","0.703971495934403","0.751055959877797"
"No, not limited","2011","Part Time","(2c_gen) general maturity certificate","307","0.885314284730022","0.85178789777544","0.918840671684604"
"No, not limited","2011","Part Time","(2c_voc) vocational maturity certificate","374","0.747228482716416","0.708103901964576","0.786353063468256"
"No, not limited","2011","Part Time","(3a) lower tertiary education","255","0.728692539599328","0.681150097965076","0.77623498123358"
"No, not limited","2011","Part Time","(3b) higher tertiary education","507","0.813203173328335","0.782647464580412","0.843758882076258"
"No, not limited","2011","Not Working","(0) in school","231","0.907650836183744","0.871690453295777","0.94361121907171"
"No, not limited","2011","Not Working","(1a) inadequately completed","57","0.331960924397917","0.256347418915284","0.40757442988055"
