"ple0009","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","16-34 y.","no migration background","61","0.0188570386422203","0.0142896820922996","0.0234243951921411"
"Yes, strongly limited","2011","16-34 y.","direct migration background","5","","",""
"Yes, strongly limited","2011","16-34 y.","indirect migration background","6","","",""
"Yes, strongly limited","2011","35-65 y.","no migration background","861","0.0943205009617221","0.0885303294446289","0.100110672478815"
"Yes, strongly limited","2011","35-65 y.","direct migration background","105","0.0897612037676118","0.0736953685330766","0.105827039002147"
"Yes, strongly limited","2011","35-65 y.","indirect migration background","12","","",""
"Yes, strongly limited","2011","66 and older","no migration background","942","0.223292010287063","0.211399952332134","0.235184068241992"
"Yes, strongly limited","2011","66 and older","direct migration background","88","0.192443394468981","0.154741650735043","0.23014513820292"
"Yes, strongly limited","2011","66 and older","indirect migration background","2","","",""
"Yes, somewhat limited","2011","16-34 y.","no migration background","299","0.0878422210119837","0.0783372967346437","0.0973471452893237"
"Yes, somewhat limited","2011","16-34 y.","direct migration background","28","","",""
"Yes, somewhat limited","2011","16-34 y.","indirect migration background","40","0.0686067999575413","0.0467535192458542","0.0904600806692283"
"Yes, somewhat limited","2011","35-65 y.","no migration background","1944","0.21079990446236","0.2027195599048","0.218880249019921"
"Yes, somewhat limited","2011","35-65 y.","direct migration background","260","0.217880240518984","0.194678163954553","0.241082317083414"
"Yes, somewhat limited","2011","35-65 y.","indirect migration background","43","0.178115162617823","0.132221957381111","0.224008367854535"
"Yes, somewhat limited","2011","66 and older","no migration background","1642","0.356691235272494","0.343012451261658","0.37037001928333"
"Yes, somewhat limited","2011","66 and older","direct migration background","127","0.336998846183298","0.291792980023221","0.382204712343374"
"Yes, somewhat limited","2011","66 and older","indirect migration background","1","","",""
"No, not limited","2011","16-34 y.","no migration background","3047","0.893300740345796","0.882934015438117","0.903667465253474"
"No, not limited","2011","16-34 y.","direct migration background","333","0.901365859416062","0.870818636581485","0.931913082250639"
"No, not limited","2011","16-34 y.","indirect migration background","468","0.913307358636804","0.888981614883448","0.93763310239016"
"No, not limited","2011","35-65 y.","no migration background","6983","0.694879594575918","0.685757564151873","0.704001624999962"
"No, not limited","2011","35-65 y.","direct migration background","851","0.692358555713404","0.666418598465026","0.718298512961783"
"No, not limited","2011","35-65 y.","indirect migration background","212","0.795762911264415","0.747406772758048","0.844119049770782"
"No, not limited","2011","66 and older","no migration background","2127","0.420016754440444","0.405922809510303","0.434110699370584"
"No, not limited","2011","66 and older","direct migration background","205","0.470557759347721","0.422822508478041","0.518293010217402"
"No, not limited","2011","66 and older","indirect migration background","3","","",""
"Yes, strongly limited","2012","16-34 y.","no migration background","88","0.0151634497637549","0.0116896915249345","0.0186372080025754"
"Yes, strongly limited","2012","16-34 y.","direct migration background","11","","",""
"Yes, strongly limited","2012","16-34 y.","indirect migration background","24","","",""
"Yes, strongly limited","2012","35-65 y.","no migration background","1086","0.0916716584316652","0.0867842282916581","0.0965590885716724"
"Yes, strongly limited","2012","35-65 y.","direct migration background","139","0.0818783007712927","0.0692888019600769","0.0944677995825085"
"Yes, strongly limited","2012","35-65 y.","indirect migration background","34","0.0573204777818056","0.0374929728251831","0.077147982738428"
"Yes, strongly limited","2012","66 and older","no migration background","1054","0.237025164709499","0.224935437003532","0.249114892415465"
"Yes, strongly limited","2012","66 and older","direct migration background","105","0.252487956913707","0.209913655905461","0.295062257921953"
"Yes, strongly limited","2012","66 and older","indirect migration background","2","","",""
