"ple0009","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","no migration background","Male","847","0.105594089301489","0.0990616606423439","0.112126517960633"
"Yes, strongly limited","2011","no migration background","Female","1017","0.125772717697107","0.119070829458955","0.13247460593526"
"Yes, strongly limited","2011","direct migration background","Male","78","0.0751589830102906","0.0578475416980191","0.0924704243225622"
"Yes, strongly limited","2011","direct migration background","Female","120","0.113441949489686","0.0947939825283904","0.132089916450981"
"Yes, strongly limited","2011","indirect migration background","Male","4","","",""
"Yes, strongly limited","2011","indirect migration background","Female","16","","",""
"Yes, somewhat limited","2011","no migration background","Male","1720","0.202440756566085","0.193899574236236","0.210981938895933"
"Yes, somewhat limited","2011","no migration background","Female","2165","0.25178369762218","0.24301128264617","0.260556112598189"
"Yes, somewhat limited","2011","direct migration background","Male","167","0.201762207316816","0.17541131707259","0.228113097561042"
"Yes, somewhat limited","2011","direct migration background","Female","248","0.227825199592249","0.203161980921551","0.252488418262947"
"Yes, somewhat limited","2011","indirect migration background","Male","38","0.089275248722684","0.0602604046808754","0.118290092764493"
"Yes, somewhat limited","2011","indirect migration background","Female","46","0.105431319595542","0.0759196967943364","0.134942942396749"
"No, not limited","2011","no migration background","Male","5935","0.691965154132427","0.682151526453894","0.701778781810959"
"No, not limited","2011","no migration background","Female","6222","0.622443584680713","0.612645691385859","0.632241477975567"
"No, not limited","2011","direct migration background","Male","646","0.723078809672893","0.693696891083286","0.752460728262501"
"No, not limited","2011","direct migration background","Female","743","0.658732850918065","0.630852838372553","0.686612863463577"
"No, not limited","2011","indirect migration background","Male","329","0.890371798703341","0.858580521314382","0.922163076092301"
"No, not limited","2011","indirect migration background","Female","354","0.871803227174616","0.839677778036326","0.903928676312906"
"Yes, strongly limited","2012","no migration background","Male","977","0.102168579447678","0.0963502318358756","0.10798692705948"
"Yes, strongly limited","2012","no migration background","Female","1251","0.126000711326967","0.120180666947855","0.131820755706078"
"Yes, strongly limited","2012","direct migration background","Male","116","0.0871655924920543","0.0719887588521082","0.102342426132"
"Yes, strongly limited","2012","direct migration background","Female","139","0.103726193955538","0.0890453368959283","0.118407051015148"
"Yes, strongly limited","2012","indirect migration background","Male","20","","",""
"Yes, strongly limited","2012","indirect migration background","Female","40","0.0391412059956507","0.0247129034041853","0.0535695085871161"
"Yes, somewhat limited","2012","no migration background","Male","2514","0.258108079598286","0.24970158947178","0.266514569724791"
"Yes, somewhat limited","2012","no migration background","Female","3310","0.292984198232107","0.285002029254282","0.300966367209932"
"Yes, somewhat limited","2012","direct migration background","Male","244","0.200834015294839","0.17927892926817","0.222389101321508"
"Yes, somewhat limited","2012","direct migration background","Female","416","0.277741773792185","0.256176563987433","0.299306983596937"
"Yes, somewhat limited","2012","indirect migration background","Male","80","0.164651979547912","0.133852902975315","0.195451056120509"
"Yes, somewhat limited","2012","indirect migration background","Female","131","0.193653214979534","0.16425360013674","0.223052829822327"
"No, not limited","2012","no migration background","Male","6918","0.639723340954036","0.630500648035871","0.648946033872202"
"No, not limited","2012","no migration background","Female","7928","0.581015090440927","0.572361882203103","0.58966829867875"
"No, not limited","2012","direct migration background","Male","967","0.712000392213107","0.687636386415034","0.73636439801118"
"No, not limited","2012","direct migration background","Female","1102","0.618532032252277","0.595143822910343","0.641920241594211"
"No, not limited","2012","indirect migration background","Male","457","0.78844764298517","0.754530765922451","0.822364520047889"
"No, not limited","2012","indirect migration background","Female","523","0.767205579024816","0.735763553497167","0.798647604552464"
"Yes, strongly limited","2013","no migration background","Male","859","0.0977598987413165","0.0919436580882904","0.103576139394343"
"Yes, strongly limited","2013","no migration background","Female","1209","0.129213668910251","0.123200274882779","0.135227062937722"
"Yes, strongly limited","2013","direct migration background","Male","230","0.0818178981901648","0.0717885805146914","0.0918472158656382"
"Yes, strongly limited","2013","direct migration background","Female","239","0.0964679119637136","0.0866926304832732","0.106243193444154"
"Yes, strongly limited","2013","indirect migration background","Male","29","","",""
"Yes, strongly limited","2013","indirect migration background","Female","43","0.0408834328053705","0.0292394800353838","0.0525273855753572"
"Yes, somewhat limited","2013","no migration background","Male","2295","0.235722538440024","0.2274101273335","0.244034949546549"
"Yes, somewhat limited","2013","no migration background","Female","2991","0.269996838391538","0.262037969672072","0.277955707111004"
"Yes, somewhat limited","2013","direct migration background","Male","479","0.19748409684999","0.182916909536098","0.212051284163881"
"Yes, somewhat limited","2013","direct migration background","Female","685","0.237430478697451","0.22334167889626","0.251519278498642"
"Yes, somewhat limited","2013","indirect migration background","Male","114","0.105775904680596","0.0868833468519235","0.124668462509269"
"Yes, somewhat limited","2013","indirect migration background","Female","174","0.145608020305336","0.124867851270578","0.166348189340095"
"No, not limited","2013","no migration background","Male","6862","0.666517562818659","0.657284554745836","0.675750570891482"
