"ple0009","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","1-pers.-HH","Male","173","0.114967816674822","0.0986447893413477","0.131290844008295"
"Yes, strongly limited","2011","1-pers.-HH","Female","383","0.187115587442182","0.170326858337541","0.203904316546822"
"Yes, strongly limited","2011","(Married) couple without C. ","Male","507","0.125572544351592","0.11533423271327","0.135810855989913"
"Yes, strongly limited","2011","(Married) couple without C. ","Female","510","0.12563541013869","0.115446678404341","0.135824141873038"
"Yes, strongly limited","2011","Single parent ","Male","23","","",""
"Yes, strongly limited","2011","Single parent ","Female","65","0.0835253540513285","0.0647479973778838","0.102302710724773"
"Yes, strongly limited","2011","Couple + C. LE 16 ","Male","55","0.0366384333320462","0.0270733866332444","0.0462034800308481"
"Yes, strongly limited","2011","Couple + C. LE 16 ","Female","43","0.0307371534355825","0.0223268543993037","0.0391474524718614"
"Yes, strongly limited","2011","Couple + C. GT 16 ","Male","106","0.06288345043349","0.0512407200330057","0.0745261808339743"
"Yes, strongly limited","2011","Couple + C. GT 16 ","Female","91","0.0596999129377508","0.0477297536920227","0.0716700721834789"
"Yes, strongly limited","2011","Couple + C. LE and GT 16","Male","33","0.0720501369041382","0.0517623134306813","0.092337960377595"
"Yes, strongly limited","2011","Couple + C. LE and GT 16","Female","20","","",""
"Yes, somewhat limited","2011","1-pers.-HH","Male","290","0.187064727243011","0.167109486548741","0.207019967937281"
"Yes, somewhat limited","2011","1-pers.-HH","Female","613","0.290604856929478","0.271059483176775","0.310150230682181"
"Yes, somewhat limited","2011","(Married) couple without C. ","Male","1034","0.255506728279586","0.242031049067554","0.268982407491618"
"Yes, somewhat limited","2011","(Married) couple without C. ","Female","1067","0.262484917632893","0.2489593516901","0.276010483575686"
"Yes, somewhat limited","2011","Single parent ","Male","49","0.157707072818929","0.118143413510795","0.197270732127064"
"Yes, somewhat limited","2011","Single parent ","Female","165","0.218084184097815","0.19005844014068","0.246109928054949"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","Male","173","0.13646167545274","0.118984544226687","0.153938806678794"
"Yes, somewhat limited","2011","Couple + C. LE 16 ","Female","194","0.126981050645422","0.110757716037441","0.143204385253403"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","Male","277","0.155308357248256","0.137936895388509","0.172679819108003"
"Yes, somewhat limited","2011","Couple + C. GT 16 ","Female","279","0.205144638216065","0.18474351962626","0.225545756805871"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","Male","72","0.0779690115970663","0.0569317324709241","0.0990062907232085"
"Yes, somewhat limited","2011","Couple + C. LE and GT 16","Female","86","0.158303233580672","0.129095679585868","0.187510787575476"
"No, not limited","2011","1-pers.-HH","Male","1004","0.697967456082167","0.674472345626474","0.721462566537861"
"No, not limited","2011","1-pers.-HH","Female","1077","0.52227955562834","0.50077715908676","0.543781952169921"
"No, not limited","2011","(Married) couple without C. ","Male","2483","0.618920727368823","0.60391544119756","0.633926013540085"
"No, not limited","2011","(Married) couple without C. ","Female","2488","0.611879672228417","0.596898906121435","0.6268604383354"
"No, not limited","2011","Single parent ","Male","254","0.788434975583896","0.74410023536486","0.832769715802932"
"No, not limited","2011","Single parent ","Female","604","0.698390461850857","0.667241989550545","0.729538934151169"
"No, not limited","2011","Couple + C. LE 16 ","Male","1254","0.826899891215213","0.807637991075445","0.846161791354982"
"No, not limited","2011","Couple + C. LE 16 ","Female","1381","0.842281795918996","0.824522389289682","0.860041202548309"
"No, not limited","2011","Couple + C. GT 16 ","Male","1287","0.781808192318254","0.761999345933504","0.801617038703004"
"No, not limited","2011","Couple + C. GT 16 ","Female","1135","0.735155448846184","0.71286263176911","0.757448265923257"
"No, not limited","2011","Couple + C. LE and GT 16","Male","519","0.849980851498796","0.821963071859972","0.877998631137619"
"No, not limited","2011","Couple + C. LE and GT 16","Female","494","0.811286329828759","0.779977904478309","0.84259475517921"
"Yes, strongly limited","2012","1-pers.-HH","Male","195","0.120943421795564","0.104716291173084","0.137170552418044"
"Yes, strongly limited","2012","1-pers.-HH","Female","425","0.187791047621516","0.171240436779422","0.20434165846361"
"Yes, strongly limited","2012","(Married) couple without C. ","Male","551","0.129151638947816","0.118720796689146","0.139582481206486"
"Yes, strongly limited","2012","(Married) couple without C. ","Female","555","0.142759969034061","0.13195663500515","0.153563303062972"
"Yes, strongly limited","2012","Single parent ","Male","44","0.075110867130078","0.0529826682474188","0.0972390660127372"
"Yes, strongly limited","2012","Single parent ","Female","185","0.0969604216055434","0.0846208275342265","0.10930001567686"
"Yes, strongly limited","2012","Couple + C. LE 16 ","Male","140","0.0373348226293814","0.0310060116245652","0.0436636336341976"
"Yes, strongly limited","2012","Couple + C. LE 16 ","Female","106","0.0245173931071735","0.01958345095326","0.029451335261087"
"Yes, strongly limited","2012","Couple + C. GT 16 ","Male","93","0.0577462625488981","0.0462517455637279","0.0692407795340683"
"Yes, strongly limited","2012","Couple + C. GT 16 ","Female","69","0.0417998958127479","0.031331497382894","0.0522682942426018"
"Yes, strongly limited","2012","Couple + C. LE and GT 16","Male","55","0.064153733905565","0.0489059938272096","0.0794014739839204"
"Yes, strongly limited","2012","Couple + C. LE and GT 16","Female","40","0.0388578960766731","0.0268559446650874","0.0508598474882588"
"Yes, somewhat limited","2012","1-pers.-HH","Male","397","0.259455192395016","0.237640502385504","0.281269882404528"
"Yes, somewhat limited","2012","1-pers.-HH","Female","717","0.344888057613068","0.324744344148105","0.36503177107803"
"Yes, somewhat limited","2012","(Married) couple without C. ","Male","1279","0.310008146257451","0.295623251718716","0.324393040796187"
"Yes, somewhat limited","2012","(Married) couple without C. ","Female","1308","0.315515831982365","0.30116438662095","0.329867277343781"
"Yes, somewhat limited","2012","Single parent ","Male","100","0.164550490699481","0.133421894567723","0.195679086831239"
"Yes, somewhat limited","2012","Single parent ","Female","530","0.229797851335923","0.212253974175297","0.247341728496549"
"Yes, somewhat limited","2012","Couple + C. LE 16 ","Male","528","0.156224200138781","0.144103850816668","0.168344549460893"
"Yes, somewhat limited","2012","Couple + C. LE 16 ","Female","640","0.174417780489335","0.162311166751117","0.186524394227554"
"Yes, somewhat limited","2012","Couple + C. GT 16 ","Male","318","0.198933213618943","0.179261922601692","0.218604504636194"
"Yes, somewhat limited","2012","Couple + C. GT 16 ","Female","355","0.261471556573652","0.238485716729443","0.284457396417862"
"Yes, somewhat limited","2012","Couple + C. LE and GT 16","Male","176","0.198161289595051","0.173355950157203","0.2229666290329"
"Yes, somewhat limited","2012","Couple + C. LE and GT 16","Female","220","0.211062766464924","0.185720499514194","0.236405033415653"
"No, not limited","2012","1-pers.-HH","Male","959","0.61960138580942","0.595440222245946","0.643762549372894"
"No, not limited","2012","1-pers.-HH","Female","997","0.467320894765416","0.446177090521982","0.488464699008851"
"No, not limited","2012","(Married) couple without C. ","Male","2141","0.560840214794732","0.545404419765707","0.576276009823758"
"No, not limited","2012","(Married) couple without C. ","Female","2165","0.541724198983574","0.526337128586725","0.557111269380422"
