"ple0009","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Not Employed","1-pers.-HH","459","0.258587431722598","0.238548152177532","0.278626711267665"
"Yes, strongly limited","2011","Not Employed","(Married) couple without C. ","807","0.207990363720766","0.195589554926296","0.220391172515237"
"Yes, strongly limited","2011","Not Employed","Single parent ","53","0.143826009482377","0.10787531544423","0.179776703520524"
"Yes, strongly limited","2011","Not Employed","Couple + C. LE 16 ","39","0.115872912599155","0.0859320615361313","0.145813763662179"
"Yes, strongly limited","2011","Not Employed","Couple + C. GT 16 ","102","0.12428814707102","0.101991191737243","0.146585102404796"
"Yes, strongly limited","2011","Not Employed","Couple + C. LE and GT 16","22","","",""
"Yes, strongly limited","2011","Employed","1-pers.-HH","97","0.0588471798218157","0.0476797950780804","0.0700145645655511"
"Yes, strongly limited","2011","Employed","(Married) couple without C. ","210","0.0512572361852119","0.0444009965175702","0.0581134758528535"
"Yes, strongly limited","2011","Employed","Single parent ","35","0.0367286855211124","0.0236454594325722","0.0498119116096525"
"Yes, strongly limited","2011","Employed","Couple + C. LE 16 ","59","0.0240988827879468","0.0182721243196593","0.0299256412562344"
"Yes, strongly limited","2011","Employed","Couple + C. GT 16 ","95","0.040344593321259","0.0323619266789001","0.0483272599636179"
"Yes, strongly limited","2011","Employed","Couple + C. LE and GT 16","31","0.0361319833833484","0.0241121822211627","0.0481517845455342"
"Yes, somewhat limited","2011","Not Employed","1-pers.-HH","604","0.318961171846342","0.297630562057463","0.340291781635221"
"Yes, somewhat limited","2011","Not Employed","(Married) couple without C. ","1348","0.344587351416609","0.330067230049349","0.359107472783869"
"Yes, somewhat limited","2011","Not Employed","Single parent ","83","0.236856193769023","0.193299679866055","0.280412707671991"
"Yes, somewhat limited","2011","Not Employed","Couple + C. LE 16 ","62","0.132782988611441","0.101039771117171","0.16452620610571"
"Yes, somewhat limited","2011","Not Employed","Couple + C. GT 16 ","185","0.234967070860165","0.206312516477031","0.263621625243299"
"Yes, somewhat limited","2011","Not Employed","Couple + C. LE and GT 16","32","0.0996993299270348","0.0656835944633725","0.133715065390697"
"Yes, somewhat limited","2011","Employed","1-pers.-HH","299","0.176265668889267","0.158184103444606","0.194347234333929"
"Yes, somewhat limited","2011","Employed","(Married) couple without C. ","753","0.181685683763219","0.169697466970775","0.193673900555662"
"Yes, somewhat limited","2011","Employed","Single parent ","131","0.173974619291849","0.147606601497248","0.200342637086449"
"Yes, somewhat limited","2011","Employed","Couple + C. LE 16 ","305","0.131673653993368","0.118826214333294","0.144521093653442"
"Yes, somewhat limited","2011","Employed","Couple + C. GT 16 ","371","0.158722229678697","0.143897518203199","0.173546941154195"
"Yes, somewhat limited","2011","Employed","Couple + C. LE and GT 16","126","0.118275886887543","0.0974761872604829","0.139075586514602"
"No, not limited","2011","Not Employed","1-pers.-HH","771","0.42245139643106","0.399845014043381","0.445057778818739"
"No, not limited","2011","Not Employed","(Married) couple without C. ","1960","0.447422284862625","0.432230155141754","0.462614414583495"
"No, not limited","2011","Not Employed","Single parent ","230","0.6193177967486","0.569573234267294","0.669062359229907"
"No, not limited","2011","Not Employed","Couple + C. LE 16 ","338","0.751344098789404","0.710911220728471","0.791776976850338"
"No, not limited","2011","Not Employed","Couple + C. GT 16 ","554","0.640744782068815","0.60831872262295","0.673170841514681"
"No, not limited","2011","Not Employed","Couple + C. LE and GT 16","244","0.777772391043432","0.730569866458383","0.824974915628481"
"No, not limited","2011","Employed","1-pers.-HH","1310","0.764887151288917","0.744764025488475","0.785010277089358"
"No, not limited","2011","Employed","(Married) couple without C. ","3011","0.76705708005157","0.753914738231004","0.780199421872135"
"No, not limited","2011","Employed","Single parent ","628","0.789296695187039","0.760930985369982","0.817662405004096"
"No, not limited","2011","Employed","Couple + C. LE 16 ","2297","0.844227463218685","0.830448998200153","0.858005928237217"
"No, not limited","2011","Employed","Couple + C. GT 16 ","1868","0.800933177000044","0.784733914246874","0.817132439753213"
"No, not limited","2011","Employed","Couple + C. LE and GT 16","769","0.845592129729109","0.822318839780089","0.868865419678129"
"Yes, strongly limited","2012","Not Employed","1-pers.-HH","515","0.27634901777384","0.255982295538201","0.296715740009479"
"Yes, strongly limited","2012","Not Employed","(Married) couple without C. ","913","0.231237138879002","0.218407886036854","0.24406639172115"
"Yes, strongly limited","2012","Not Employed","Single parent ","119","0.176656487873055","0.149666310488243","0.203646665257866"
"Yes, strongly limited","2012","Not Employed","Couple + C. LE 16 ","104","0.0779924067706067","0.063745767154302","0.0922390463869115"
"Yes, strongly limited","2012","Not Employed","Couple + C. GT 16 ","92","0.116517155261575","0.0938405041668858","0.139193806356265"
"Yes, strongly limited","2012","Not Employed","Couple + C. LE and GT 16","43","0.111133766161585","0.0844011137922624","0.137866418530908"
"Yes, strongly limited","2012","Employed","1-pers.-HH","105","0.0516367450695229","0.0415199692583091","0.0617535208807367"
"Yes, strongly limited","2012","Employed","(Married) couple without C. ","193","0.0471996819527434","0.0405010177267893","0.0538983461786975"
"Yes, strongly limited","2012","Employed","Single parent ","110","0.0541902874091543","0.0442359634764097","0.0641446113418988"
"Yes, strongly limited","2012","Employed","Couple + C. LE 16 ","142","0.0226503217255388","0.0188408789180689","0.0264597645330088"
"Yes, strongly limited","2012","Employed","Couple + C. GT 16 ","70","0.0290306054755943","0.0220419108880969","0.0360193000630918"
"Yes, strongly limited","2012","Employed","Couple + C. LE and GT 16","52","0.0327303861400286","0.0235941429310945","0.0418666293489628"
"Yes, somewhat limited","2012","Not Employed","1-pers.-HH","714","0.399741666494158","0.37743234262547","0.422050990362846"
"Yes, somewhat limited","2012","Not Employed","(Married) couple without C. ","1609","0.390373704234121","0.375529787918405","0.405217620549838"
"Yes, somewhat limited","2012","Not Employed","Single parent ","198","0.266839926596331","0.235537700911955","0.298142152280707"
"Yes, somewhat limited","2012","Not Employed","Couple + C. LE 16 ","246","0.210288607565237","0.188638447941887","0.231938767188587"
"Yes, somewhat limited","2012","Not Employed","Couple + C. GT 16 ","194","0.251598261053034","0.220928800823132","0.282267721282935"
"Yes, somewhat limited","2012","Not Employed","Couple + C. LE and GT 16","105","0.168432261976179","0.136600382121968","0.20026414183039"
"Yes, somewhat limited","2012","Employed","1-pers.-HH","400","0.223672671764923","0.204622265691103","0.242723077838743"
"Yes, somewhat limited","2012","Employed","(Married) couple without C. ","978","0.240496563548133","0.22699646199522","0.253996665101045"
"Yes, somewhat limited","2012","Employed","Single parent ","432","0.186823362644977","0.169685478751384","0.203961246538569"
"Yes, somewhat limited","2012","Employed","Couple + C. LE 16 ","922","0.157187529350309","0.147868432967936","0.166506625732683"
"Yes, somewhat limited","2012","Employed","Couple + C. GT 16 ","479","0.217542689250183","0.2003688332431","0.234716545257267"
"Yes, somewhat limited","2012","Employed","Couple + C. LE and GT 16","291","0.216090147042192","0.194956772052523","0.237223522031862"
"No, not limited","2012","Not Employed","1-pers.-HH","623","0.323909315732002","0.302596452642175","0.345222178821829"
"No, not limited","2012","Not Employed","(Married) couple without C. ","1627","0.378389156886877","0.363631921460933","0.39314639231282"
"No, not limited","2012","Not Employed","Single parent ","450","0.556503585530614","0.521345157508447","0.591662013552782"
"No, not limited","2012","Not Employed","Couple + C. LE 16 ","1011","0.711718985664156","0.687654237303409","0.735783734024903"
"No, not limited","2012","Not Employed","Couple + C. GT 16 ","483","0.631884583685391","0.597797032437624","0.665972134933159"
"No, not limited","2012","Not Employed","Couple + C. LE and GT 16","383","0.720433971862236","0.68226239328291","0.758605550441561"
"No, not limited","2012","Employed","1-pers.-HH","1333","0.724690583165554","0.70427028026846","0.745110886062649"
"No, not limited","2012","Employed","(Married) couple without C. ","2679","0.712303754499124","0.698004366839112","0.726603142159136"
"No, not limited","2012","Employed","Single parent ","1445","0.758986349945869","0.740180760086108","0.777791939805629"
"No, not limited","2012","Employed","Couple + C. LE 16 ","4796","0.820162148924152","0.81032906611836","0.829995231729944"
"No, not limited","2012","Employed","Couple + C. GT 16 ","1668","0.753426705274223","0.735485204487894","0.771368206060551"
"No, not limited","2012","Employed","Couple + C. LE and GT 16","1114","0.751179466817779","0.728980473656725","0.773378459978833"
"Yes, strongly limited","2013","Not Employed","1-pers.-HH","494","0.258936860153374","0.240241478044563","0.277632242262184"
"Yes, strongly limited","2013","Not Employed","(Married) couple without C. ","838","0.195842076261548","0.184495390078341","0.207188762444754"
"Yes, strongly limited","2013","Not Employed","Single parent ","131","0.137210542370866","0.116105735834517","0.158315348907215"
"Yes, strongly limited","2013","Not Employed","Couple + C. LE 16 ","156","0.0652324769981488","0.0559881070791137","0.0744768469171838"
"Yes, strongly limited","2013","Not Employed","Couple + C. GT 16 ","140","0.126273875929988","0.108141026784062","0.144406725075914"
"Yes, strongly limited","2013","Not Employed","Couple + C. LE and GT 16","69","0.0782299907306142","0.0619017932784765","0.0945581881827518"
"Yes, strongly limited","2013","Employed","1-pers.-HH","106","0.0616914887733832","0.0505364452745125","0.0728465322722538"
"Yes, strongly limited","2013","Employed","(Married) couple without C. ","185","0.0465767782317498","0.0397958566614841","0.0533576998020155"
"Yes, strongly limited","2013","Employed","Single parent ","94","0.0513360891729719","0.0414829455393662","0.0611892328065776"
"Yes, strongly limited","2013","Employed","Couple + C. LE 16 ","138","0.0247104939949082","0.0205848091378582","0.0288361788519581"
"Yes, strongly limited","2013","Employed","Couple + C. GT 16 ","77","0.0384884358626154","0.0302626490106228","0.0467142227146081"
"Yes, strongly limited","2013","Employed","Couple + C. LE and GT 16","59","0.0427003437182307","0.0325060886495309","0.0528945987869304"
"Yes, somewhat limited","2013","Not Employed","1-pers.-HH","681","0.336513927039832","0.31634758039634","0.356680273683323"
"Yes, somewhat limited","2013","Not Employed","(Married) couple without C. ","1641","0.372125797437743","0.358305207627838","0.385946387247648"
"Yes, somewhat limited","2013","Not Employed","Single parent ","225","0.211540883350611","0.186490062202095","0.236591704499126"
"Yes, somewhat limited","2013","Not Employed","Couple + C. LE 16 ","380","0.132163871773842","0.119485344398803","0.144842399148882"
