"ple0009","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","16-34 y.","East Germany","889","0.88164582792101","0.861664695461667","0.901626960380353","3"
"No, not limited","2011","16-34 y.","West Germany","2959","0.900074113885833","0.889815450267739","0.910332777503927","3"
"No, not limited","2011","35-65 y.","West Germany","6266","0.705553655092844","0.695951746352811","0.715155563832877","3"
"No, not limited","2011","35-65 y.","East Germany","1780","0.655460680691867","0.637246696201396","0.673674665182338","3"
"No, not limited","2011","66 and older","West Germany","1816","0.432188805681101","0.41656319777696","0.447814413585242","3"
"No, not limited","2011","66 and older","East Germany","519","0.394253311173682","0.367439660137777","0.421066962209586","3"
"Yes, somewhat limited","2011","35-65 y.","East Germany","570","0.24163448188095","0.22522741350218","0.25804155025972","2"
"Yes, somewhat limited","2011","35-65 y.","West Germany","1677","0.204400614968344","0.195905333246799","0.212895896689888","2"
"Yes, somewhat limited","2011","16-34 y.","East Germany","92","0.0974285386568052","0.079085759910582","0.115771317403028","2"
"Yes, somewhat limited","2011","16-34 y.","West Germany","275","0.0822969682691487","0.0728963665910911","0.0916975699472064","2"
"Yes, somewhat limited","2011","66 and older","West Germany","1269","0.34416532571126","0.329179560152429","0.359151091270091","2"
"Yes, somewhat limited","2011","66 and older","East Germany","501","0.399584059245063","0.372708782932245","0.426459335557881","2"
"Yes, strongly limited","2011","16-34 y.","West Germany","49","0.017628917845018","0.0131273555817283","0.0221304801083077","1"
"Yes, strongly limited","2011","16-34 y.","East Germany","23","","","","1"
"Yes, strongly limited","2011","35-65 y.","West Germany","713","0.0900457299388117","0.0840155424921462","0.0960759173854772","1"
"Yes, strongly limited","2011","35-65 y.","East Germany","265","0.102904837427183","0.0912595718514761","0.11455010300289","1"
"Yes, strongly limited","2011","66 and older","West Germany","776","0.223645868607639","0.210502443211033","0.236789294004245","1"
"Yes, strongly limited","2011","66 and older","East Germany","256","0.206162629581255","0.183965669746897","0.228359589415613","1"
"No, not limited","2012","16-34 y.","West Germany","4175","0.864104665837701","0.85445656499383","0.873752766681572","3"
"No, not limited","2012","16-34 y.","East Germany","1148","0.844066971824322","0.824974270872241","0.863159672776403","3"
"No, not limited","2012","35-65 y.","West Germany","8457","0.65012372239827","0.64172045292635","0.658526991870191","3"
"No, not limited","2012","35-65 y.","East Germany","2146","0.598419696349092","0.581861399107931","0.614977993590253","3"
"No, not limited","2012","66 and older","West Germany","1551","0.373156106433831","0.357928304694217","0.388383908173444","3"
"No, not limited","2012","66 and older","East Germany","418","0.306631497933642","0.281410862994787","0.331852132872497","3"
"Yes, somewhat limited","2012","16-34 y.","East Germany","206","0.129651187048294","0.11197271281595","0.147329661280637","2"
"Yes, somewhat limited","2012","35-65 y.","West Germany","2967","0.263850618631078","0.256085375300053","0.271615861962104","2"
"Yes, somewhat limited","2012","35-65 y.","East Germany","912","0.296977637216541","0.281543833360953","0.31241144107213","2"
"Yes, somewhat limited","2012","16-34 y.","West Germany","581","0.120994863580047","0.111812900130116","0.130176827029978","2"
"Yes, somewhat limited","2012","66 and older","East Germany","544","0.429729395779156","0.402652205099392","0.45680658645892","2"
"Yes, somewhat limited","2012","66 and older","West Germany","1485","0.394044403040403","0.37865912958188","0.409429676498926","2"
"Yes, strongly limited","2012","16-34 y.","West Germany","90","0.0149004705822517","0.0114893550092283","0.0183115861552751","1"
"Yes, strongly limited","2012","16-34 y.","East Germany","33","0.026281841127384","0.0178629597961605","0.0347007224586075","1"
"Yes, strongly limited","2012","35-65 y.","West Germany","950","0.0860256589706518","0.0810851232804841","0.0909661946608194","1"
"Yes, strongly limited","2012","35-65 y.","East Germany","309","0.104602666434367","0.0942653976468986","0.114939935221835","1"
"Yes, strongly limited","2012","66 and older","West Germany","839","0.232799490525766","0.219493178853806","0.246105802197727","1"
"Yes, strongly limited","2012","66 and older","East Germany","322","0.263639106287202","0.239539172321318","0.287739040253085","1"
"No, not limited","2013","16-34 y.","East Germany","1130","0.854897025211199","0.83611616511617","0.873677885306227","3"
"No, not limited","2013","16-34 y.","West Germany","5682","0.883963399694584","0.876176351235177","0.891750448153991","3"
"No, not limited","2013","35-65 y.","West Germany","9912","0.66913763951211","0.661376738314488","0.676898540709733","3"
"No, not limited","2013","35-65 y.","East Germany","2316","0.642329614083271","0.626418343404507","0.658240884762036","3"
"No, not limited","2013","66 and older","West Germany","1645","0.410465620279996","0.394804549651936","0.426126690908055","3"
"No, not limited","2013","66 and older","East Germany","439","0.345392109557803","0.318775687176198","0.372008531939408","3"
"Yes, somewhat limited","2013","35-65 y.","West Germany","3089","0.238122444393782","0.23109700488759","0.245147883899973","2"
"Yes, somewhat limited","2013","35-65 y.","East Germany","853","0.255881230508146","0.241396022218442","0.27036643879785","2"
"Yes, somewhat limited","2013","16-34 y.","East Germany","182","0.115125691979167","0.0981061708578073","0.132145213100526","2"
"Yes, somewhat limited","2013","16-34 y.","West Germany","693","0.0953354630938178","0.0881949526143959","0.10247597357324","2"
"Yes, somewhat limited","2013","66 and older","West Germany","1398","0.374986197091079","0.359573418798131","0.390398975384028","2"
"Yes, somewhat limited","2013","66 and older","East Germany","523","0.425288886296985","0.397615030689063","0.452962741904906","2"
"Yes, strongly limited","2013","16-34 y.","West Germany","123","0.0207011372115982","0.0172392496002491","0.0241630248229473","1"
"Yes, strongly limited","2013","16-34 y.","East Germany","39","0.0299772828096344","0.0208842763064562","0.0390702893128126","1"
"Yes, strongly limited","2013","35-65 y.","West Germany","1119","0.092739916094108","0.0879554884179502","0.0975243437702658","1"
"Yes, strongly limited","2013","35-65 y.","East Germany","317","0.101789155408583","0.0917516844401765","0.111826626376989","1"
"Yes, strongly limited","2013","66 and older","West Germany","747","0.214548182628925","0.201478932179433","0.227617433078418","1"
"Yes, strongly limited","2013","66 and older","East Germany","264","0.229319004145212","0.205786930198681","0.252851078091744","1"
"No, not limited","2014","16-34 y.","East Germany","","","","","3"
"No, not limited","2014","16-34 y.","West Germany","","","","","3"
"No, not limited","2014","35-65 y.","West Germany","","","","","3"
"No, not limited","2014","35-65 y.","East Germany","","","","","3"
"No, not limited","2014","66 and older","West Germany","","","","","3"
"No, not limited","2014","66 and older","East Germany","","","","","3"
"Yes, somewhat limited","2014","16-34 y.","East Germany","","","","","2"
"Yes, somewhat limited","2014","35-65 y.","West Germany","","","","","2"
"Yes, somewhat limited","2014","16-34 y.","West Germany","","","","","2"
"Yes, somewhat limited","2014","35-65 y.","East Germany","","","","","2"
"Yes, somewhat limited","2014","66 and older","East Germany","","","","","2"
"Yes, somewhat limited","2014","66 and older","West Germany","","","","","2"
"Yes, strongly limited","2014","16-34 y.","West Germany","","","","","1"
"Yes, strongly limited","2014","16-34 y.","East Germany","","","","","1"
"Yes, strongly limited","2014","35-65 y.","West Germany","","","","","1"
"Yes, strongly limited","2014","35-65 y.","East Germany","","","","","1"
"Yes, strongly limited","2014","66 and older","West Germany","","","","","1"
"Yes, strongly limited","2014","66 and older","East Germany","","","","","1"
"No, not limited","2015","16-34 y.","East Germany","920","0.822573187682333","0.800209563552514","0.844936811812151","3"
"No, not limited","2015","16-34 y.","West Germany","4815","0.868648129014309","0.859746959307636","0.877549298720982","3"
"No, not limited","2015","35-65 y.","West Germany","8359","0.665369329504649","0.656927520139203","0.673811138870096","3"
"No, not limited","2015","35-65 y.","East Germany","1966","0.625249038396174","0.607936198249194","0.642561878543154","3"
"No, not limited","2015","66 and older","West Germany","1542","0.400250584898804","0.38435152006381","0.416149649733799","3"
"No, not limited","2015","66 and older","East Germany","438","0.342029933275364","0.31530045192314","0.368759414627589","3"
"Yes, somewhat limited","2015","16-34 y.","West Germany","604","0.109800473559585","0.101561885438185","0.118039061680985","2"
"Yes, somewhat limited","2015","16-34 y.","East Germany","159","0.144682245662732","0.124089386527627","0.165275104797837","2"
"Yes, somewhat limited","2015","35-65 y.","West Germany","2687","0.236561065436805","0.228958151648331","0.24416397922528","2"
"Yes, somewhat limited","2015","35-65 y.","East Germany","767","0.272609145235455","0.256682490927111","0.2885357995438","2"
"Yes, somewhat limited","2015","66 and older","West Germany","1401","0.384168762620043","0.368384926695601","0.399952598544484","2"
"Yes, somewhat limited","2015","66 and older","East Germany","513","0.42255185077184","0.394719370695561","0.450384330848119","2"
"Yes, strongly limited","2015","16-34 y.","West Germany","113","0.0215513974261059","0.0177247915697439","0.0253780032824678","1"
"Yes, strongly limited","2015","16-34 y.","East Germany","42","0.0327445666549353","0.0223265392061351","0.0431625941037356","1"
"Yes, strongly limited","2015","35-65 y.","West Germany","956","0.0980696050585451","0.0927488287093835","0.103390381407707","1"
"Yes, strongly limited","2015","35-65 y.","East Germany","270","0.10214181636837","0.091310628571727","0.112973004165014","1"
"Yes, strongly limited","2015","66 and older","East Germany","259","0.235418215952796","0.211513289525595","0.259323142379997","1"
"Yes, strongly limited","2015","66 and older","West Germany","705","0.215580652481153","0.202236232074331","0.228925072887975","1"
"No, not limited","2016","16-34 y.","West Germany","1746","0.86119972631316","0.846262412377449","0.876137040248871","3"
"No, not limited","2016","16-34 y.","East Germany","357","0.804134255550034","0.767343572172844","0.840924938927224","3"
"No, not limited","2016","35-65 y.","West Germany","1083","0.685613277775212","0.662141806776217","0.709084748774207","3"
"No, not limited","2016","35-65 y.","East Germany","222","0.745154833415202","0.697631347217747","0.792678319612658","3"
"No, not limited","2016","66 and older","West Germany","6","","","","3"
"No, not limited","2016","66 and older","East Germany","","","","","3"
"Yes, somewhat limited","2016","16-34 y.","East Germany","62","0.136661663438232","0.104819087450373","0.168504239426091","2"
"Yes, somewhat limited","2016","16-34 y.","West Germany","239","0.10487272145703","0.0916354318354196","0.11811001107864","2"
"Yes, somewhat limited","2016","35-65 y.","West Germany","315","0.223148240978658","0.202099098329153","0.244197383628164","2"
