"ple0009","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","in school","West Germany","1","","",""
"Yes, strongly limited","2011","in school","East Germany","1","","",""
"Yes, strongly limited","2011","inadequately","West Germany","43","0.250337651254623","0.190744547063968","0.309930755445278"
"Yes, strongly limited","2011","inadequately","East Germany","2","","",""
"Yes, strongly limited","2011","general elemantary","West Germany","287","0.171985286410226","0.154849409352389","0.189121163468063"
"Yes, strongly limited","2011","general elemantary","East Germany","55","0.181145855339732","0.13719629248874","0.225095418190725"
"Yes, strongly limited","2011","middle vocational","West Germany","871","0.120277080340303","0.113079470002731","0.127474690677874"
"Yes, strongly limited","2011","middle vocational","East Germany","310","0.114610940719645","0.102427194500446","0.126794686938844"
"Yes, strongly limited","2011","vocational + Abi","West Germany","65","0.0641959426599145","0.0491910666705503","0.0792008186492787"
"Yes, strongly limited","2011","vocational + Abi","East Germany","8","","",""
"Yes, strongly limited","2011","higher vocational","West Germany","91","0.0999244557375042","0.0817153084770034","0.118133602998005"
"Yes, strongly limited","2011","higher vocational","East Germany","54","0.129153378101451","0.0963287642738677","0.161977991929034"
"Yes, strongly limited","2011","higher education","West Germany","162","0.0528044525433291","0.0451531760061979","0.0604557290804603"
"Yes, strongly limited","2011","higher education","East Germany","110","0.0996671788870827","0.083263126402668","0.116071231371497"
"Yes, somewhat limited","2011","in school","West Germany","17","","",""
"Yes, somewhat limited","2011","in school","East Germany","","","",""
"Yes, somewhat limited","2011","inadequately","West Germany","59","0.281195020466566","0.219349332713688","0.343040708219443"
"Yes, somewhat limited","2011","inadequately","East Germany","9","","",""
"Yes, somewhat limited","2011","general elemantary","West Germany","483","0.263054280489707","0.243061090155898","0.283047470823516"
"Yes, somewhat limited","2011","general elemantary","East Germany","81","0.261019867453204","0.210902269633067","0.31113746527334"
"Yes, somewhat limited","2011","middle vocational","West Germany","1662","0.220314782714185","0.211144021016729","0.229485544411642"
"Yes, somewhat limited","2011","middle vocational","East Germany","607","0.248816797883346","0.23228144329981","0.265352152466882"
"Yes, somewhat limited","2011","vocational + Abi","West Germany","175","0.198449440068076","0.174033325272359","0.222865554863793"
"Yes, somewhat limited","2011","vocational + Abi","East Germany","30","0.163640121251964","0.109292619943726","0.217987622560203"
"Yes, somewhat limited","2011","higher vocational","West Germany","217","0.210525341767424","0.185771904195091","0.235278779339757"
"Yes, somewhat limited","2011","higher vocational","East Germany","109","0.266383115306321","0.223115405257183","0.309650825355458"
"Yes, somewhat limited","2011","higher education","West Germany","573","0.181128903807689","0.167952998861919","0.194304808753458"
"Yes, somewhat limited","2011","higher education","East Germany","318","0.278857900575385","0.254300893927716","0.303414907223054"
"No, not limited","2011","in school","West Germany","260","0.923766930484609","0.89257238931849","0.954961471650728"
"No, not limited","2011","in school","East Germany","34","0.983664605070582","0.941669138521938","1.02566007161923"
"No, not limited","2011","inadequately","West Germany","101","0.468467328278811","0.399822992313192","0.537111664244431"
"No, not limited","2011","inadequately","East Germany","18","","",""
"No, not limited","2011","general elemantary","West Germany","1093","0.564960433100067","0.542448382352807","0.587472483847326"
"No, not limited","2011","general elemantary","East Germany","159","0.557834277207064","0.501160492282816","0.614508062131311"
"No, not limited","2011","middle vocational","West Germany","5313","0.659408136945512","0.648921934831147","0.669894339059878"
"No, not limited","2011","middle vocational","East Germany","1709","0.636572261397009","0.618175828477635","0.654968694316382"
"No, not limited","2011","vocational + Abi","West Germany","785","0.73735461727201","0.710413894334374","0.764295340209645"
"No, not limited","2011","vocational + Abi","East Germany","140","0.790425293649795","0.730634001694958","0.850216585604633"
"No, not limited","2011","higher vocational","West Germany","734","0.689550202495072","0.661457542228373","0.717642862761771"
"No, not limited","2011","higher vocational","East Germany","238","0.604463506592229","0.556605541637655","0.652321471546802"
"No, not limited","2011","higher education","West Germany","2547","0.766066643648982","0.751583656181302","0.780549631116662"
"No, not limited","2011","higher education","East Germany","853","0.621474920537532","0.594914639897713","0.648035201177351"
"Yes, strongly limited","2012","in school","West Germany","4","","",""
"Yes, strongly limited","2012","in school","East Germany","","","",""
"Yes, strongly limited","2012","inadequately","West Germany","62","0.245932478256997","0.199469806229772","0.292395150284222"
"Yes, strongly limited","2012","inadequately","East Germany","7","","",""
"Yes, strongly limited","2012","general elemantary","West Germany","365","0.163752518270032","0.149158965944564","0.1783460705955"
"Yes, strongly limited","2012","general elemantary","East Germany","61","0.194072468369204","0.153555447118746","0.234589489619663"
"Yes, strongly limited","2012","middle vocational","West Germany","1024","0.115641860471901","0.109387738271819","0.121895982671982"
"Yes, strongly limited","2012","middle vocational","East Germany","394","0.139111779450184","0.127182874602226","0.151040684298143"
"Yes, strongly limited","2012","vocational + Abi","West Germany","95","0.064900195196701","0.053017183104566","0.076783207288836"
"Yes, strongly limited","2012","vocational + Abi","East Germany","14","","",""
"Yes, strongly limited","2012","higher vocational","West Germany","98","0.0819869031446348","0.0671363228292871","0.0968374834599826"
"Yes, strongly limited","2012","higher vocational","East Germany","66","0.136151188677135","0.104674049207361","0.16762832814691"
"Yes, strongly limited","2012","higher education","West Germany","215","0.0576872791958058","0.0509067735630881","0.0644677848285236"
"Yes, strongly limited","2012","higher education","East Germany","116","0.092275810729964","0.077702351048937","0.106849270410991"
"Yes, somewhat limited","2012","in school","West Germany","43","0.0961295519211696","0.0677353626356872","0.124523741206652"
"Yes, somewhat limited","2012","in school","East Germany","8","","",""
"Yes, somewhat limited","2012","inadequately","West Germany","91","0.347166532860577","0.295802247242845","0.39853081847831"
"Yes, somewhat limited","2012","inadequately","East Germany","11","","",""
"Yes, somewhat limited","2012","general elemantary","West Germany","690","0.302892214398286","0.284770735564935","0.321013693231636"
"Yes, somewhat limited","2012","general elemantary","East Germany","108","0.323487281904896","0.275560956022008","0.371413607787783"
"Yes, somewhat limited","2012","middle vocational","West Germany","2548","0.279559323929118","0.2707826322451","0.288336015613135"
"Yes, somewhat limited","2012","middle vocational","East Germany","892","0.295642691745361","0.279912814800413","0.311372568690308"
