"ple0009","year","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","2082","0.109779326900003","0.105520161603604","0.114038492196402"
"Yes, somewhat limited","2011","4384","0.22108300396037","0.215429227357534","0.226736780563206"
"No, not limited","2011","14229","0.669137669139627","0.662727097207302","0.675548241071953"
"Yes, strongly limited","2012","2543","0.108854086415177","0.105148167078521","0.112560005751832"
"Yes, somewhat limited","2012","6695","0.26718926736648","0.261924191920071","0.272454342812888"
"No, not limited","2012","17895","0.623956646218344","0.618193026084367","0.62972026635232"
"Yes, strongly limited","2013","2609","0.107173709201647","0.103700488720113","0.11064692968318"
"Yes, somewhat limited","2013","6738","0.24231914378758","0.237508072882745","0.247130214692416"
"No, not limited","2013","21124","0.650507147010773","0.645153497654336","0.65586079636721"
"Yes, strongly limited","2014","","","",""
"Yes, somewhat limited","2014","","","",""
"No, not limited","2014","","","",""
"Yes, strongly limited","2015","2345","0.110815025677893","0.107036786307447","0.114593265048339"
"Yes, somewhat limited","2015","6131","0.249679473464833","0.244469818996584","0.254889127933081"
"No, not limited","2015","18040","0.639505500857274","0.633726329801892","0.645284671912656"
"Yes, strongly limited","2016","244","0.0526535098564039","0.0460218476077944","0.0592851721050133"
"Yes, somewhat limited","2016","699","0.141738882367614","0.131382489142115","0.152095275593113"
"No, not limited","2016","3414","0.805607607775982","0.793857124665006","0.817358090886958"
"Yes, strongly limited","2017","2475","0.103113207119814","0.0996343786903457","0.106592035549282"
"Yes, somewhat limited","2017","6681","0.256021282828361","0.251028699302868","0.261013866353855"
"No, not limited","2017","20199","0.640865510051825","0.635377447458981","0.646353572644668"
"Yes, strongly limited","2018","23","","",""
"Yes, somewhat limited","2018","67","0.168613944530115","0.132975948520081","0.204251940540148"
"No, not limited","2018","334","0.787889982451178","0.748978431445282","0.826801533457074"
"Yes, strongly limited","2019","2527","0.105332060487355","0.10183320252364","0.108830918451071"
"Yes, somewhat limited","2019","7045","0.263798475642916","0.258775632887642","0.26882131839819"
"No, not limited","2019","19999","0.630869463869729","0.625369310175298","0.63636961756416"
