"ple0009","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Male","929","0.0984934344462069","0.0925829606891384","0.104403908203275"
"Yes, strongly limited","2011","Female","1153","0.120588812586799","0.114484065920918","0.126693559252681"
"Yes, somewhat limited","2011","Male","1925","0.197584558803619","0.189686682180406","0.205482435426832"
"Yes, somewhat limited","2011","Female","2459","0.243589518852636","0.235542663185481","0.251636374519792"
"No, not limited","2011","Male","6910","0.703922006750175","0.694866775591301","0.712977237909048"
"No, not limited","2011","Female","7319","0.635821668560564","0.626800914199441","0.644842422921688"
"Yes, strongly limited","2012","Male","1113","0.0976642174966825","0.0924164935942009","0.102911941399164"
"Yes, strongly limited","2012","Female","1430","0.119375638416056","0.114159076794289","0.124592200037824"
"Yes, somewhat limited","2012","Male","2838","0.246301244319928","0.238684816120774","0.253917672519081"
"Yes, somewhat limited","2012","Female","3857","0.286829749509809","0.279552959429717","0.2941065395899"
"No, not limited","2012","Male","8342","0.65603453818339","0.647637233318588","0.664431843048191"
"No, not limited","2012","Female","9553","0.593794612074135","0.585892883515394","0.601696340632876"
"Yes, strongly limited","2013","Male","1118","0.0928075400139916","0.0879843410644831","0.0976307389635001"
"Yes, strongly limited","2013","Female","1491","0.120719064446649","0.115758114936041","0.125680013957257"
"Yes, somewhat limited","2013","Male","2888","0.223596755716088","0.216670950880004","0.230522560552171"
"Yes, somewhat limited","2013","Female","3850","0.259971824481407","0.253292995597272","0.266650653365542"
"No, not limited","2013","Male","9897","0.683595704269921","0.675865078009243","0.691326330530599"
"No, not limited","2013","Female","11227","0.619309111071943","0.6119155609019","0.626702661241987"
"Yes, strongly limited","2014","Male","","","",""
"Yes, strongly limited","2014","Female","","","",""
"Yes, somewhat limited","2014","Male","","","",""
"Yes, somewhat limited","2014","Female","","","",""
"No, not limited","2014","Male","","","",""
"No, not limited","2014","Female","","","",""
"Yes, strongly limited","2015","Male","1008","0.100194072008079","0.0948628009631556","0.105525343053002"
"Yes, strongly limited","2015","Female","1337","0.120955894649486","0.115617278510148","0.126294510788824"
"Yes, somewhat limited","2015","Male","2565","0.224653818429858","0.217243445700709","0.232064191159007"
"Yes, somewhat limited","2015","Female","3566","0.273573927440205","0.266275271233515","0.280872583646894"
"No, not limited","2015","Male","8612","0.675152109562063","0.666836843225597","0.68346737589853"
"No, not limited","2015","Female","9428","0.60547017791031","0.597468222262859","0.613472133557761"
"Yes, strongly limited","2016","Male","130","0.0446963686124226","0.0369279933049151","0.0524647439199301"
"Yes, strongly limited","2016","Female","114","0.0743012015884974","0.0616044862487995","0.0869979169281954"
"Yes, somewhat limited","2016","Male","356","0.119680044040971","0.107477384105833","0.13188270397611"
"Yes, somewhat limited","2016","Female","343","0.201750753141486","0.182322423870454","0.221179082412519"
"No, not limited","2016","Male","2232","0.835623587346606","0.821690464728646","0.849556709964566"
"No, not limited","2016","Female","1182","0.723948045270016","0.702305530254123","0.745590560285909"
"Yes, strongly limited","2017","Male","1051","0.0913822544959437","0.0865893730090614","0.096175135982826"
"Yes, strongly limited","2017","Female","1424","0.114424740879976","0.109408531679335","0.119440950080616"
"Yes, somewhat limited","2017","Male","2874","0.231132094279657","0.224120268083007","0.238143920476306"
"Yes, somewhat limited","2017","Female","3807","0.280020603732516","0.2729450902614","0.287096117203633"
"No, not limited","2017","Male","9960","0.6774856512244","0.669710663349872","0.685260639098927"
"No, not limited","2017","Female","10239","0.605554655387508","0.597853196078288","0.613256114696728"
"Yes, strongly limited","2018","Male","11","","",""
"Yes, strongly limited","2018","Female","12","","",""
"Yes, somewhat limited","2018","Male","29","","",""
"Yes, somewhat limited","2018","Female","38","0.171724556880836","0.122663290133555","0.220785823628117"
"No, not limited","2018","Male","157","0.804278615064482","0.748875092420094","0.85968213770887"
"No, not limited","2018","Female","177","0.775783244730058","0.721528291691886","0.83003819776823"
"Yes, strongly limited","2019","Male","1132","0.0925853856313283","0.0878824960166353","0.0972882752460213"
"Yes, strongly limited","2019","Female","1394","0.117618904528366","0.112458261092148","0.122779547964585"
"Yes, somewhat limited","2019","Male","3107","0.239593199213594","0.232667702619936","0.246518695807253"
"Yes, somewhat limited","2019","Female","3935","0.287069296055334","0.279822363450062","0.294316228660606"
"No, not limited","2019","Male","10353","0.667821415155077","0.66017942160881","0.675463408701345"
"No, not limited","2019","Female","9641","0.5953117994163","0.587449135596927","0.603174463235672"
