"ple0009","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","Not Employed","Full Time","","","",""
"Yes, strongly limited","2011","Not Employed","Part Time","","","",""
"Yes, strongly limited","2011","Not Employed","Not Working","1538","0.211579036555351","0.202665269007911","0.220492804102792"
"Yes, strongly limited","2011","Employed","Full Time","268","0.0343570551114852","0.0303031512830137","0.0384109589399568"
"Yes, strongly limited","2011","Employed","Part Time","276","0.0657154546795643","0.0587598623158521","0.0726710470432765"
"Yes, strongly limited","2011","Employed","Not Working","","","",""
"Yes, somewhat limited","2011","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2011","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2011","Not Employed","Not Working","2361","0.310374191432165","0.300277119299778","0.320471263564551"
"Yes, somewhat limited","2011","Employed","Full Time","1192","0.154624759661003","0.146577991836498","0.162671527485508"
"Yes, somewhat limited","2011","Employed","Part Time","831","0.182978628775507","0.172124932265248","0.193832325285765"
"Yes, somewhat limited","2011","Employed","Not Working","","","",""
"No, not limited","2011","Not Employed","Full Time","","","",""
"No, not limited","2011","Not Employed","Part Time","","","",""
"No, not limited","2011","Not Employed","Not Working","4166","0.478046772012484","0.467145005055239","0.48894853896973"
"No, not limited","2011","Employed","Full Time","6295","0.811018185227512","0.802304888706253","0.819731481748771"
"No, not limited","2011","Employed","Part Time","3768","0.751305916544929","0.739171974616503","0.763439858473355"
"No, not limited","2011","Employed","Not Working","","","",""
"Yes, strongly limited","2012","Not Employed","Full Time","","","",""
"Yes, strongly limited","2012","Not Employed","Part Time","","","",""
"Yes, strongly limited","2012","Not Employed","Not Working","1857","0.22213496978569","0.213840902996898","0.230429036574482"
"Yes, strongly limited","2012","Employed","Full Time","293","0.0285678413413116","0.0253288972871994","0.0318067853954238"
"Yes, strongly limited","2012","Employed","Part Time","393","0.0585596818522387","0.0531815805324483","0.063937783172029"
"Yes, strongly limited","2012","Employed","Not Working","","","",""
"Yes, somewhat limited","2012","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2012","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2012","Not Employed","Not Working","3127","0.355836344902673","0.346283555603467","0.365389134201879"
"Yes, somewhat limited","2012","Employed","Full Time","1925","0.195214257156346","0.187507806553421","0.202920707759271"
"Yes, somewhat limited","2012","Employed","Part Time","1643","0.243132549487009","0.233306822449604","0.252958276524414"
"Yes, somewhat limited","2012","Employed","Not Working","","","",""
"No, not limited","2012","Not Employed","Full Time","","","",""
"No, not limited","2012","Not Employed","Part Time","","","",""
"No, not limited","2012","Not Employed","Not Working","4665","0.422028685311637","0.4121742653711","0.431883105252174"
"No, not limited","2012","Employed","Full Time","7944","0.776217901502343","0.768114581419106","0.784321221585579"
"No, not limited","2012","Employed","Part Time","5286","0.698307768660752","0.687794476605989","0.708821060715515"
"No, not limited","2012","Employed","Not Working","","","",""
"Yes, strongly limited","2013","Not Employed","Full Time","","","",""
"Yes, strongly limited","2013","Not Employed","Part Time","","","",""
"Yes, strongly limited","2013","Not Employed","Not Working","1929","0.187757514144106","0.181223249447066","0.194291778841145"
"Yes, strongly limited","2013","Employed","Full Time","269","0.0309047410680257","0.0274472101454657","0.0343622719905857"
"Yes, strongly limited","2013","Employed","Part Time","411","0.0695688335471319","0.0636617288605775","0.0754759382336863"
"Yes, strongly limited","2013","Employed","Not Working","","","",""
"Yes, somewhat limited","2013","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2013","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2013","Not Employed","Not Working","3504","0.30508093927752","0.297376698303271","0.312785180251769"
"Yes, somewhat limited","2013","Employed","Full Time","1715","0.177757241417221","0.17011916562571","0.185395317208732"
"Yes, somewhat limited","2013","Employed","Part Time","1519","0.221664504529639","0.212020516169216","0.231308492890062"
"Yes, somewhat limited","2013","Employed","Not Working","","","",""
"No, not limited","2013","Not Employed","Full Time","","","",""
"No, not limited","2013","Not Employed","Part Time","","","",""
"No, not limited","2013","Not Employed","Not Working","8288","0.507161546578374","0.498796263139435","0.515526830017314"
"No, not limited","2013","Employed","Full Time","7640","0.791338017514753","0.783219570439908","0.799456464589598"
"No, not limited","2013","Employed","Part Time","5196","0.708766661923229","0.698218000167862","0.719315323678597"
"No, not limited","2013","Employed","Not Working","","","",""
"Yes, strongly limited","2014","Not Employed","Full Time","","","",""
"Yes, strongly limited","2014","Not Employed","Part Time","","","",""
"Yes, strongly limited","2014","Not Employed","Not Working","","","",""
"Yes, strongly limited","2014","Employed","Full Time","","","",""
"Yes, strongly limited","2014","Employed","Part Time","","","",""
"Yes, strongly limited","2014","Employed","Not Working","","","",""
"Yes, somewhat limited","2014","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2014","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2014","Not Employed","Not Working","","","",""
"Yes, somewhat limited","2014","Employed","Full Time","","","",""
"Yes, somewhat limited","2014","Employed","Part Time","","","",""
"Yes, somewhat limited","2014","Employed","Not Working","","","",""
"No, not limited","2014","Not Employed","Full Time","","","",""
"No, not limited","2014","Not Employed","Part Time","","","",""
"No, not limited","2014","Not Employed","Not Working","","","",""
"No, not limited","2014","Employed","Full Time","","","",""
"No, not limited","2014","Employed","Part Time","","","",""
"No, not limited","2014","Employed","Not Working","","","",""
"Yes, strongly limited","2015","Not Employed","Full Time","","","",""
"Yes, strongly limited","2015","Not Employed","Part Time","","","",""
"Yes, strongly limited","2015","Not Employed","Not Working","1692","0.215723305578293","0.207716181546589","0.223730429609997"
"Yes, strongly limited","2015","Employed","Full Time","259","0.0287997645330335","0.0254078354681096","0.0321916935979573"
"Yes, strongly limited","2015","Employed","Part Time","394","0.0708685379757748","0.0648743952279806","0.076862680723569"
"Yes, strongly limited","2015","Employed","Not Working","","","",""
"Yes, somewhat limited","2015","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2015","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2015","Not Employed","Not Working","2856","0.324937500494428","0.315820220820685","0.33405478016817"
"Yes, somewhat limited","2015","Employed","Full Time","1679","0.181057963631435","0.173248282516574","0.188867644746297"
"Yes, somewhat limited","2015","Employed","Part Time","1596","0.236238881890432","0.226316493481695","0.24616127029917"
"Yes, somewhat limited","2015","Employed","Not Working","","","",""
"No, not limited","2015","Not Employed","Full Time","","","",""
"No, not limited","2015","Not Employed","Part Time","","","",""
"No, not limited","2015","Not Employed","Not Working","5589","0.459339193927279","0.449638058585487","0.469040329269072"
"No, not limited","2015","Employed","Full Time","7401","0.790142271835531","0.781883546264003","0.798400997407059"
"No, not limited","2015","Employed","Part Time","5050","0.692892580133793","0.68211701958793","0.703668140679655"
"No, not limited","2015","Employed","Not Working","","","",""
"Yes, strongly limited","2016","Not Employed","Full Time","","","",""
"Yes, strongly limited","2016","Not Employed","Part Time","","","",""
"Yes, strongly limited","2016","Not Employed","Not Working","242","0.052472954140986","0.0458360274699387","0.0591098808120334"
"Yes, strongly limited","2016","Employed","Full Time","","","",""
"Yes, strongly limited","2016","Employed","Part Time","","","",""
"Yes, strongly limited","2016","Employed","Not Working","","","",""
"Yes, somewhat limited","2016","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2016","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2016","Not Employed","Not Working","695","0.141467269477371","0.13109413834249","0.151840400612251"
"Yes, somewhat limited","2016","Employed","Full Time","","","",""
"Yes, somewhat limited","2016","Employed","Part Time","","","",""
"Yes, somewhat limited","2016","Employed","Not Working","","","",""
"No, not limited","2016","Not Employed","Full Time","","","",""
"No, not limited","2016","Not Employed","Part Time","","","",""
"No, not limited","2016","Not Employed","Not Working","3399","0.806059776381643","0.794291278726724","0.817828274036562"
"No, not limited","2016","Employed","Full Time","","","",""
"No, not limited","2016","Employed","Part Time","","","",""
"No, not limited","2016","Employed","Not Working","","","",""
"Yes, strongly limited","2017","Not Employed","Full Time","","","",""
"Yes, strongly limited","2017","Not Employed","Part Time","","","",""
"Yes, strongly limited","2017","Not Employed","Not Working","1732","0.213968916875592","0.206420499291593","0.221517334459591"
"Yes, strongly limited","2017","Employed","Full Time","312","0.0276645618693379","0.0245085042403999","0.030820619498276"
"Yes, strongly limited","2017","Employed","Part Time","431","0.0621300362698608","0.0567179253149265","0.067542147224795"
"Yes, strongly limited","2017","Employed","Not Working","","","",""
"Yes, somewhat limited","2017","Not Employed","Full Time","","","",""
"Yes, somewhat limited","2017","Not Employed","Part Time","","","",""
"Yes, somewhat limited","2017","Not Employed","Not Working","3105","0.341992159302819","0.333260750498919","0.350723568106718"
"Yes, somewhat limited","2017","Employed","Full Time","1899","0.187368289919308","0.179859500960082","0.194877078878535"
"Yes, somewhat limited","2017","Employed","Part Time","1677","0.24006764793813","0.230491323305904","0.249643972570355"
"Yes, somewhat limited","2017","Employed","Not Working","","","",""
"No, not limited","2017","Not Employed","Full Time","","","",""
"No, not limited","2017","Not Employed","Part Time","","","",""
"No, not limited","2017","Not Employed","Not Working","6502","0.444038923821589","0.434893719191687","0.453184128451491"
"No, not limited","2017","Employed","Full Time","8163","0.784967148211354","0.777061215435849","0.792873080986858"
"No, not limited","2017","Employed","Part Time","5534","0.697802315792009","0.687506604790322","0.708098026793697"
"No, not limited","2017","Employed","Not Working","","","",""
"Yes, strongly limited","2018","Not Employed","Full Time","","","",""
