"ple0009","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","indirect migration background","683","0.881768200736775","0.85920996708629","0.904326434387261","3"
"No, not limited","2011","no migration background","12157","0.656586803456767","0.649631703661899","0.663541903251634","3"
"No, not limited","2011","direct migration background","1389","0.688409484890028","0.668121841997048","0.708697127783007","3"
"Yes, somewhat limited","2011","indirect migration background","84","0.0967610339536261","0.0761066470766356","0.117415420830617","2"
"Yes, somewhat limited","2011","direct migration background","415","0.215804835035725","0.197784671832709","0.23382499823874","2"
"Yes, somewhat limited","2011","no migration background","3885","0.22755054459041","0.221409775370172","0.233691313810648","2"
"Yes, strongly limited","2011","no migration background","1864","0.115862651952823","0.111174729687913","0.120550574217734","1"
"Yes, strongly limited","2011","direct migration background","198","0.0957856800742477","0.0828942220666868","0.108677138081809","1"
"Yes, strongly limited","2011","indirect migration background","20","","","","1"
"No, not limited","2012","indirect migration background","980","0.778140981062646","0.755116644534658","0.801165317590635","3"
"No, not limited","2012","direct migration background","2069","0.662507146733952","0.645541272014772","0.679473021453133","3"
"No, not limited","2012","no migration background","14846","0.609509101574841","0.603190152272625","0.615828050877056","3"
"Yes, somewhat limited","2012","direct migration background","660","0.241558112434832","0.226200607961976","0.256915616907688","2"
"Yes, somewhat limited","2012","indirect migration background","211","0.178723396030185","0.157493157885164","0.199953634175207","2"
"Yes, somewhat limited","2012","no migration background","5824","0.276057096777467","0.270266798567267","0.281847394987667","2"
"Yes, strongly limited","2012","no migration background","2228","0.114433801647692","0.110310577029632","0.118557026265753","1"
"Yes, strongly limited","2012","direct migration background","255","0.0959347408312158","0.0853681102266239","0.106501371435808","1"
"Yes, strongly limited","2012","indirect migration background","60","0.0431356229071682","0.0318775860421625","0.054393659772174","1"
"No, not limited","2013","indirect migration background","1769","0.832196828488605","0.81632330383325","0.84807035314396","3"
"No, not limited","2013","direct migration background","4740","0.692358829931276","0.681027941151841","0.703689718710711","3"
"No, not limited","2013","no migration background","14615","0.63255887888524","0.626183774454111","0.63893398331637","3"
"Yes, somewhat limited","2013","no migration background","5286","0.253430499695539","0.247678650269976","0.259182349121102","2"
"Yes, somewhat limited","2013","direct migration background","1164","0.218218936468187","0.208078306805221","0.228359566131152","2"
"Yes, somewhat limited","2013","indirect migration background","288","0.124430023756043","0.110409369406431","0.138450678105654","2"
"Yes, strongly limited","2013","no migration background","2068","0.114010621419221","0.109807907186655","0.118213335651786","1"
"Yes, strongly limited","2013","direct migration background","469","0.0894222336005373","0.0824164388514786","0.096428028349596","1"
