"year","age_gr","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","3.64","4","5311","3.59","3.69","1","2","5","6"
"2005","35-65 y.","3.23","3","11582","3.2","3.26","1","2","4","6"
"2005","66 and older","2.96","3","3766","2.9","3.02","1","1","4","6"
"2006","16-34 y.","","","","","","","","",""
"2006","35-65 y.","","","","","","","","",""
"2006","66 and older","","","","","","","","",""
"2007","16-34 y.","","","","","","","","",""
"2007","35-65 y.","","","","","","","","",""
"2007","66 and older","","","","","","","","",""
"2008","16-34 y.","","","","","","","","",""
"2008","35-65 y.","","","","","","","","",""
"2008","66 and older","","","","","","","","",""
"2009","16-34 y.","","","","","","","","",""
"2009","35-65 y.","","","","","","","","",""
"2009","66 and older","","","","","","","","",""
"2010","16-34 y.","3.49","3","3575","3.44","3.54","1","2","5","6"
"2010","35-65 y.","3.16","3","9055","3.13","3.19","1","2","4","6"
"2010","66 and older","2.95","3","4024","2.9","3","1","1","4","6"
"2011","16-34 y.","","","","","","","","",""
"2011","35-65 y.","","","","","","","","",""
"2011","66 and older","","","","","","","","",""
"2012","16-34 y.","","","","","","","","",""
"2012","35-65 y.","","","","","","","","",""
"2012","66 and older","","","","","","","","",""
"2013","16-34 y.","","","","","","","","",""
"2013","35-65 y.","","","","","","","","",""
"2013","66 and older","","","","","","","","",""
"2014","16-34 y.","","","","","","","","",""
"2014","35-65 y.","","","","","","","","",""
"2014","66 and older","","","","","","","","",""
"2015","16-34 y.","3.08","3","6639","3.04","3.12","1","2","4","6"
"2015","35-65 y.","2.88","2","15138","2.85","2.91","1","1","4","5"
"2015","66 and older","2.82","2","4941","2.77","2.87","1","1","4","5"
"2016","16-34 y.","2.35","1","2480","2.28","2.42","1","1","3","5"
"2016","35-65 y.","2.02","1","1833","1.95","2.09","1","1","2","4"
"2016","66 and older","","","","","","","","",""
"2017","16-34 y.","2","1","1852","1.92","2.08","1","1","2","5"
"2017","35-65 y.","1.7","1","965","1.6","1.8","1","1","1","4"
"2017","66 and older","1.91","1","36","1.41","2.41","1","1","2","6"
"2018","16-34 y.","2.51","1","254","2.25","2.77","1","1","4","7"
"2018","35-65 y.","1.74","1","160","1.46","2.02","1","1","1","4"
"2018","66 and older","","","","","","","","",""
"2019","16-34 y.","2.33","1.92","146","2","2.66","1","1","3","5"
"2019","35-65 y.","2.27","1","124","1.96","2.58","1","1","4","5"
"2019","66 and older","","","","","","","","",""
