"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","(0) in school","Ostdeutschland, neue Bundeslaender","3.79","4","147","1","2","5","7","3.51","4.07","3","4"
"2005","(0) in school","Westdeutschland, alte Bundeslaender","3.78","4","504","1","2","5","6","3.63","3.93","4","4"
"2005","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","3.23","3","220","1","1","5","6","2.97","3.49","3","3"
"2005","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","3.2","3","209","1","2","4","6","2.94","3.46","3","4"
"2005","(1b) general elementary school","Westdeutschland, alte Bundeslaender","3.42","3","1647","1","2","5","6","3.33","3.51","3","3"
"2005","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","3.38","3","1088","1","2","5","6","3.27","3.49","3","3"
"2005","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","3.33","3","4618","1","2","5","6","3.28","3.38","3","3"
"2005","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","3.4","3","1704","1","2","5","6","3.32","3.48","3","3"
"2005","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","3.17","3","3086","1","2","4","6","3.11","3.23","3","3"
"2005","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","3.95","4","141","1","3","5","7","3.65","4.25","3","4"
"2005","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","3.67","4","437","1","2","5","6","3.5","3.84","3","4"
"2005","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","3.41","3","186","1","2","5","6","3.17","3.65","3","4"
"2005","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","3.47","4","609","1","2","4","6","3.34","3.6","3","4"
"2005","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","3.23","3","212","1","2","4","6","3","3.46","3","4"
"2005","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","3.1","3","1300","1","2","4","5","3.01","3.19","3","3"
"2005","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","2.99","3","660","1","2","4","5","2.87","3.11","2","3"
