"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","3.27","3","20659","1","2","4","6","7","3.25","3.29","1","7","3","3"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","",""
"2010","3.18","3","16654","1","2","4","6","7","3.15","3.21","1","7","3","3"
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","2.91","3","26718","1","1","4","5","7","2.89","2.93","1","7","2","2"
"2016","2.25","1","4341","1","1","3","5","7","2.2","2.3","1","7","1","1"
"2017","1.92","1","2853","1","1","2","4","7","1.86","1.98","1","7","1","1"
"2018","2.27","1","418","1","1","3","7","7","2.08","2.46","1","7","1","1"
"2019","2.3","1","275","1","1","3","5","7","2.08","2.52","1","7","1","2"
