"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"2005","(Married) couple without C.","(1a) inadequately completed","2.87","2","76","1","1","4","6","7","2.44","3.3","1","7","2","4"
"2005","(Married) couple without C.","(1b) general elementary school","3.31","3","600","1","1","5","6","7","3.16","3.46","1","7","3","3"
"2005","(Married) couple without C.","(1c) basic vocational qualification","3.24","3","2501","1","2","5","6","7","3.17","3.31","1","7","3","3"
"2005","(Married) couple without C.","(2a) intermediate vocational","3.17","3","1423","1","2","4","6","7","3.08","3.26","1","7","3","3"
"2005","(Married) couple without C.","(2b) intermediate general qualification","3.5","4","93","1","2","4","6","7","3.15","3.85","1","7","3","4"
"2005","(Married) couple without C.","(2c_gen) general maturity certificate","3.1","3","128","1","2","4","5","7","2.81","3.39","1","7","2","3"
"2005","(Married) couple without C.","(2c_voc) vocational maturity certificate","2.95","3","474","1","2","4","5","7","2.81","3.09","1","7","3","3"
"2005","(Married) couple without C.","(3a) lower tertiary education","3.03","3","692","1","2","4","5","7","2.91","3.15","1","7","2","3"
"2005","(Married) couple without C.","(3b) higher tertiary education","2.96","3","964","1","2","4","5","7","2.87","3.05","1","7","2","3"
"2005","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"2005","1-pers.-HH","(1a) inadequately completed","2.97","3","32","1","1","4","6","7","2.37","3.57","1","7","2","3"
"2005","1-pers.-HH","(1b) general elementary school","3.2","3","377","1","2","4","6","7","3.02","3.38","1","7","3","3"
"2005","1-pers.-HH","(1c) basic vocational qualification","3.23","3","877","1","2","4","6","7","3.11","3.35","1","7","3","3"
"2005","1-pers.-HH","(2a) intermediate vocational","3.07","3","646","1","2","4","6","7","2.94","3.2","1","7","3","3"
"2005","1-pers.-HH","(2b) intermediate general qualification","3.52","3","55","1","2","5","6","7","2.98","4.06","1","7","3","4"
"2005","1-pers.-HH","(2c_gen) general maturity certificate","3.44","3","140","1","2","5","6","7","3.15","3.73","1","7","3","4"
