"ple0020","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Urban Area","2742","0.987209951015041","0.983024642478586","0.991395259551497","2"
"No","2009","16-34 y.","Urban Area","2652","1","1","1","2"
"No","2009","16-34 y.","Rural Area","1354","1","1","1","2"
"No","2009","66 and older","Rural Area","1435","0.992292597199635","0.987791296833511","0.996793897565759","2"
"No","2009","35-65 y.","Urban Area","6439","0.998002244874244","0.996912126860892","0.999092362887595","2"
"No","2009","35-65 y.","Rural Area","3454","0.998620184527216","0.997382608467897","0.999857760586535","2"
"Yes","2009","16-34 y.","Urban Area","","","","","1"
"Yes","2009","16-34 y.","Rural Area","","","","","1"
"Yes","2009","35-65 y.","Urban Area","6","","","","1"
"Yes","2009","35-65 y.","Rural Area","2","","","","1"
"Yes","2009","66 and older","Urban Area","27","","","","1"
"Yes","2009","66 and older","Rural Area","15","","","","1"
"No","2010","66 and older","Urban Area","","","","","2"
"No","2010","16-34 y.","Urban Area","","","","","2"
"No","2010","66 and older","Rural Area","","","","","2"
"No","2010","16-34 y.","Rural Area","","","","","2"
"No","2010","35-65 y.","Urban Area","","","","","2"
"No","2010","35-65 y.","Rural Area","","","","","2"
"Yes","2010","16-34 y.","Urban Area","","","","","1"
"Yes","2010","16-34 y.","Rural Area","","","","","1"
"Yes","2010","35-65 y.","Urban Area","","","","","1"
"Yes","2010","35-65 y.","Rural Area","","","","","1"
"Yes","2010","66 and older","Urban Area","","","","","1"
"Yes","2010","66 and older","Rural Area","","","","","1"
"No","2011","16-34 y.","Urban Area","2916","0.999360223724262","0.998442620413002","1.00027782703552","2"
"No","2011","66 and older","Urban Area","3361","0.985410615039019","0.98137855093947","0.989442679138568","2"
"No","2011","66 and older","Rural Area","1773","0.988105126404408","0.983087024943112","0.993123227865704","2"
"No","2011","16-34 y.","Rural Area","1390","1","1","1","2"
"No","2011","35-65 y.","Urban Area","7277","0.999150158289519","0.998480879355123","0.999819437223915","2"
"No","2011","35-65 y.","Rural Area","4079","0.998915906904653","0.997906276205713","0.999925537603594","2"
"Yes","2011","16-34 y.","Urban Area","1","","","","1"
"Yes","2011","16-34 y.","Rural Area","","","","","1"
"Yes","2011","35-65 y.","Urban Area","5","","","","1"
"Yes","2011","35-65 y.","Rural Area","2","","","","1"
"Yes","2011","66 and older","Urban Area","36","0.0145893849609808","0.0105573208614316","0.01862144906053","1"
"Yes","2011","66 and older","Rural Area","20","","","","1"
"No","2012","16-34 y.","Urban Area","","","","","2"
"No","2012","16-34 y.","Rural Area","","","","","2"
"No","2012","66 and older","Urban Area","","","","","2"
"No","2012","66 and older","Rural Area","","","","","2"
"No","2012","35-65 y.","Urban Area","","","","","2"
"No","2012","35-65 y.","Rural Area","","","","","2"
"Yes","2012","16-34 y.","Urban Area","","","","","1"
"Yes","2012","16-34 y.","Rural Area","","","","","1"
"Yes","2012","35-65 y.","Urban Area","","","","","1"
"Yes","2012","35-65 y.","Rural Area","","","","","1"
"Yes","2012","66 and older","Urban Area","","","","","1"
"Yes","2012","66 and older","Rural Area","","","","","1"
"No","2013","16-34 y.","Urban Area","2565","0.999404119144513","0.998459905985126","1.0003483323039","2"
"No","2013","16-34 y.","Rural Area","1143","1","1","1","2"
"No","2013","35-65 y.","Urban Area","6442","0.997849594475028","0.996719119481948","0.998980069468109","2"
"No","2013","35-65 y.","Rural Area","3806","0.998997971892931","0.997993337924503","1.00000260586136","2"
"No","2013","66 and older","Urban Area","3232","0.987667114820209","0.983883749559887","0.991450480080532","2"
"No","2013","66 and older","Rural Area","1715","0.989427781921335","0.984612475634491","0.994243088208179","2"
"Yes","2013","16-34 y.","Urban Area","1","","","","1"
"Yes","2013","16-34 y.","Rural Area","","","","","1"
"Yes","2013","35-65 y.","Urban Area","8","","","","1"
"Yes","2013","35-65 y.","Rural Area","4","","","","1"
"Yes","2013","66 and older","Urban Area","37","0.0123328851797907","0.00854951991946804","0.0161162504401133","1"
"Yes","2013","66 and older","Rural Area","18","","","","1"
"No","2014","16-34 y.","Urban Area","","","","","2"
"No","2014","16-34 y.","Rural Area","","","","","2"
"No","2014","35-65 y.","Urban Area","","","","","2"
"No","2014","35-65 y.","Rural Area","","","","","2"
"No","2014","66 and older","Urban Area","","","","","2"
"No","2014","66 and older","Rural Area","","","","","2"
"Yes","2014","16-34 y.","Urban Area","","","","","1"
"Yes","2014","16-34 y.","Rural Area","","","","","1"
"Yes","2014","35-65 y.","Urban Area","","","","","1"
"Yes","2014","35-65 y.","Rural Area","","","","","1"
"Yes","2014","66 and older","Urban Area","","","","","1"
"Yes","2014","66 and older","Rural Area","","","","","1"
"No","2015","16-34 y.","Urban Area","3934","0.999931497241497","0.999672938217008","1.00019005626599","2"
"No","2015","16-34 y.","Rural Area","1833","0.999759932554355","0.999050905307359","1.00046895980135","2"
"No","2015","35-65 y.","Urban Area","9305","0.998299349971073","0.997462512421491","0.999136187520654","2"
"No","2015","35-65 y.","Rural Area","5130","0.997003071485959","0.995508137471671","0.998498005500248","2"
"No","2015","66 and older","Urban Area","3142","0.987889158973402","0.984088671855173","0.99168964609163","2"
"No","2015","66 and older","Rural Area","1751","0.986102045086402","0.980646721030706","0.991557369142098","2"
"Yes","2015","16-34 y.","Urban Area","2","","","","1"
"Yes","2015","16-34 y.","Rural Area","1","","","","1"
"Yes","2015","35-65 y.","Urban Area","8","","","","1"
"Yes","2015","35-65 y.","Rural Area","6","","","","1"
"Yes","2015","66 and older","Urban Area","40","0.0121108410265984","0.00831035390836959","0.0159113281448272","1"
"Yes","2015","66 and older","Rural Area","18","","","","1"
"No","2016","16-34 y.","Urban Area","","","","","2"
"No","2016","16-34 y.","Rural Area","","","","","2"
"No","2016","35-65 y.","Urban Area","","","","","2"
"No","2016","35-65 y.","Rural Area","","","","","2"
"No","2016","66 and older","Urban Area","","","","","2"
"No","2016","66 and older","Rural Area","","","","","2"
"Yes","2016","35-65 y.","Urban Area","","","","","1"
