"ple0020","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Male","8631","0.998435647486176","0.997602507337769","0.999268787634583","2"
"No","2009","Female","9445","0.994433646482472","0.992936130683296","0.995931162281649","2"
"Yes","2009","Male","13","","","","1"
"Yes","2009","Female","37","0.00556635351752759","0.00406883771835149","0.00706386931670369","1"
"No","2010","Male","","","","","2"
"No","2010","Female","","","","","2"
"Yes","2010","Male","","","","","1"
"Yes","2010","Female","","","","","1"
"No","2011","Male","9816","0.997603694812082","0.996637593439324","0.998569796184841","2"
"No","2011","Female","10980","0.993985570218843","0.992542043392683","0.995429097045004","2"
"Yes","2011","Male","23","","","","1"
"Yes","2011","Female","41","0.00601442978115656","0.00457090295499637","0.00745795660731675","1"
"No","2012","Male","","","","","2"
"No","2012","Female","","","","","2"
"Yes","2012","Male","","","","","1"
"Yes","2012","Female","","","","","1"
"No","2013","Male","8855","0.997564388616418","0.996538824433532","0.998589952799304","2"
"No","2013","Female","10048","0.993828349450063","0.992300754312943","0.995355944587183","2"
"Yes","2013","Male","19","","","","1"
"Yes","2013","Female","49","0.00617165054993697","0.00464405541281672","0.00769924568705721","1"
"No","2014","Male","","","","","2"
"No","2014","Female","","","","","2"
"Yes","2014","Male","","","","","1"
"Yes","2014","Female","","","","","1"
"No","2015","Male","11485","0.996547424470306","0.995476154361372","0.997618694579241","2"
"No","2015","Female","13610","0.994781260492698","0.993572665881573","0.995989855103823","2"
"Yes","2015","Male","32","0.00345257552969354","0.00238130542075896","0.00452384563862812","1"
"Yes","2015","Female","43","0.00521873950730195","0.00401014489617729","0.00642733411842661","1"
"No","2016","Male","","","","","2"
"No","2016","Female","","","","","2"
"Yes","2016","Male","","","","","1"
"Yes","2016","Female","","","","","1"
"No","2017","Male","12309","0.996971339328563","0.996001779184159","0.997940899472966","2"
"No","2017","Female","14345","0.995039480779841","0.993891348364491","0.996187613195192","2"
"Yes","2017","Male","30","0.00302866067143749","0.00205910052703347","0.0039982208158415","1"
"Yes","2017","Female","39","0.00496051922015879","0.00381238680480833","0.00610865163550926","1"
"No","2018","Male","","","","","2"
"No","2018","Female","","","","","2"
"Yes","2018","Male","","","","","1"
"Yes","2018","Female","","","","","1"
"No","2019","Male","12306","0.99650007225029","0.995458642266835","0.997541502233746","2"
"No","2019","Female","13478","0.996167027669959","0.99512536813532","0.997208687204598","2"
"Yes","2019","Male","47","0.00349992774970962","0.00245849776625415","0.0045413577331651","1"
"Yes","2019","Female","40","0.00383297233004141","0.00279131279540229","0.00487463186468052","1"
