"ple0020","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","Urban Area","15","","",""
"Yes","2009","1-pers.-HH","Rural Area","5","","",""
"Yes","2009","(Married) couple without C. ","Urban Area","10","","",""
"Yes","2009","(Married) couple without C. ","Rural Area","6","","",""
"Yes","2009","Single parent ","Urban Area","3","","",""
"Yes","2009","Single parent ","Rural Area","","","",""
"Yes","2009","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2009","Couple + C. LE 16 ","Rural Area","1","","",""
"Yes","2009","Couple + C. GT 16 ","Urban Area","1","","",""
"Yes","2009","Couple + C. GT 16 ","Rural Area","2","","",""
"Yes","2009","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2009","Couple + C. LE and GT 16","Rural Area","1","","",""
"No","2009","1-pers.-HH","Urban Area","1994","0.990989244496874","0.986857121921","0.995121367072749"
"No","2009","1-pers.-HH","Rural Area","896","0.996409952447618","0.992504648643531","1.00031525625171"
"No","2009","(Married) couple without C. ","Urban Area","4388","0.99711866261708","0.995534532109297","0.998702793124862"
"No","2009","(Married) couple without C. ","Rural Area","2277","0.997745769713377","0.99580039071511","0.999691148711645"
"No","2009","Single parent ","Urban Area","623","0.992613691129522","0.985906127716096","0.999321254542948"
"No","2009","Single parent ","Rural Area","370","1","1","1"
"No","2009","Couple + C. LE 16 ","Urban Area","1890","1","1","1"
"No","2009","Couple + C. LE 16 ","Rural Area","969","0.995697784563099","0.991578971595303","0.999816597530896"
"No","2009","Couple + C. GT 16 ","Urban Area","1966","0.997787792487114","0.995711550661381","0.999864034312848"
"No","2009","Couple + C. GT 16 ","Rural Area","1196","0.999059660727379","0.997324028597728","1.00079529285703"
"No","2009","Couple + C. LE and GT 16","Urban Area","782","1","1","1"
"No","2009","Couple + C. LE and GT 16","Rural Area","398","0.997886683203588","0.993380751974859","1.00239261443232"
"Yes","2010","1-pers.-HH","Urban Area","","","",""
"Yes","2010","1-pers.-HH","Rural Area","","","",""
"Yes","2010","(Married) couple without C. ","Urban Area","","","",""
"Yes","2010","(Married) couple without C. ","Rural Area","","","",""
"Yes","2010","Single parent ","Urban Area","","","",""
"Yes","2010","Single parent ","Rural Area","","","",""
"Yes","2010","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2010","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2010","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2010","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2010","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2010","Couple + C. LE and GT 16","Rural Area","","","",""
"No","2010","1-pers.-HH","Urban Area","","","",""
"No","2010","1-pers.-HH","Rural Area","","","",""
"No","2010","(Married) couple without C. ","Urban Area","","","",""
"No","2010","(Married) couple without C. ","Rural Area","","","",""
"No","2010","Single parent ","Urban Area","","","",""
"No","2010","Single parent ","Rural Area","","","",""
"No","2010","Couple + C. LE 16 ","Urban Area","","","",""
"No","2010","Couple + C. LE 16 ","Rural Area","","","",""
"No","2010","Couple + C. GT 16 ","Urban Area","","","",""
"No","2010","Couple + C. GT 16 ","Rural Area","","","",""
"No","2010","Couple + C. LE and GT 16","Urban Area","","","",""
"No","2010","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes","2011","1-pers.-HH","Urban Area","22","","",""
"Yes","2011","1-pers.-HH","Rural Area","6","","",""
"Yes","2011","(Married) couple without C. ","Urban Area","13","","",""
"Yes","2011","(Married) couple without C. ","Rural Area","9","","",""
"Yes","2011","Single parent ","Urban Area","1","","",""
"Yes","2011","Single parent ","Rural Area","","","",""
"Yes","2011","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2011","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2011","Couple + C. GT 16 ","Urban Area","3","","",""
"Yes","2011","Couple + C. GT 16 ","Rural Area","1","","",""
"Yes","2011","Couple + C. LE and GT 16","Urban Area","1","","",""
"Yes","2011","Couple + C. LE and GT 16","Rural Area","","","",""
"No","2011","1-pers.-HH","Urban Area","2429","0.98883524179119","0.984675531692477","0.992994951889903"
"No","2011","1-pers.-HH","Rural Area","1117","0.994886392969739","0.99071473557836","0.999058050361118"
"No","2011","(Married) couple without C. ","Urban Area","5210","0.997610820542903","0.99628680513364","0.998934835952167"
"No","2011","(Married) couple without C. ","Rural Area","2913","0.996821816516909","0.994780989308917","0.998862643724902"
"No","2011","Single parent ","Urban Area","792","0.9986763853944","0.996145895174659","1.00120687561414"
"No","2011","Single parent ","Rural Area","381","1","1","1"
"No","2011","Couple + C. LE 16 ","Urban Area","2055","1","1","1"
"No","2011","Couple + C. LE 16 ","Rural Area","1062","1","1","1"
"No","2011","Couple + C. GT 16 ","Urban Area","2033","0.998330029812417","0.996556450433297","1.00010360919154"
"No","2011","Couple + C. GT 16 ","Rural Area","1164","0.999558870115191","0.998353077673253","1.00076466255713"
"No","2011","Couple + C. LE and GT 16","Urban Area","788","0.996263649662988","0.992006484229661","1.00052081509631"
"No","2011","Couple + C. LE and GT 16","Rural Area","445","1","1","1"
"Yes","2012","1-pers.-HH","Urban Area","","","",""
"Yes","2012","1-pers.-HH","Rural Area","","","",""
"Yes","2012","(Married) couple without C. ","Urban Area","","","",""
"Yes","2012","(Married) couple without C. ","Rural Area","","","",""
"Yes","2012","Single parent ","Urban Area","","","",""
"Yes","2012","Single parent ","Rural Area","","","",""
"Yes","2012","Couple + C. LE 16 ","Urban Area","","","",""
