"ple0020","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","West Germany","8546","0.999215496172443","0.998622035222557","0.999808957122329","2"
"No","2009","Employed","East Germany","2696","1","1","1","2"
"No","2009","Not Employed","East Germany","1854","0.991685732275147","0.987566891845862","0.995804572704431","2"
"No","2009","Not Employed","West Germany","4980","0.991565367445638","0.989033779626118","0.994096955265158","2"
"Yes","2009","Not Employed","West Germany","33","0.0084346325543619","0.00590304473484194","0.0109662203738819","1"
"Yes","2009","Not Employed","East Germany","13","","","","1"
"Yes","2009","Employed","West Germany","4","","","","1"
"Yes","2009","Employed","East Germany","","","","","1"
"No","2010","Not Employed","East Germany","","","","","2"
"No","2010","Not Employed","West Germany","","","","","2"
"No","2010","Employed","West Germany","","","","","2"
"No","2010","Employed","East Germany","","","","","2"
"Yes","2010","Not Employed","West Germany","","","","","1"
"Yes","2010","Not Employed","East Germany","","","","","1"
"Yes","2010","Employed","West Germany","","","","","1"
"Yes","2010","Employed","East Germany","","","","","1"
"No","2011","Not Employed","East Germany","2005","0.994644781372527","0.991459720412149","0.997829842332905","2"
"No","2011","Employed","East Germany","2914","0.999318862907949","0.998371757929493","1.0002659678864","2"
"No","2011","Not Employed","West Germany","6080","0.988438712322145","0.985762434116717","0.991114990527574","2"
"No","2011","Employed","West Germany","9797","0.999706624645667","0.999367542196978","1.00004570709436","2"
"Yes","2011","Not Employed","East Germany","12","","","","1"
"Yes","2011","Employed","West Germany","2","","","","1"
"Yes","2011","Employed","East Germany","1","","","","1"
"Yes","2011","Not Employed","West Germany","49","0.0115612876778546","0.00888500947242614","0.014237565883283","1"
"No","2012","Not Employed","East Germany","","","","","2"
"No","2012","Employed","East Germany","","","","","2"
"No","2012","Not Employed","West Germany","","","","","2"
"No","2012","Employed","West Germany","","","","","2"
"Yes","2012","Not Employed","East Germany","","","","","1"
"Yes","2012","Employed","West Germany","","","","","1"
"Yes","2012","Employed","East Germany","","","","","1"
"Yes","2012","Not Employed","West Germany","","","","","1"
"No","2013","Not Employed","East Germany","1853","0.986689782767393","0.981503997121046","0.99187556841374","2"
"No","2013","Employed","East Germany","2605","0.999237325825183","0.998177426220993","1.00029722542937","2"
"No","2013","Not Employed","West Germany","5459","0.990544379250972","0.98798668434958","0.993102074152364","2"
