"ple0020","year","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","","","",""
"Yes","2009","Part Time","4","","",""
"Yes","2009","Not Working","46","1","1","1"
"Yes","2010","Full Time","","","",""
"Yes","2010","Part Time","","","",""
"Yes","2010","Not Working","","","",""
"Yes","2011","Full Time","2","","",""
"Yes","2011","Part Time","1","","",""
"Yes","2011","Not Working","61","1","1","1"
"Yes","2012","Full Time","","","",""
"Yes","2012","Part Time","","","",""
"Yes","2012","Not Working","","","",""
"Yes","2013","Full Time","","","",""
"Yes","2013","Part Time","4","","",""
"Yes","2013","Not Working","64","1","1","1"
"Yes","2014","Full Time","","","",""
"Yes","2014","Part Time","","","",""
"Yes","2014","Not Working","","","",""
"Yes","2015","Full Time","3","","",""
"Yes","2015","Part Time","5","","",""
"Yes","2015","Not Working","67","1","1","1"
"Yes","2016","Full Time","","","",""
"Yes","2016","Part Time","","","",""
"Yes","2016","Not Working","","","",""
"Yes","2017","Full Time","9","","",""
"Yes","2017","Part Time","2","","",""
"Yes","2017","Not Working","58","1","1","1"
"Yes","2018","Full Time","","","",""
"Yes","2018","Part Time","","","",""
"Yes","2018","Not Working","","","",""
"Yes","2019","Full Time","7","","",""
"Yes","2019","Part Time","7","","",""
"Yes","2019","Not Working","73","1","1","1"
