"ple0020","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","West Germany","2","","",""
"Yes","2009","Schleswig-Holstein","East Germany","","","",""
"Yes","2009","Hamburg","West Germany","","","",""
"Yes","2009","Hamburg","East Germany","","","",""
"Yes","2009","Lower Saxony","West Germany","5","","",""
"Yes","2009","Lower Saxony","East Germany","","","",""
"Yes","2009","Bremen","West Germany","","","",""
"Yes","2009","Bremen","East Germany","","","",""
"Yes","2009","North Rhine-Westphalia","West Germany","8","","",""
"Yes","2009","North Rhine-Westphalia","East Germany","","","",""
"Yes","2009","Hesse","West Germany","5","","",""
"Yes","2009","Hesse","East Germany","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","West Germany","3","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2009","Baden-Württemberg","West Germany","9","","",""
"Yes","2009","Baden-Württemberg","East Germany","","","",""
"Yes","2009","Bavaria","West Germany","3","","",""
"Yes","2009","Bavaria","East Germany","","","",""
"Yes","2009","Berlin","West Germany","2","","",""
"Yes","2009","Berlin","East Germany","1","","",""
"Yes","2009","Brandenburg","West Germany","","","",""
"Yes","2009","Brandenburg","East Germany","3","","",""
"Yes","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","East Germany","1","","",""
"Yes","2009","Saxony","West Germany","","","",""
"Yes","2009","Saxony","East Germany","2","","",""
"Yes","2009","Saxony-Anhalt","West Germany","","","",""
"Yes","2009","Saxony-Anhalt","East Germany","2","","",""
"Yes","2009","Thuringia","West Germany","","","",""
"Yes","2009","Thuringia","East Germany","4","","",""
"No","2009","Schleswig-Holstein","West Germany","514","0.996034342069618","0.990611611566222","1.00145707257301"
"No","2009","Schleswig-Holstein","East Germany","","","",""
"No","2009","Hamburg","West Germany","271","1","1","1"
"No","2009","Hamburg","East Germany","","","",""
"No","2009","Lower Saxony","West Germany","1642","0.998094957610848","0.995989048885412","1.00020086633628"
"No","2009","Lower Saxony","East Germany","","","",""
"No","2009","Bremen","West Germany","120","1","1","1"
"No","2009","Bremen","East Germany","","","",""
"No","2009","North Rhine-Westphalia","West Germany","3637","0.996962416735767","0.995175917586539","0.998748915884995"
"No","2009","North Rhine-Westphalia","East Germany","","","",""
"No","2009","Hesse","West Germany","1221","0.993191476368879","0.988588424991005","0.997794527746754"
"No","2009","Hesse","East Germany","","","",""
"No","2009","Rhineland-Palatinate,Saarland","West Germany","1024","0.99737922011679","0.99425236109993","1.00050607913365"
"No","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2009","Baden-Württemberg","West Germany","2109","0.992972032820024","0.989414339700716","0.996529725939332"
"No","2009","Baden-Württemberg","East Germany","","","",""
"No","2009","Bavaria","West Germany","2625","0.997894552910568","0.996142085693267","0.999647020127869"
"No","2009","Bavaria","East Germany","","","",""
"No","2009","Berlin","West Germany","363","0.995816739537383","0.989195354806777","1.00243812426799"
"No","2009","Berlin","East Germany","320","0.991500518428585","0.981458101083462","1.00154293577371"
"No","2009","Brandenburg","West Germany","","","",""
"No","2009","Brandenburg","East Germany","792","0.994193514199873","0.988912021623938","0.999475006775808"
"No","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2009","Mecklenburg-Western Pomerania","East Germany","475","0.998302739823451","0.994604884149081","1.00200059549782"
"No","2009","Saxony","West Germany","","","",""
"No","2009","Saxony","East Germany","1372","0.999003529151301","0.997335243037323","1.00067181526528"
