"ple0020","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","18076","0.996381136591878","0.995506966493073","0.997255306690683","2"
"Yes","2009","50","0.00361886340812197","0.0027446933093173","0.00449303350692664","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","20796","0.995753734668029","0.994871324558727","0.996636144777332","2"
"Yes","2011","64","0.00424626533197054","0.00336385522266784","0.00512867544127324","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","18903","0.995646716476191","0.994709879360157","0.996583553592225","2"
"Yes","2013","68","0.00435328352380888","0.00341644640777466","0.0052901206398431","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","25095","0.995641786660112","0.994827996781983","0.996455576538241","2"
"Yes","2015","75","0.00435821333988803","0.00354442346175911","0.00517200321801695","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","26654","0.995985451842486","0.995227310258015","0.996743593426958","2"
"Yes","2017","69","0.00401454815751393","0.0032564065730425","0.00477268974198535","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","25793","0.996330646791954","0.99559399464504","0.997067298938868","2"
"Yes","2019","87","0.00366935320804563","0.00293270106113149","0.00440600535495977","1"
