"ple0020","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","direct migration background","678","0.983326181902439","0.973737274245728","0.99291508955915","2"
"No","2009","Not Working","indirect migration background","194","1","1","1","2"
"No","2009","Full Time","no migration background","6173","1","1","1","2"
"No","2009","Full Time","indirect migration background","310","1","1","1","2"
"No","2009","Part Time","no migration background","3565","0.997821877338138","0.996292401943593","0.999351352732683","2"
"No","2009","Part Time","direct migration background","452","1","1","1","2"
"No","2009","Not Working","no migration background","5962","0.992513111882251","0.990332114844822","0.99469410891968","2"
"No","2009","Full Time","direct migration background","531","1","1","1","2"
"No","2009","Part Time","indirect migration background","211","1","1","1","2"
"Yes","2009","Full Time","no migration background","","","","","1"
"Yes","2009","Full Time","direct migration background","","","","","1"
"Yes","2009","Full Time","indirect migration background","","","","","1"
"Yes","2009","Part Time","no migration background","4","","","","1"
"Yes","2009","Part Time","direct migration background","","","","","1"
"Yes","2009","Part Time","indirect migration background","","","","","1"
"Yes","2009","Not Working","no migration background","39","0.0074868881177495","0.00530589108032051","0.00966788515517849","1"
"Yes","2009","Not Working","direct migration background","7","","","","1"
"Yes","2009","Not Working","indirect migration background","","","","","1"
"No","2010","Full Time","no migration background","","","","","2"
"No","2010","Full Time","indirect migration background","","","","","2"
"No","2010","Part Time","no migration background","","","","","2"
"No","2010","Part Time","direct migration background","","","","","2"
"No","2010","Not Working","no migration background","","","","","2"
"No","2010","Not Working","direct migration background","","","","","2"
"No","2010","Not Working","indirect migration background","","","","","2"
"No","2010","Full Time","direct migration background","","","","","2"
"No","2010","Part Time","indirect migration background","","","","","2"
"Yes","2010","Full Time","no migration background","","","","","1"
"Yes","2010","Full Time","direct migration background","","","","","1"
"Yes","2010","Full Time","indirect migration background","","","","","1"
"Yes","2010","Part Time","no migration background","","","","","1"
"Yes","2010","Part Time","direct migration background","","","","","1"
"Yes","2010","Part Time","indirect migration background","","","","","1"
