"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2019","lower secondary degree","Couple + C. LE 16","2.33","2","646","1","1","3","5","7","2.21","2.45","1","7","2","2"
"2019","lower secondary degree","Couple + C. LE and GT 16","2.49","2","279","1","1","3","5","7","2.3","2.68","1","7","2","2"
"2019","lower secondary degree","Single parent","2.51","2","389","1","1","3","5","7","2.34","2.68","1","7","2","2"
"2019","no degree/no degree yet","(Married) couple without C.","2.18","2","95","1","1","3","5","7","1.86","2.5","1","7","1","2"
"2019","no degree/no degree yet","1-pers.-HH","2.83","2","57","1","1","4","5","6","2.35","3.31","1","7","1","3"
"2019","no degree/no degree yet","Couple + C. GT 16 ","3.34","3","149","1","1","5","7","7","3.03","3.65","1","7","3","4"
"2019","no degree/no degree yet","Couple + C. LE 16","2.53","2","111","1","1","4","5","7","2.21","2.85","1","7","2","3"
"2019","no degree/no degree yet","Couple + C. LE and GT 16","2.69","2","199","1","1","4","5","7","2.43","2.95","1","7","3","4"
"2019","no degree/no degree yet","Single parent","3.06","2.57","131","1","1","5","6","7","2.72","3.4","1","7","2","3"
"2019","Other degree","(Married) couple without C.","2.24","2","699","1","1","3","4","6","2.13","2.35","1","7","2","2"
"2019","Other degree","1-pers.-HH","2.29","2","309","1","1","4","4","6","2.13","2.45","1","7","2","2"
"2019","Other degree","Couple + C. GT 16 ","2.43","2","269","1","1","3","5","7","2.25","2.61","1","7","2","2"
"2019","Other degree","Couple + C. LE 16","2.11","2","783","1","1","3","4","6","2.01","2.21","1","7","2","2"
"2019","Other degree","Couple + C. LE and GT 16","1.83","1","250","1","1","2","4","6","1.65","2.01","1","7","1","2"
"2019","Other degree","Single parent","2.42","2","146","1","1","3","5","7","2.18","2.66","1","7","2","2"
"2019","secondary school degree","(Married) couple without C.","2.37","2","2669","1","1","3","5","7","2.31","2.43","1","7","2","2"
"2019","secondary school degree","1-pers.-HH","2.64","2","1161","1","1","4","5","6","2.55","2.73","1","7","2","2"
"2019","secondary school degree","Couple + C. GT 16 ","2.64","2","820","1","1","4","5","7","2.53","2.75","1","7","2","2"
"2019","secondary school degree","Couple + C. LE 16","2.37","2","1396","1","1","3","4","6","2.29","2.45","1","7","2","2"
"2019","secondary school degree","Couple + C. LE and GT 16","2.62","2","604","1","1","4","5","7","2.49","2.75","1","7","2","2"
"2019","secondary school degree","Single parent","2.8","2","618","1","1","4","6","7","2.66","2.94","1","7","2","2"
