"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","2.25","2","20655","1","1","3","5","2.23","2.27","2","2"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","2.49","2","17956","1","1","3","5","2.47","2.51","2","2"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","2.45","2","7124","1","1","4","5","2.41","2.49","2","2"
"2013","2.49","2","18820","1","1","4","5","2.47","2.51","2","2"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","2.67","2","29260","1","1","4","5","2.65","2.69","2","2"
"2018","","","","","","","","","","",""
"2019","2.55","2","25718","1","1","4","5","2.53","2.57","2","2"
