"plh0214","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","no migration background","1277","0.192056650511421","0.182754676344065","0.201358624678778","1"
"1 Strongly disagree","2005","Full Time","direct migration background","231","0.292668569699095","0.261238186815798","0.324098952582392","1"
"1 Strongly disagree","2005","Full Time","indirect migration background","70","0.18838712863761","0.146134841903249","0.23063941537197","1"
"1 Strongly disagree","2005","Part Time","no migration background","943","0.241862606068799","0.22865011689185","0.255075095245748","1"
"1 Strongly disagree","2005","Part Time","direct migration background","174","0.318342982626574","0.279657226573413","0.357028738679736","1"
"1 Strongly disagree","2005","Part Time","indirect migration background","45","0.238445404066742","0.181878183012412","0.295012625121072","1"
"1 Strongly disagree","2005","Not Working","no migration background","1930","0.320685105760854","0.309394800378282","0.331975411143427","1"
"1 Strongly disagree","2005","Not Working","direct migration background","362","0.351353978361151","0.321765378952585","0.380942577769718","1"
"1 Strongly disagree","2005","Not Working","indirect migration background","74","0.276538276190904","0.224517799675208","0.3285587527066","1"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","73","0.312424996733788","0.250899834015262","0.373950159452313","2"
"2 on scale 1-7 ","2005","Full Time","no migration background","1669","0.230659716348782","0.220712189681318","0.240607243016246","2"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","66","0.190216514578123","0.147807448399928","0.232625580756318","2"
"2 on scale 1-7 ","2005","Part Time","no migration background","1058","0.244850474114482","0.231582846512375","0.258118101716589","2"
"2 on scale 1-7 ","2005","Part Time","direct migration background","145","0.245869667655543","0.210109777580976","0.281629557730109","2"
"2 on scale 1-7 ","2005","Not Working","no migration background","1505","0.225383269962252","0.215275973605622","0.235490566318883","2"
"2 on scale 1-7 ","2005","Not Working","direct migration background","211","0.189132340824545","0.16486031757154","0.213404364077549","2"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","65","0.176290451593248","0.131971409370109","0.220609493816387","2"
"2 on scale 1-7 ","2005","Full Time","direct migration background","179","0.235026827867999","0.205735978014348","0.264317677721649","2"
"3 on scale 1-7 ","2005","Full Time","direct migration background","110","0.115187224720199","0.0931337005252221","0.137240748915175","3"
"3 on scale 1-7 ","2005","Full Time","no migration background","1168","0.164831676359784","0.156070198993287","0.17359315372628","3"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","31","0.132758562439595","0.0877162037126882","0.177800921166501","3"
"3 on scale 1-7 ","2005","Not Working","no migration background","954","0.138681729152632","0.130321423033865","0.147042035271398","3"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","71","0.253231096714949","0.20624149408204","0.300220699347859","3"
"3 on scale 1-7 ","2005","Part Time","no migration background","672","0.165071998716073","0.153617197957634","0.176526799474512","3"
"3 on scale 1-7 ","2005","Part Time","direct migration background","88","0.161773282907044","0.131192074500662","0.192354491313426","3"
"3 on scale 1-7 ","2005","Not Working","direct migration background","132","0.139726226813727","0.118237761572483","0.161214692054971","3"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","43","0.147401038868901","0.106171204249821","0.188630873487982","3"
"4 on scale 1-7","2005","Full Time","direct migration background","117","0.154808715454438","0.129821068608161","0.179796362300715","4"
"4 on scale 1-7","2005","Full Time","indirect migration background","40","0.14992946879695","0.111353119654483","0.188505817939416","4"
"4 on scale 1-7","2005","Part Time","indirect migration background","36","0.178226124216573","0.127424021167905","0.229028227265241","4"
"4 on scale 1-7","2005","Not Working","no migration background","916","0.137019667145486","0.128701596029699","0.145337738261272","4"
"4 on scale 1-7","2005","Not Working","direct migration background","138","0.149905647316453","0.127780271634303","0.172031022998602","4"
"4 on scale 1-7","2005","Part Time","direct migration background","63","0.113482361632139","0.0871415976847333","0.139823125579545","4"
"4 on scale 1-7","2005","Part Time","no migration background","566","0.142141704000969","0.131367260255798","0.152916147746139","4"
"4 on scale 1-7","2005","Not Working","indirect migration background","42","0.166957400178926","0.123583810858237","0.210330989499616","4"
"4 on scale 1-7","2005","Full Time","no migration background","1091","0.167423126894671","0.158606755138474","0.176239498650868","4"
"5 on scale 1-7","2005","Part Time","no migration background","489","0.123672864466257","0.113515134546154","0.13383059438636","5"
"5 on scale 1-7","2005","Part Time","indirect migration background","19","","","","5"
"5 on scale 1-7","2005","Not Working","no migration background","766","0.110027878219276","0.102458324137903","0.11759743230065","5"
"5 on scale 1-7","2005","Full Time","direct migration background","105","0.136925160679377","0.113177763908034","0.16067255745072","5"
