"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.48","6","20700","4","5","7","7","5.46","5.5","6","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","5.37","6","17998","3","4","7","7","5.35","5.39","6","6"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.75","6","7127","4","5","7","7","5.72","5.78","6","6"
"2013","5.52","6","18865","4","5","7","7","5.5","5.54","6","6"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","5.53","6","29301","4","5","7","7","5.51","5.55","6","6"
"2018","","","","","","","","","","",""
"2019","5.5","6","25778","4","5","7","7","5.48","5.52","6","6"
