"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Rural Area","10286.65","9490.67","831","5502.59","7194","12211.5","15625.33","25206.67","9958.92","10614.38","236.15","68799.5","8917.3330078125","9628.400390625"
"1985","16-34 y.","Urban Area","10632.44","10142.54","3352","5428.57","7520.5","13004.67","15856.33","24812.5","10453.96","10810.92","0","162146","9556.6669921875","9902.22265625"
"1985","35-65 y.","Rural Area","11086.45","9716.97","1172","5696.96","7533.33","12882.67","16381.5","32927.5","10675.4","11497.5","0","169250","9312.400390625","9845.3330078125"
"1985","35-65 y.","Urban Area","11755.24","10801.73","4614","6151.54","8109","14055.5","18132.67","32998","11597.16","11913.32","0","80112","10126","10441"
"1985","66 and older","Rural Area","8626.23","8258.68","281","4322","5858.26","10754","14168","21315","8119.6","9132.86","82","36020","7854","8863.5"
"1985","66 and older","Urban Area","10168.91","8998.67","837","5277","6942","11957","15636","37996.67","9738.75","10599.07","67","70914","8911.3330078125","9424.6669921875"
"1986","16-34 y.","Rural Area","10751.86","9964.12","815","5731.9","7426.19","12882.4","16257.5","26522","10358.58","11145.14","236.15","86342","9340.681640625","10098.75"
"1986","16-34 y.","Urban Area","10940.03","10490.52","3283","5731.67","7731.11","13516","16866","23720","10785.27","11094.79","0","46954.67","9853.2607421875","10172.5"
"1986","35-65 y.","Rural Area","11386.64","10258.13","1109","6145.33","7846.8","13593.67","17484","30550.42","11047.18","11726.1","1226.67","86342","9792.6669921875","10482.7998046875"
"1986","35-65 y.","Urban Area","11902.9","11041.92","4389","6218.67","8259.23","14321","18056.11","30236.8","11737.7","12068.1","51","123372","10423.9130859375","10797.3330078125"
"1986","66 and older","Rural Area","9000.99","8291.17","261","4449.33","5934.67","10674","13590","25308","8433.56","9568.42","1863.33","32806.67","8190","9037"
"1986","66 and older","Urban Area","9868.01","8728.11","786","5510","6749","11532","15332.5","30528","9486.56","10249.46","174","56464","8741.5","9394"
"1987","16-34 y.","Rural Area","10999.14","10259.54","815","6381.74","7887.93","13203.89","16818","23762","10705.05","11293.23","2199.33","31860.67","9677.22265625","10393.2001953125"
"1987","16-34 y.","Urban Area","11735.23","11089.13","3229","6217.33","8532","14199","17399.33","29500.8","11554.27","11916.19","0","87875","10388","10755.23828125"
"1987","35-65 y.","Rural Area","11741.34","10571.61","1081","6346.21","8295.22","13670","17837.33","27654","11407.82","12074.86","236.15","72272.66","10361.5","10966.0869140625"
"1987","35-65 y.","Urban Area","12643.33","11676.67","4303","6682","8860","15101.5","19381.15","32121.33","12478.31","12808.35","18","80892.66","11080.76953125","11382"
"1987","66 and older","Rural Area","9108.77","8158.67","264","4715","6254.67","10788","14612","22366","8494.7","9722.84","1427","45300.67","7886","8856.6669921875"
"1987","66 and older","Urban Area","10358.28","9218","821","5476.67","7001","12017","16461","29912.67","9929.01","10787.55","891","80892.66","9218","9871"
"1988","16-34 y.","Rural Area","11483.67","11058.01","753","6535.56","8507.6","14146","16930.8","25214","11181.44","11785.9","1715","33480.67","10505","11172.5"
"1988","16-34 y.","Urban Area","12047.57","11224.3","3101","6423.33","8659","14668.33","17948.67","28720","11862.2","12232.94","0","101558.66","10614.2861328125","10925"
"1988","35-65 y.","Rural Area","11915.53","11063.5","1023","6365.67","8521.33","14015.43","18368.5","28578.5","11596.67","12234.39","870","35657.33","10730","11327.2001953125"
"1988","35-65 y.","Urban Area","13165.95","11957.23","4090","7054.4","9330","15656","20546","33162.67","12983.87","13348.03","0","83425","11231","11599.3330078125"
"1988","66 and older","Rural Area","9600.71","8636.67","248","5076.67","6365.67","11355","15805","25861.33","9015.28","10186.14","1524","35201","8317.3330078125","9650.71484375"
"1988","66 and older","Urban Area","10715.56","9373.84","807","6060","7186","12321","16699","34557.33","10265.57","11165.55","1930","83248","9335","9998"
"1989","16-34 y.","Rural Area","12204.07","11867.4","720","7247.14","9093.81","14566.52","18128.33","24929.33","11883.38","12524.76","1718","39989.5","11150.6669921875","12124.6669921875"
"1989","16-34 y.","Urban Area","12756.46","11820","3053","6503.33","8930.48","15097.6","18945","39127","12546.5","12966.42","54","88504.66","10940.5","11397.599609375"
"1989","35-65 y.","Rural Area","12755.35","11854","960","6655","8725.5","15029.2","19482.67","32903.04","12382.8","13127.9","666","74005.72","11353.9287109375","12033"
"1989","35-65 y.","Urban Area","13885.49","12572.14","3947","7526.5","9681.2","16324.67","20963.33","39127","13676.34","14094.64","0","135049","11710.953125","12140"
"1989","66 and older","Rural Area","10250.25","9274","243","4969","6891.33","12291.5","16046","26080.67","9573.37","10927.13","2020","42861.33","9250","10538.5"
"1989","66 and older","Urban Area","11227.71","9722.99","786","6046.67","7312","13288","17447.33","34898.67","10715.17","11740.25","2363","113948","9643","10595"
"1990","16-34 y.","Rural Area","12631.57","12014.89","732","7390.42","9270.48","15055.33","18816.11","27691.91","12243.2","13019.94","0","80026","11412","12450.3330078125"
"1990","16-34 y.","Urban Area","13317.03","12260.08","2926","6980","9329.33","15791.6","19628.67","40083.2","13054.97","13579.09","0","147922","11447","11808.400390625"
"1990","35-65 y.","Rural Area","13113.81","11920.06","939","6868","9020","15763.33","20500.4","34578.67","12718.83","13508.79","174","80026","11488.7998046875","12217.3330078125"
"1990","35-65 y.","Urban Area","14376.08","13070.29","3859","7587.22","10077.2","17071.33","22295.33","38325.55","14154.41","14597.75","0","148122","12256.95703125","12642.7783203125"
"1990","66 and older","Rural Area","10602.08","9935.33","247","5474","6788","13011.79","16496.8","32082","9899.19","11304.97","1461","40433.33","9149","11042.6669921875"
"1990","66 and older","Urban Area","11766.77","10170.65","814","6504.67","7932.67","13636","17888.67","35355.33","11243.01","12290.53","305","123478","10141.3330078125","11016"
"1991","16-34 y.","Rural Area","13476.96","12415.66","754","7616.67","9425.33","16089","19642.67","32449.33","13022.13","13931.79","1784","85482.78","11947.3330078125","12905.3330078125"
"1991","16-34 y.","Urban Area","14251.74","12973.57","2869","7264.58","9987.62","17446.8","22006.4","37364.79","14011.97","14491.51","6.67","119264.66","12191.61328125","12609"
"1991","35-65 y.","Rural Area","14081.12","13061","952","7480","9993.33","16738.4","21465","35096","13706.17","14456.07","1278","52141.33","12414","13439.4443359375"
"1991","35-65 y.","Urban Area","15848.13","14178","3815","8260","11009","18872.67","24487.93","43291.33","15603.92","16092.34","278.67","130243","13258.8896484375","13728.400390625"
"1991","66 and older","Rural Area","10792.92","9645.08","246","5581.33","7332","13519.33","17077","26450","10167.21","11418.63","2546","32090.67","9338.6669921875","10975.3330078125"
"1991","66 and older","Urban Area","12112.2","10542.37","830","6438","8175.33","14902.67","19544","40785","11671.72","12552.68","849","58598","10634","11566"
"1992","16-34 y.","Rural Area","12269.77","11272.02","1635","6799.05","8670","15018.33","19088.57","30119","12045.57","12493.97","149","34750.8","10380","10923.5"
"1992","16-34 y.","Urban Area","14153.98","13163.96","3306","7308.89","9808.57","17666.19","22096","36315","13951.34","14356.62","0","75272.66","12344","12851.599609375"
"1992","35-65 y.","Rural Area","12762.08","11603.67","2299","6264.67","8548.26","15592","20610.67","34332","12542.82","12981.34","1705.38","54479","10650","11043.599609375"
"1992","35-65 y.","Urban Area","16134.7","14294.67","4559","8071.33","10876.67","19564","25273.6","43387.33","15888.05","16381.35","0","170548.67","13283.2001953125","13648.7998046875"
"1992","66 and older","Rural Area","9433.36","8192.67","507","5054","6441","11624","15635","21923","9067.84","9798.88","1377","29078.06","7660","8531.3330078125"
