"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","","","","","","","","","","","","","",""
"1984","West Germany","10549.82","9612.41","12231","5446.96","7289.29","12619.33","16254","28942.86","10451.54","10648.1","0","113745.34","9360.5","9541.9052734375"
"1985","East Germany","","","","","","","","","","","","","",""
"1985","West Germany","10928.29","9972.23","11087","5598.1","7498","13110","16566","29618.89","10823.27","11033.31","0","169250","9707","9865.599609375"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","11109.11","10260","10643","5814.5","7650.67","13464.44","17135.5","28054.67","11008.42","11209.8","0","123372","10021","10233.2001953125"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","11711.29","10774","10513","6136","8148.93","14135","17994.5","29858.67","11607.25","11815.33","0","87875","10524","10770.5"
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","12114.83","11084.38","10022","6381.2","8360","14551","18714.67","31868.8","12005.04","12224.62","0","101558.66","10851.3330078125","11030.0009765625"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","12821.5","11703.75","9709","6623.5","8790.67","15293.33","19413","37168.89","12696.41","12946.59","0","135049","11349","11567.5"
"1990","East Germany","","","","","","","","","","","","","",""
"1990","West Germany","13329.01","12149.56","9517","6908","9147","15925","20249.5","37057.6","13189.49","13468.53","0","148122","11740","12004.2861328125"
"1991","East Germany","","","","","","","","","","","","","",""
"1991","West Germany","14326.55","12918.34","9466","7280.48","9814.62","17158","22236","40394.67","14185.82","14467.28","6.67","130243","12591.9052734375","12819.4443359375"
"1992","East Germany","9451.64","8772.87","3993","5464.67","6872.67","11280.87","14006.67","22036.52","9336.91","9566.37","1702.31","36300","9113","9322.857421875"
"1992","West Germany","15097.37","13647.83","9398","7659.05","10375.24","18432","23474.5","40343.33","14948.14","15246.6","0","170548.67","13386.6669921875","13614.6669921875"
"1993","East Germany","11041.71","10371.6","3840","6404.76","8158.89","13130","16356.09","23697.33","10898.77","11184.65","86","63468.5","10541.2001953125","10736"
"1993","West Germany","15833.62","14383.6","9338","7814.44","10626.11","19090.8","24858.67","44792.67","15678.65","15988.59","0","122986.12","14045","14342"
"1994","East Germany","12526.81","11505.6","3788","7260.48","9108","14666.5","18421.6","30449.5","12353.91","12699.71","0","65958.5","11878.6669921875","12113"
"1994","West Germany","16358.07","14758.67","9156","8161.67","11029.33","19751","25894.67","43730.67","16195.55","16520.59","0","128759","14366.6669921875","14702.173828125"
"1995","East Germany","13056.25","12068.94","3705","7606.19","9565.24","15435.56","19249","35102","12878.65","13233.85","136.67","80679.34","12227","12552"
"1995","West Germany","16253.8","14616.67","9665","7745.42","10816.5","19703.5","26100.5","43974","16092.31","16415.29","0","125661","14139.2861328125","14459.5"
"1996","East Germany","13456.92","12525.86","3696","8074.78","9992.61","15674","19634.45","32273.5","13283.03","13630.81","628","85119.34","12727.3330078125","12990"
"1996","West Germany","16596.3","14841.15","9429","7906","11181","19956","26393.5","45393.33","16424.34","16768.26","0","193088","14406.19140625","14724.7998046875"
"1997","East Germany","13965.54","12900.32","3651","8354.35","10374.62","16254.67","20244","34304.67","13762.24","14168.84","427","97731.34","13186.6669921875","13502.5"
"1997","West Germany","16777.24","15143.7","9264","8338.67","11453.6","20065","26832.5","45440","16618.81","16935.67","0","110923","14764.6669921875","15092.6669921875"
"1998","East Germany","13952.19","12961","3885","8314","10569.33","16158","20343.2","34010.67","13773.34","14131.04","340.67","82283.34","13205","13570.71484375"
"1998","West Germany","16974.44","15290.48","10442","8546.11","11556.67","20559.33","26784","44318","16818.73","17130.15","0","131763.81","14958","15243.810546875"
"1999","East Germany","14600.06","13664.95","3803","8585","10958.75","17011.2","21076.8","33967","14406.94","14793.18","596","122128.66","13689.5","14007.3330078125"
