"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","(Married) couple without C.","12900.33","12730.67","647","6929.33","9873.33","15486","18406.67","26958.67","12423.64","13377.02","0","75777.34","12192","13065.3330078125"
"1984","16-34 y.","1-pers.-HH","9354.48","9211.18","355","2714","4655","11765","14723","36512","8541.77","10167.19","0","94603","8641","9851"
"1984","16-34 y.","Couple + C. GT 16 ","11692.45","10874.82","795","7160","8891.67","13592.8","16293.43","27067","11368","12016.9","3063.2","64628","10501","11173.599609375"
"1984","16-34 y.","Couple + C. LE 16","9650.21","8884.5","1511","5569.17","6932.86","11323.33","13638.89","26317.78","9414.13","9886.29","0","62500","8234.2314453125","8631.111328125"
"1984","16-34 y.","Couple + C. LE and GT 16","9324.23","8648.49","707","5741.79","7225.36","10888.93","13256","22791.07","9066.68","9581.78","2176.4","41323.6","8006.07177734375","8452"
"1984","16-34 y.","Single parent","8585.32","7916.81","287","4005.71","5726.67","10929.33","13404.5","25077.33","8061.52","9109.12","236.15","34391","7331","8378.6669921875"
"1984","35-65 y.","(Married) couple without C.","12642.47","11214.07","1481","6462.67","8490.67","15202.67","19976.67","34232","12288.58","12996.36","596.67","113745.34","11078","11694"
"1984","35-65 y.","1-pers.-HH","11121.33","10430","516","4786","7368","13824","18329","31728","10620.95","11621.71","0","60934","10262","11033"
"1984","35-65 y.","Couple + C. GT 16 ","11788.47","10869.41","1150","7107.5","8760.5","13729","16987.5","27080.5","11508.88","12068.06","3063.2","64628","10526","11059.2001953125"
"1984","35-65 y.","Couple + C. LE 16","10574.05","9472.61","1568","5858.08","7182.86","12391.67","15945.5","32854.5","10310.84","10837.26","438.1","62493.91","8776.6669921875","9258.888671875"
"1984","35-65 y.","Couple + C. LE and GT 16","9388.82","8720.29","1013","5876.96","7225.36","10888.93","13316","22791.07","9165.54","9612.1","2176.4","41323.6","8066.66650390625","8463.9130859375"
"1984","35-65 y.","Single parent","8616.83","8144.49","264","3558.67","6003.85","10744.67","14170.67","19557.69","8103.11","9130.55","460","34391","7598","8598"
"1984","66 and older","(Married) couple without C.","9429.71","8385.33","577","4908.67","6617.33","10839.33","13498","27984.67","8919.34","9940.08","596.67","113745.34","8180.66650390625","8797.3330078125"
"1984","66 and older","1-pers.-HH","8636.67","7409.51","464","4479","5829","10430","14155","30678","8192.4","9080.94","0","39555","7233","7976"
"1984","66 and older","Couple + C. GT 16 ","11037.95","9852.21","48","5522","7771.67","10841.2","18322.5","48320.5","9097.54","12978.36","4753.5","48320.5","8914.5","10526"
"1984","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1984","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1984","66 and older","Single parent","","","","","","","","","","","","","",""
"1985","16-34 y.","(Married) couple without C.","13182.77","13375.65","592","7433.33","9713.33","15816.67","18770.67","27899.33","12782.94","13582.6","11.33","40760","12598.6669921875","13532.6669921875"
"1985","16-34 y.","1-pers.-HH","9770.17","9895.97","327","3395","5843","12349","14012","36917","8659.41","10880.93","0","162146","9135","10386"
"1985","16-34 y.","Couple + C. GT 16 ","11854.71","11492.67","837","7450.4","9182","13997.5","16381.5","24546","11560.98","12148.44","1907.2","68799.5","10989.3330078125","11580.5712890625"
"1985","16-34 y.","Couple + C. LE 16","9518.79","8727.78","1249","5630.95","6961.25","11544.44","13730.56","25023.89","9301.64","9735.94","1908.33","43941.43","8198.572265625","8687.1435546875"
"1985","16-34 y.","Couple + C. LE and GT 16","9688.73","9383.96","627","5634.19","7145.53","11088.8","13896.29","20055.2","9394.04","9983.42","2783.95","51736.4","8205.75","8938"
"1985","16-34 y.","Single parent","8589.16","7995.59","280","3774.67","5626.15","10644","13702","21884","8083.62","9094.7","0","28120.67","7432","8536.6669921875"
"1985","35-65 y.","(Married) couple without C.","12843.24","11538.19","1345","6798.67","8668","15804.67","20459.33","35126.67","12530.4","13156.08","0","51862.67","11478.6669921875","12242"
"1985","35-65 y.","1-pers.-HH","12029.22","10612.95","450","4724","7169","14621","18466","43401","11100.07","12958.37","0","169250","10126","11327"
"1985","35-65 y.","Couple + C. GT 16 ","11947.79","11341","1144","7312.5","9147.2","14059.5","16665.5","24979.6","11677.1","12218.48","1907.2","68799.5","10934","11505"
"1985","35-65 y.","Couple + C. LE 16","11063.18","9653.21","1431","5912.86","7394.58","12643.5","16459.45","36793.6","10760.52","11365.84","1306.67","79317.78","8950","9504.34765625"
"1985","35-65 y.","Couple + C. LE and GT 16","9891.99","9312.4","866","5696.96","7253.2","11296.8","14581.74","25529.2","9626.46","10157.52","2783.95","51736.4","8353.2001953125","8955.861328125"
"1985","35-65 y.","Single parent","9084.9","8381.23","238","3966.67","6219.33","11463.33","14910.67","21884","8550.74","9619.06","429.23","28120.67","7864.54541015625","9068.6669921875"
"1985","66 and older","(Married) couple without C.","10040.3","9010.78","498","5336","7192","11939.33","14775.33","37871.33","9548.57","10532.03","2576.67","51862.67","8726","9384"
"1985","66 and older","1-pers.-HH","9323.01","8096","404","4540","6136","10861","14465","43169","8644.23","10001.79","67","70914","7498","8590"
"1985","66 and older","Couple + C. GT 16 ","10570.69","9677.6","48","7209","8402","11728.5","16693","22838.5","9504.04","11637.34","5222","22838.5","9177.5","11364.400390625"
"1985","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1985","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1985","66 and older","Single parent","","","","","","","","","","","","","",""
"1986","16-34 y.","(Married) couple without C.","13777.98","13805.77","642","7989.33","10398.67","16732.67","19550.67","27844.67","13395.48","14160.48","1728.67","46954.67","13068.6669921875","13932"
"1986","16-34 y.","1-pers.-HH","9316.9","9661.03","324","3702","5232","12211","14244","20352","8781.44","9852.36","0","35222","8691","10204"
"1986","16-34 y.","Couple + C. GT 16 ","12376.98","11647.68","874","7361","9307.5","14296.4","17772.5","24068.8","12010.38","12743.58","2684.8","86342","11249.6669921875","11772.7998046875"
"1986","16-34 y.","Couple + C. LE 16","9679.63","9083.33","1148","6061.67","7202.22","11743.89","14337.62","19486.67","9475.32","9883.94","2684.44","38702.38","8404.2861328125","9001.9052734375"
"1986","16-34 y.","Couple + C. LE and GT 16","10212.34","9509.84","588","6384.47","7676.77","11723.67","14282.79","22945.71","9920.66","10504.02","3172.86","36795.15","8550.833984375","9041.3330078125"
"1986","16-34 y.","Single parent","8979.64","8559.64","258","4234.29","5906.67","11290.4","14258.5","22342.67","8413.6","9545.68","236.15","39696.67","7699.33349609375","9375.23828125"
"1986","35-65 y.","(Married) couple without C.","13288.09","12306.67","1272","6520.67","8915.33","16243.33","20683.33","31420.67","12884.58","13691.6","2312","123372","11996.6669921875","12821.3330078125"
"1986","35-65 y.","1-pers.-HH","11548.49","10906.53","428","5342","7407","14175","18577","27422","11021.37","12075.61","51","48771","10808","11830"
"1986","35-65 y.","Couple + C. GT 16 ","12241.25","11487.57","1184","7250.33","9005","14201.5","17648","27444.5","11935.28","12547.22","2684.8","86342","11289","11719.5"
"1986","35-65 y.","Couple + C. LE 16","11055.67","10104.47","1262","6218.33","7690.48","13171.5","16984.76","30550.42","10803.29","11308.05","2883.81","38685.83","9370","9868.6962890625"
"1986","35-65 y.","Couple + C. LE and GT 16","10133.54","9457.83","815","6354.44","7548.93","11729.2","14470.4","24505.2","9880.48","10386.6","3529.29","36795.15","8550.857421875","9035.65234375"
"1986","35-65 y.","Single parent","9352.7","8730.3","229","4234.29","6011.33","11644.67","15268.5","22342.67","8754.44","9950.96","260","39696.67","7871.53857421875","9567.5"
