"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","12896.21","11759.79","1295","5368.5","8568","16022","20608","39555","12484.24","13308.18","0","94603","11195.599609375","12091.6669921875"
"1984","lower secondary degree","9804.33","8964","6127","5283","6960","11776","14596","25565.33","9674.33","9934.33","0","113745.34","8964","9193.3330078125"
"1984","no degree/no degree yet","8995.75","8333.63","1304","4907","6496.8","11084","13517.6","19622.8","8783.77","9207.73","0","41323.6","7868.18212890625","8317.7783203125"
"1984","Other degree","9332.18","8574.84","1453","5098.33","6516.19","11076.11","13740.67","24662.67","9073.65","9590.71","0","75831.34","8356","8808.75"
"1984","secondary school degree","11958.87","11052.86","1960","6756.5","8688","14198.67","17815","30985.2","11714.18","12203.56","0","74208.66","10916.7998046875","11379"
"1985","college entrance qualification","13121.84","12495.29","1233","5730","8976","16110","21218","35652.67","12761.58","13482.1","0","64303","11908.400390625","12625.599609375"
"1985","lower secondary degree","10125.16","9322","5491","5527.39","7206.19","12192.8","15097.33","25753.33","9995.36","10254.96","0","79317.78","9298.6669921875","9558.6669921875"
"1985","no degree/no degree yet","9380.97","9093.12","1102","4668.1","6652","11635.6","14683.2","22394.5","9170.17","9591.77","0","26939.57","8054.76220703125","8891"
"1985","Other degree","9149.05","8353.78","1229","5188.4","6302.59","11183.33","13872","24979.6","8949.34","9348.76","623.12","27836.67","8167","8894.642578125"
"1985","secondary school degree","12535.24","11341","1883","6574.5","8781","14789.33","18466","37996.67","12181.06","12889.42","0","169250","11164.8388671875","11645.5556640625"
"1986","college entrance qualification","13628.47","12888.44","1258","5987.33","9354.17","17120.5","22242","35222","13255.26","14001.68","0","86342","12478","13130.6669921875"
"1986","lower secondary degree","10226.19","9602.51","5188","5766.52","7262.5","12376.4","15297.5","23720","10102.4","10349.98","0","123372","9644.5","9869.3330078125"
"1986","no degree/no degree yet","9495.11","9226.45","1037","4711.94","6698.39","11790.67","14230","21405.6","9275.39","9714.83","0","30236.8","8528.5712890625","9065"
"1986","Other degree","9342.16","8580","1171","5281.33","6516.67","11294.8","14491.33","22216","9130.23","9554.09","0","38295.33","8580.6669921875","9279.599609375"
