"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Not Employed","indirect migration background","9624.94","9035.54","109","6737.83","7704.67","10954","13879","16385.5","8976.93","10272.95","4087.81","26864.67","8091.7392578125","9500"
"1989","Not Employed","no migration background","10913.09","9971.77","2522","5751","7376.8","13082","16918","30906","10684.74","11141.44","0","113948","10090","10506"
"1990","Employed","direct migration background","12873.76","11598.97","1749","7463.73","9057.2","14844","18428","29855","12629.38","13118.14","2416","114543.34","10968.400390625","11406.400390625"
"1990","Employed","indirect migration background","11850.48","11011.26","177","7620.8","9017.83","14546.67","17108","20249.71","11252.13","12448.83","4207","32201.11","10871.7861328125","12244.783203125"
"1990","Employed","no migration background","14991.87","13813.22","4246","8484.35","10796","17430","22212","39348","14756.21","15227.53","693","148122","13628","14038"
"1990","Not Employed","direct migration background","10153.46","9025.15","802","5304.85","7059.52","11812","15682.67","33418","9849.13","10457.79","24","44384","8156.154296875","8706"
"1990","Not Employed","indirect migration background","9747.23","8887.33","119","5968.26","7804.62","11133.61","14306","20067","9128.28","10366.18","149","20249.71","8747.599609375","10478.0771484375"
"1990","Not Employed","no migration background","11398.7","10282.29","2424","6027","7806","13664","17395","33976","11150.28","11647.12","0","123478","10350.6669921875","10850.6669921875"
"1991","Employed","direct migration background","13941.34","12676.73","1742","7974.44","9919.33","16113.03","20404.45","40455","13673.17","14209.51","3363","119264.66","11780.0009765625","12492.5"
"1991","Employed","indirect migration background","12408.71","11882.32","215","7037.2","8884.29","15272.22","19059","24376","11789.78","13027.64","2875","33739.52","11628","13124.6435546875"
"1991","Employed","no migration background","16249.05","14905","4240","9143","11491.5","19160.87","24273.5","42276.19","16018.39","16479.71","1457","130243","14698","15072.7998046875"
"1991","Not Employed","direct migration background","11026.46","9834.47","759","5796.9","7546.25","12784.5","17370.67","31882","10700.07","11352.85","278.67","44906.67","8929.6669921875","9535.3330078125"
"1991","Not Employed","indirect migration background","9577.39","9482.16","134","5243.33","8046.19","11836.96","13105.5","19161.5","8913.17","10241.61","199.52","23593.2","9126.923828125","10505.65234375"
"1991","Not Employed","no migration background","12070.8","10911","2376","6121","8144","14814","19194","36194.5","11821.76","12319.84","6.67","85482.78","11138.7998046875","11601.7392578125"
"1992","Employed","direct migration background","14244.13","13035.53","1764","8135.33","10395.33","16870.56","21986","35984.67","13982.97","14505.29","1936.67","115850","12482.6669921875","12983.9287109375"
"1992","Employed","indirect migration background","12628.37","12808.96","253","7554.78","9134","14993.89","17936","30613.33","12026.43","13230.31","763","36777.14","11698","13388.7998046875"
"1992","Employed","no migration background","15514.05","13974","7098","7993.04","10490.65","19044.5","23840","40680","15338.22","15689.88","874","170548.67","12715.23828125","13088.400390625"
"1992","Not Employed","direct migration background","10926.53","9743.94","807","5606","7168","12831","17966.4","31581.33","10602.47","11250.59","0","42286","9326.857421875","9829"
"1992","Not Employed","indirect migration background","11632.83","11030.85","158","6213.33","8017.2","14186","20178","26075.2","10945.06","12320.6","0","26075.2","10248.125","11368.400390625"
"1992","Not Employed","no migration background","11843.02","10698.23","3311","5775","7553.5","14413.2","19504","33574","11635.48","12050.56","153","92274","10211.599609375","10654"
"1993","Employed","direct migration background","15582.86","14076.64","1678","8801.5","10843.85","17809","23928.67","44792.67","15287.57","15878.15","2045.33","122986.12","13226.5","13716.7861328125"
"1993","Employed","indirect migration background","13201.41","12673.71","308","6245.6","9624.5","15637.14","20856","32308","12602.64","13800.18","1796.67","39199.53","12302","13716.7861328125"
"1993","Employed","no migration background","16861.77","15198.69","6747","8974","11530","20182","25757.33","44930.67","16680.3","17043.24","848","122986.12","14205.23828125","14502.6669921875"
"1993","Not Employed","direct migration background","11467.73","9930.5","820","5805","7549.6","12936","19100.4","43380","11099.21","11836.25","536.88","46981.33","9266","9868"
"1993","Not Employed","indirect migration background","11622.94","10089.18","168","6828.93","8612.67","14156.54","18731.3","22047.2","11006.96","12238.92","188","25181.6","9465.484375","11153.599609375"
"1993","Not Employed","no migration background","12268.73","11109.14","3457","6452.78","8152.86","14637","19294","34548","12060.89","12476.57","0","81682","10687.3330078125","11069"
"1994","Employed","direct migration background","16531.09","14755.95","1534","8870.5","11151.33","19090","25211","44731.33","16186.84","16875.34","1527.33","103276.67","13528.8466796875","14146.7744140625"
"1994","Employed","indirect migration background","13394.81","12513.61","323","7144","9998","16309.2","20499.5","33212","12714.43","14075.19","1527.33","67954","12651.3046875","14131.7861328125"
