"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","11714.67","10751.6","7568","6657.62","8317.78","13712.67","17518","31282.67","11589.94","11839.4","477.33","94603","10289.599609375","10517.3330078125"
"1984","Not Employed","9061.59","8210.98","4663","4632","6166","10872","13944.35","25565.33","8912.03","9211.15","0","113745.34","7863.33349609375","8139.5"
"1985","Employed","12094.75","11155.72","6854","6641","8636.96","14216","17701","33191.91","11954.19","12235.31","501","169250","10595","10869.4443359375"
"1985","Not Employed","9437.73","8639.18","4233","4854","6464.29","11310","14713","25708","9294.32","9581.14","0","79317.78","8199.3330078125","8449.0478515625"
"1986","Employed","12333.29","11492.67","6698","6900","8953.5","14580.67","18088","29938","12204.23","12462.35","393","123372","10947","11199.5"
"1986","Not Employed","9491.17","8630.2","3945","4949.33","6477.83","11484","14770.48","25308","9342.86","9639.48","0","86342","8367.7783203125","8655.2001953125"
"1987","Employed","12946.16","12034.4","6714","7396","9327.25","15229","18992","31860.67","12813.81","13078.51","825","87875","11490.6669921875","11736"
"1987","Not Employed","9982.99","9106.38","3799","5338.67","6908.67","12017","15671.5","26136.11","9828.7","10137.28","0","61574","8874","9153"
"1988","Employed","13443.05","12371.16","6450","7656.67","9812.78","15800.5","20187","32828.67","13304.77","13581.33","744","101558.66","11721.5","11968"
"1988","Not Employed","10229.96","9386.32","3572","5464","7063","12310.67","15674.67","29897","10064.16","10395.76","0","83248","9062","9415.2001953125"
"1989","Employed","14240.71","12985.15","6270","8079.6","10262.4","16639","20748","39989.5","14080.8","14400.62","666","135049","12368","12594"
"1989","Not Employed","10798.79","9815.86","3439","5689.33","7336","12916.19","16648","30906","10614.52","10983.06","0","113948","9477.87890625","9833.0439453125"
"1990","Employed","14710.03","13492.31","6172","8254.38","10490","17123.89","21825.6","38325.55","14529.23","14890.83","693","148122","12800","13108"
"1990","Not Employed","11246.07","10082.53","3345","5894","7694","13365.33","17297","33976","11047.77","11444.37","0","123478","9764.783203125","10082"
"1991","Employed","15902.77","14550.98","6197","8858.57","11221","18711.67","23847.78","42276.19","15722.62","16082.92","1457","130243","13729","14067"
"1991","Not Employed","11927.28","10686.9","3269","6018.67","8072","14565.2","19138.5","33740","11725.87","12128.69","6.67","85482.78","10482.7783203125","10902"
"1992","Employed","15334.73","13796.67","9115","7999.44","10466","18599","23598.89","40259.33","15187.6","15481.86","763","170548.67","12712.7998046875","12983.9287109375"
"1992","Not Employed","11745.1","10605.33","4276","5775","7516","14288","19462","33040","11570.8","11919.4","0","92274","10054.783203125","10437.3330078125"
"1993","Employed","16644.83","15001.77","8733","8882.5","11428.67","19828.8","25411.2","44849.6","16491.41","16798.25","848","122986.12","13946.0869140625","14223.333984375"
"1993","Not Employed","12170.8","10909.12","4445","6332","8114","14486.67","19246","35480","11993.03","12348.57","0","81682","10407.3330078125","10705.2001953125"
"1994","Employed","17492.67","15828.5","8355","9550","12123","20759.53","27132.5","44616.67","17327.14","17658.2","1527.33","128759","14738.3876953125","15045.65234375"
"1994","Not Employed","12879.12","11689","4589","6650.5","8790","15398","20156","37272","12701.11","13057.13","0","102068.5","11298.75","11632.6669921875"
"1995","Employed","17450.54","15774.01","8532","9268.57","12121.6","20700.44","27320","45130","17285.48","17615.6","1227","118529.45","14770.5556640625","15041.111328125"
"1995","Not Employed","13141.47","11785.06","4838","6599.33","8882","15480","20569.33","35917.33","12958.16","13324.78","0","125661","11354.2861328125","11626.6669921875"
"1996","Employed","17736.49","15910.86","8454","9536.15","12346.19","20933.33","27456.8","47426.5","17561.73","17911.25","807","193088","14923.8896484375","15248"
"1996","Not Employed","13578.6","12351.38","4671","6855","9366.25","16163.48","21100","38418.93","13390.12","13767.08","0","118062.5","11902","12240"
"1997","Employed","18002.2","16261.33","8163","9861.33","12641","21104.29","27869.33","46896","17836.33","18168.07","486","110923","15552","15856"
"1997","Not Employed","13874.75","12604.8","4752","7032.31","9643","16274.67","21983.33","38119","13690.39","14059.11","0","96119.5","12302.3330078125","12606.6669921875"
"1998","Employed","18156.56","16387.27","8888","10048","12729.57","21650","27846","46064.67","17994.32","18318.8","750","131763.81","15615.599609375","15933.3330078125"
"1998","Not Employed","14088.12","12933.45","5439","7150","9812","16631.6","22616.19","37846","13910.42","14265.82","0","131763.81","12560.5","12839"
"1999","Employed","18597.65","16839","8800","10240","12868.57","22142","28720","50531.43","18426.85","18768.45","341","122128.66","15996.5","16323.8896484375"
"1999","Not Employed","14671.52","13187.29","4968","7523.33","10215","17376","23525.33","41002","14476.26","14866.78","102","122128.66","12790","13158"
"2000","Employed","19238.46","17172.87","15195","10306.25","13309","22710","30043.33","54073.33","19085.01","19391.91","722","222456","16823.19921875","17066.25"
"2000","Not Employed","14890.19","13423.91","9069","7532.8","10296.79","17534","23231.33","43192","14728.95","15051.43","0","181406","13312.6669921875","13544.7998046875"
"2001","Employed","19692.44","17593.42","13924","10464.58","13664.78","23086.11","30722.67","55597.33","19531.69","19853.19","1182","212321","17241","17534.666015625"
"2001","Not Employed","15312.72","13914.63","8139","7779.33","10510","18214","23977.33","42708","15145.68","15479.76","0","174416","13838","14099.3330078125"
"2002","Employed","20333.87","17861.5","14848","10400.77","13734.29","23702.67","31863.33","63277.62","20092.22","20575.52","140","289608","19278.5","19602.5"
"2002","Not Employed","15394.08","13731.35","8309","7643","10355","18198.33","23912.5","45577.33","15114.05","15674.11","0","387826.66","14342","14654"
"2003","Employed","20960.29","18665.73","14078","10745","14190","24520.67","32710.67","62371.33","20731.31","21189.27","975","286685","19861.333984375","20209"
"2003","Not Employed","15960.61","14260.67","8219","7789.33","10521.33","18962","25441","48041.43","15672.13","16249.09","0","403917.34","14880.6669921875","15223.3330078125"
"2004","Employed","20846.74","18461.88","13511","10671.6","14035.33","24335.33","32373.33","60643.33","20500.13","21193.35","600","1364491.38","19746.66796875","20138.095703125"
"2004","Not Employed","16012.38","14303.25","8222","7800","10635.33","18903","24995.33","47820.5","15604.96","16419.8","0","1364491.38","14889.3330078125","15221.5"
"2005","Employed","21218.65","18734.37","12883","10475.71","14182.5","25010","33619.5","63195.33","20852.95","21584.35","1056","1659708","20067.333984375","20530.322265625"
"2005","Not Employed","16395.68","14427.7","7929","8040.87","10788","19390","25862.5","46733.33","15891.2","16900.16","0","1659708","15010","15412.6669921875"
"2006","Employed","21970.74","18919.19","13482","10538","14215","25658.5","34567","71892","21648.77","22292.71","624","593626","20210","20655.83203125"
"2006","Not Employed","16368.12","14397.92","8899","7665.33","10558.67","19497","26296.67","49296.67","16075.76","16660.48","0","587142.69","15143","15508.6669921875"
"2007","Employed","22265.74","19343.19","12612","10824.67","14625.56","26046.67","35297.39","72034","21967.28","22564.2","644","613426","20464","20891.333984375"
"2007","Not Employed","16749.86","14638","8353","7986.67","10960.67","19880","27151","51750","16442.96","17056.76","0","362992","15480","15906.6669921875"
"2008","Employed","22941.26","20056","11929","11340","14786","26651.33","36246.5","72380.66","22590.66","23291.86","590","886350.69","20943","21298.572265625"
