"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Full Time","96.26","90","5640","55","70","120","145","220","95.29","97.23","6","442","82","85"
"1984","Employed","Not Working","","","","","","","","","","","","","",""
"1984","Employed","Part Time","94.4","90","1872","56","70","115","140","220","92.79","96.01","8","280","84","87"
"1984","Not Employed","Full Time","","","","","","","","","","","","","",""
"1984","Not Employed","Not Working","88.39","80","4637","50","62","108","140","200","87.33","89.45","12","442","80","80"
"1984","Not Employed","Part Time","","","","","","","","","","","","","",""
"1985","Employed","Full Time","95.56","90","4792","54","70","120","146","220","94.5","96.62","6","550","84","86"
"1985","Employed","Not Working","","","","","","","","","","","","","",""
"1985","Employed","Part Time","96.32","90","1802","55","70","120","150","220","94.58","98.06","9","340","85","90"
"1985","Not Employed","Full Time","","","","","","","","","","","","","",""
"1985","Not Employed","Not Working","87.3","80","4085","50","60","105","134","200","86.14","88.46","10","564","80","83"
"1985","Not Employed","Part Time","","","","","","","","","","","","","",""
"1986","Employed","Full Time","86.01","78","652","45","60","103","135","230","83.17","88.85","12","270","75","80"
"1986","Employed","Not Working","","","","","","","","","","","","","",""
"1986","Employed","Part Time","87.33","80","270","35","60","110","150","215","82.51","92.15","10","225","76","85"
"1986","Not Employed","Full Time","","","","","","","","","","","","","",""
"1986","Not Employed","Not Working","80.4","74.31","336","30","53","100","149","215","76.13","84.67","8","250","73","80"
"1986","Not Employed","Part Time","","","","","","","","","","","","","",""
"1987","Employed","Full Time","83.64","80","553","45","60","105","130","200","80.96","86.32","16","220","75","80"
"1987","Employed","Not Working","","","","","","","","","","","","","",""
"1987","Employed","Part Time","80.41","75","245","36","60","100","130","180","76.08","84.74","15","220","75","82"
"1987","Not Employed","Full Time","","","","","","","","","","","","","",""
"1987","Not Employed","Not Working","83.05","77.25","259","45","60","103","135","180","78.64","87.46","8","220","76","85"
"1987","Not Employed","Part Time","","","","","","","","","","","","","",""
"1988","Employed","Full Time","86.77","79","532","44","60","100","144","260","82.85","90.69","10","312","76","80"
"1988","Employed","Not Working","","","","","","","","","","","","","",""
"1988","Employed","Part Time","90.32","80","236","49","64","109","144","312","84.53","96.11","10","312","78","86"
"1988","Not Employed","Full Time","","","","","","","","","","","","","",""
"1988","Not Employed","Not Working","70.25","65.04","244","25","48","85","120","200","64.86","75.64","10","260","68","75"
"1988","Not Employed","Part Time","","","","","","","","","","","","","",""
"1989","Employed","Full Time","87.25","80","523","45","60","110","130","215","83.87","90.63","12","270","77","82"
"1989","Employed","Not Working","","","","","","","","","","","","","",""
"1989","Employed","Part Time","88.89","79.21","218","42","57","120","150","200","83.04","94.74","12","270","70","85"
"1989","Not Employed","Full Time","","","","","","","","","","","","","",""
"1989","Not Employed","Not Working","80.55","70","211","40","55","110","130","215","75.23","85.87","12","250","70","80"
"1989","Not Employed","Part Time","","","","","","","","","","","","","",""
"1990","Employed","Full Time","89.92","80","494","45","60","110","150","240","86.05","93.79","10","300","80","84"
"1990","Employed","Not Working","","","","","","","","","","","","","",""
"1990","Employed","Part Time","79.49","75.11","191","32","50","100","135","260","73.49","85.49","10","260","70","80"
"1990","Not Employed","Full Time","","","","","","","","","","","","","",""
"1990","Not Employed","Not Working","80.8","70","198","20","45","110","135","240","74.48","87.12","0","260","70","84"
"1990","Not Employed","Part Time","","","","","","","","","","","","","",""
"1991","Employed","Full Time","87.29","80","459","46","60","110","140","200","83.8","90.78","9","204","75","86"
"1991","Employed","Not Working","","","","","","","","","","","","","",""
"1991","Employed","Part Time","91.41","85","177","42","58","120","160","200","85.15","97.67","15","200","75","94"
"1991","Not Employed","Full Time","","","","","","","","","","","","","",""
"1991","Not Employed","Not Working","86.66","80","190","40","58","110","148","250","80.62","92.7","9","250","70","87"
"1991","Not Employed","Part Time","","","","","","","","","","","","","",""
"1992","Employed","Full Time","85.99","75","659","45","58","110","145","240","82.86","89.12","15","250","73","80"
"1992","Employed","Not Working","","","","","","","","","","","","","",""
"1992","Employed","Part Time","85.66","75","288","40","56","110","140","210","81.11","90.21","9","250","70","80"
"1992","Not Employed","Full Time","","","","","","","","","","","","","",""
"1992","Not Employed","Not Working","78.37","70.29","214","28","46","103","132","200","72.55","84.19","14","250","70","86"
"1992","Not Employed","Part Time","","","","","","","","","","","","","",""
"1993","Employed","Full Time","92.53","83","694","45","61","120","146","250","89.26","95.8","14","350","78","85"
"1993","Employed","Not Working","","","","","","","","","","","","","",""
"1993","Employed","Part Time","85.64","74","295","40","58","112","140","210","80.96","90.32","10","350","70","80"
"1993","Not Employed","Full Time","","","","","","","","","","","","","",""
"1993","Not Employed","Not Working","86.19","80","284","34","54","110","148","210","81.16","91.22","12","300","74","86"
"1993","Not Employed","Part Time","","","","","","","","","","","","","",""
"1994","Employed","Full Time","85.91","80","714","41","57","108","140","230","82.91","88.91","10","270","80","85"
"1994","Employed","Not Working","","","","","","","","","","","","","",""
"1994","Employed","Part Time","89.91","80","310","40","55","120","147","250","84.98","94.84","12","270","80","90"
