"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Female","92.04","85","2321","50","68","110","140","220","90.56","93.52","15","442","80","81"
"1984","16-34 y.","Male","94.52","90","2249","50","69","120","144","220","93","96.04","8","300","80","85"
"1984","35-65 y.","Female","96.32","90","3106","58","70","120","140","210","95.04","97.6","10","442","85","88"
"1984","35-65 y.","Male","98.28","90","3201","59","72","120","150","220","96.98","99.58","6","442","85","87"
"1984","66 and older","Female","74.08","65","766","45","54","85","118","200","71.6","76.56","20","300","65","70"
"1984","66 and older","Male","84.07","75","506","50","60","100","130","210","80.84","87.3","18","300","72","80"
"1985","16-34 y.","Female","91.47","85","2001","50","65","110","140","210","89.91","93.03","15","280","80","85"
"1985","16-34 y.","Male","94.51","90","2028","50","68","120","150","210","92.91","96.11","9","260","83","87"
"1985","35-65 y.","Female","96","90","2771","57","70","120","143","220","94.61","97.39","14","550","85","90"
"1985","35-65 y.","Male","97.94","90","2792","58","70","120","150","220","96.51","99.37","6","550","85","90"
"1985","66 and older","Female","73.18","65","650","44","54","85","115","200","70.36","76","16","340","65","70"
"1985","66 and older","Male","82.63","73","437","48","59","98","120","220","78.59","86.67","19","564","70","80"
"1986","16-34 y.","Female","80.95","75","416","35","56","100","130","225","77.46","84.44","12","240","72","80"
"1986","16-34 y.","Male","81.72","76","367","43","60","100","128","200","78.24","85.2","8","240","73","80"
"1986","35-65 y.","Female","95.74","82.67","199","54","65","120","150","250","89.98","101.5","18","270","80","90"
"1986","35-65 y.","Male","97.97","90","241","47","67","120","156","250","92.42","103.52","12","270","80","90"
"1986","66 and older","Female","","","","","","","","","","","","","",""
"1986","66 and older","Male","","","","","","","","","","","","","",""
"1987","16-34 y.","Female","78.82","75","334","38","60","100","120","150","75.52","82.12","10","200","72","80"
"1987","16-34 y.","Male","77.74","75","312","38","55","100","130","150","74.2","81.28","8","180","70","79"
"1987","35-65 y.","Female","92.41","84.7","173","51","70","118","135","200","87.14","97.68","20","220","80","90"
"1987","35-65 y.","Male","90.45","84","204","48","69","110","136","200","85.63","95.27","16","220","80","90"
"1987","66 and older","Female","","","","","","","","","","","","","",""
"1987","66 and older","Male","","","","","","","","","","","","","",""
"1988","16-34 y.","Female","83.91","75","342","45","60","98","135","220","79.39","88.43","10","312","70","80"
"1988","16-34 y.","Male","80.19","75","303","33","54","98","130","210","75.35","85.03","10","312","72","80"
"1988","35-65 y.","Female","92.55","84.27","148","48","63","117","150","312","84.62","100.48","30","312","80","90"
"1988","35-65 y.","Male","92.67","82.02","181","39","64","109","150","260","85.44","99.9","18","312","79","90"
"1988","66 and older","Female","","","","","","","","","","","","","",""
"1988","66 and older","Male","","","","","","","","","","","","","",""
"1989","16-34 y.","Female","80.65","74","313","40","50","100","130","215","76.34","84.96","12","270","70","80"
"1989","16-34 y.","Male","83.3","80","306","41","59","104","130","180","79.21","87.39","12","250","73","80"
"1989","35-65 y.","Female","94.79","83","144","55","63","120","146","200","87.83","101.75","12","250","80","100"
"1989","35-65 y.","Male","97.9","87","171","46","63","125","164","250","91.02","104.78","18","270","80","94"
"1989","66 and older","Female","","","","","","","","","","","","","",""
"1989","66 and older","Male","","","","","","","","","","","","","",""
"1990","16-34 y.","Female","77.27","70","1155","40","54","98","120","200","75.34","79.2","10","300","69","70"
"1990","16-34 y.","Male","74.21","65","1099","35","50","90","120","200","72.16","76.26","6","300","68","70"
"1990","35-65 y.","Female","77.4","70","1295","45","55","92","125","200","75.63","79.17","18","260","68","70"
"1990","35-65 y.","Male","79.06","70","1285","45","56","96","125","200","77.26","80.86","15","260","70","73"
"1990","66 and older","Female","54.54","49","315","28","35","65","90","160","51.12","57.96","13","250","49","50"
"1990","66 and older","Male","62.88","55","154","30","46","76","100","150","58.38","67.38","0","200","53","60"
"1991","16-34 y.","Female","76.28","69","369","36","52","100","120","186","72.55","80.01","12","280","68","75"
"1991","16-34 y.","Male","80.15","70","350","40","55","104","130","204","76.2","84.1","9","280","70","77"
"1991","35-65 y.","Female","98.62","91.39","189","45","63","128","160","204","92.03","105.21","23","300","80","100"
"1991","35-65 y.","Male","103.23","100","185","49","70","130","160","250","96.64","109.82","14","300","89","104"
"1991","66 and older","Female","","","","","","","","","","","","","",""
"1991","66 and older","Male","","","","","","","","","","","","","",""
"1992","16-34 y.","Female","75.6","65","388","39","50","94","130","200","71.77","79.43","9","210","66","72"
"1992","16-34 y.","Male","80.65","70","343","40","55","100","132","200","76.6","84.7","12","250","69","78"
"1992","35-65 y.","Female","101.44","92","191","51","65","126","165","240","95.15","107.73","15","250","80","92"
"1992","35-65 y.","Male","94.74","87","204","50","61","122","150","200","88.96","100.52","15","210","80","96"
"1992","66 and older","Female","","","","","","","","","","","","","",""
"1992","66 and older","Male","","","","","","","","","","","","","",""
"1993","16-34 y.","Female","84.36","74.8","418","40","56","100","140","210","80.51","88.21","12","350","70","78"
"1993","16-34 y.","Male","83.05","75.82","387","40","59","100","125","240","78.87","87.23","15","350","70","80"
"1993","35-65 y.","Female","102.94","100","208","50","70","130","160","250","97.15","108.73","10","300","86","100"
"1993","35-65 y.","Male","98.68","95.63","217","50","70","130","160","210","93.13","104.23","14","250","86","100"
"1993","66 and older","Female","","","","","","","","","","","","","",""
"1993","66 and older","Male","","","","","","","","","","","","","",""
"1994","16-34 y.","Female","81.88","75","450","40","55","100","140","220","78.32","85.44","10","270","72","80"
"1994","16-34 y.","Male","78.93","70","390","38","50","95","140","220","75.19","82.67","10","260","70","80"
"1994","35-65 y.","Female","102.68","95","205","50","66","130","160","250","96.51","108.85","20","270","85","100"
"1994","35-65 y.","Male","95.35","89","238","36","55","130","160","250","89.41","101.29","15","270","85","100"
"1994","66 and older","Female","57.69","48","38","20","33","65","120","135","45.74","69.64","20","170","45","70"
"1994","66 and older","Male","","","","","","","","","","","","","",""
"1995","16-34 y.","Female","84.04","75","546","45","59","100","140","200","80.78","87.3","10","350","74","80"
"1995","16-34 y.","Male","79.71","72","507","35","53","95","130","210","76.33","83.09","12","300","72","80"
"1995","35-65 y.","Female","96.35","85.2","349","52","65","120","150","230","91.69","101.01","14","400","82","92"
"1995","35-65 y.","Male","96.65","87","385","52","66","120","150","250","91.97","101.33","13","400","85","96"
"1995","66 and older","Female","51.83","47.07","45","20","30","72","80","120","40.69","62.97","15","250","48","72"
"1995","66 and older","Male","72.9","66.9","30","28","53","90","100","250","57.19","88.61","28","250","60","85"
"1996","16-34 y.","Female","81.94","74","527","42","56","100","130","240","78.62","85.26","10","260","72","80"
"1996","16-34 y.","Male","86.73","80","431","45","62","105","130","190","83.33","90.13","10","270","75","80"
"1996","35-65 y.","Female","96.99","83","294","50","65","120","160","320","91.74","102.24","14","400","80","90"
"1996","35-65 y.","Male","96.88","84.94","296","46","60","120","160","320","92.04","101.72","20","320","85","95"
"1996","66 and older","Female","63.56","57","31","41","47","65","100","180","51.86","75.26","17","180","54","70"
"1996","66 and older","Male","","","","","","","","","","","","","",""
"1997","16-34 y.","Female","82.44","75","451","47","58","100","130","191","79.18","85.7","10","250","73","78"
"1997","16-34 y.","Male","81.91","75","405","40","55","100","130","230","77.68","86.14","12","365","74","80"
