"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","83.24","76","2693","54","63","98","120","185","82.13","84.35","20","260","73","75"
"1984","1-pers.-HH","61.35","58","1330","35","45","72","90","140","59.87","62.83","6","350","54","56"
"1984","Couple + C. GT 16 ","108.02","100","1983","69","82","125","150","220","106.5","109.54","34","270","92","100"
"1984","Couple + C. LE 16","98.93","94","3061","64","75","120","140","200","97.79","100.07","16","250","84","86"
"1984","Couple + C. LE and GT 16","117.11","110","1704","74","90","136","160","260","115.2","119.02","38","442","96","100"
"1984","Single parent","90.12","81.33","573","59","68","100","130","300","87.24","93","12","300","77","82"
"1985","(Married) couple without C.","83.8","78","2353","55","63","100","120","180","82.59","85.01","20","250","74","77"
"1985","1-pers.-HH","60.64","56","1133","35","45","70","90","150","58.9","62.38","6","564","53","56"
"1985","Couple + C. GT 16 ","107.68","100","1963","70","81","125","150","240","106.08","109.28","25","340","96","100"
"1985","Couple + C. LE 16","99.63","92","2561","64","75","120","145","219","98.24","101.02","20","550","85","88"
"1985","Couple + C. LE and GT 16","116.67","115","1445","75","90","139","160","200","114.84","118.5","35","270","100","100"
"1985","Single parent","92.22","84","537","55","68","110","130","240","89.1","95.34","10","250","80","83"
"1986","(Married) couple without C.","84.06","75.32","347","50","60","100","120","230","80.43","87.69","10","270","70","78"
"1986","1-pers.-HH","52.86","50","203","25","35","68","85","120","49.17","56.55","8","175","43","55"
"1986","Couple + C. GT 16 ","110.64","107","125","70","84","140","160","176","103.97","117.31","46","180","90","110"
"1986","Couple + C. LE 16","102.02","98.22","338","65","75","120","150","240","98.26","105.78","35","250","80","90"
"1986","Couple + C. LE and GT 16","133.41","130","95","82","103","150","200","200","124.77","142.05","58","200","87","120"
"1986","Single parent","84.54","76","65","58","65","90","120","240","75.96","93.12","45","240","65","76"
"1987","(Married) couple without C.","84.72","80","289","55","66","100","120","150","81.58","87.86","30","220","72","80"
"1987","1-pers.-HH","56.63","52.85","183","24","40","70","85","125","52.43","60.83","8","220","47","56"
"1987","Couple + C. GT 16 ","110.28","104","90","73","84","135","150","200","102.72","117.84","30","200","86","104"
"1987","Couple + C. LE 16","98.3","95","314","60","76","120","137","180","95.1","101.5","30","180","83","90"
"1987","Couple + C. LE and GT 16","121.61","113","65","74","93","150","175","175","113.13","130.09","48","175","95","125"
"1987","Single parent","77.76","75","58","50","60","85","113","150","70.24","85.28","20","150","70","80"
"1988","(Married) couple without C.","76.45","74.4","310","50","60","90","109","170","73.67","79.23","10","170","68","75"
"1988","1-pers.-HH","55.63","54","157","25","35","70","90","200","50.64","60.62","10","250","50","56"
"1988","Couple + C. GT 16 ","124.2","120","79","76","103","150","185","200","112.91","135.49","38","200","110","147"
"1988","Couple + C. LE 16","105.19","94.15","288","66","80","130","145","210","100.6","109.78","30","260","85","93"
"1988","Couple + C. LE and GT 16","121.73","95","58","80","80","168","179","220","109.68","133.78","58","220","85","95"
"1988","Single parent","72.96","68","51","49","60","83","108","125","66.88","79.04","36","125","60","75"
"1989","(Married) couple without C.","80.25","80","292","45","56","94","120","200","76.47","84.03","24","200","66","76"
"1989","1-pers.-HH","61.06","55.75","151","25","42","75","100","160","55.97","66.15","12","170","47","58"
"1989","Couple + C. GT 16 ","122.43","120","91","80","92","130","180","250","113.52","131.34","60","250","92","120"
"1989","Couple + C. LE 16","104.86","100","282","64","77","127","145","270","100.47","109.25","15","270","82","93"
"1989","Couple + C. LE and GT 16","128.72","131.79","52","70","73","178","200","200","116.42","141.02","60","200","82","120"
"1989","Single parent","84.23","71.65","38","50","60","110","145","145","73.11","95.35","32","145","63","90"
"1990","(Married) couple without C.","69.08","60","1222","40","50","80","102","180","67.48","70.68","10","300","60","62"
"1990","1-pers.-HH","49.39","46","476","24","33","60","75","135","47.23","51.55","0","240","44","48"
"1990","Couple + C. GT 16 ","85.34","75","899","54","60","100","135","200","83.21","87.47","27","200","70","75"
"1990","Couple + C. LE 16","81.76","74","1744","50","60","100","129","180","80.3","83.22","10","250","70","74"
"1990","Couple + C. LE and GT 16","96.48","82","362","55","70","120","140","260","92.89","100.07","25","260","80","82"
"1990","Single parent","73.54","60","213","40","48","90","120","200","69.04","78.04","25","202","57","63"
"1991","(Married) couple without C.","82.94","70","326","50","60","100","136","200","78.4","87.48","9","300","65","70"
"1991","1-pers.-HH","52.91","49","154","18","35","60","90","170","48.29","57.53","10","190","45","50"
"1991","Couple + C. GT 16 ","105.72","100","82","58","70","140","150","200","96.91","114.53","40","200","87","112"
"1991","Couple + C. LE 16","104.35","103.96","408","60","78","120","150","199","100.94","107.76","20","200","90","100"
"1991","Couple + C. LE and GT 16","101.18","94","32","40","50","150","150","186","84.2","118.16","23","186","52","112"
"1991","Single parent","92.84","81.66","57","32","55","110","145","250","80.01","105.67","30","250","60","100"
"1992","(Married) couple without C.","79.36","70","339","50","60","91","120","200","75.84","82.88","20","210","64","70"
"1992","1-pers.-HH","48.03","45","153","22","30","57","80","110","44.39","51.67","9","130","40","50"
"1992","Couple + C. GT 16 ","106.28","100","101","60","80","136","156","200","98.1","114.46","15","200","81","100"
"1992","Couple + C. LE 16","106.81","100","373","64","75","130","155","240","102.92","110.7","30","240","86","100"
"1992","Couple + C. LE and GT 16","125.44","120","51","70","85","145","200","250","111.48","139.4","60","250","105","140"
"1992","Single parent","83.57","67","60","48","56","110","150","190","74.46","92.68","25","190","58","72"
"1993","(Married) couple without C.","84.28","72","416","49","60","100","135","240","80.61","87.95","16","350","70","72"
"1993","1-pers.-HH","56.31","52.25","174","20","34","70","100","150","51.76","60.86","10","200","48","56"
"1993","Couple + C. GT 16 ","118.23","116","95","70","90","140","186","200","109.94","126.52","30","200","90","116"
"1993","Couple + C. LE 16","105.47","100","371","62","78","125","160","200","101.5","109.44","18","350","85","100"
"1993","Couple + C. LE and GT 16","137.24","140","84","80","95","151","200","300","126.76","147.72","50","300","108","130"
"1993","Single parent","83.68","70","53","40","58","89","140","250","69.96","97.4","30","250","60","85"
"1994","(Married) couple without C.","80.85","75","396","42","56","95","128","190","77.75","83.95","25","194","70","75"
"1994","1-pers.-HH","50.15","48","200","22","36","62","80","120","46.87","53.43","10","160","45","50"
"1994","Couple + C. GT 16 ","123.93","98.33","96","54","75","170","250","270","111.27","136.59","23","270","80","120"
"1994","Couple + C. LE 16","107.5","100","429","61","80","135","159","250","103.93","111.07","30","260","90","97"
"1994","Couple + C. LE and GT 16","121.68","116","86","75","80","150","196","230","112.52","130.84","50","230","90","116"
"1994","Single parent","82.72","64.99","46","50","60","96","130","250","70.4","95.04","40","250","60","89"
"1995","(Married) couple without C.","83.59","72","527","50","59","100","133","200","80.39","86.79","15","350","70","73"
"1995","1-pers.-HH","53.06","49.54","209","20","32","66","87","140","49.1","57.02","10","180","46","53"
"1995","Couple + C. GT 16 ","99.61","89","185","60","73","120","140","230","94.15","105.07","46","232","85","95"
"1995","Couple + C. LE 16","101.17","97","569","56","72","124","151","200","97.96","104.38","14","300","85","96"
"1995","Couple + C. LE and GT 16","115.34","96","174","64","80","141","180","300","108.68","122","53","300","93","120"
"1995","Single parent","85.65","80","56","45","63","100","140","180","77.41","93.89","26","180","67","80"
"1996","(Married) couple without C.","87.2","80","484","54","63","100","135","200","84.47","89.93","10","200","70","73"
"1996","1-pers.-HH","53.99","50","244","30","40","65","85","128","50.93","57.05","10","165","49","55"
"1996","Couple + C. GT 16 ","118.9","94.77","112","75","76","160","190","270","110.16","127.64","52","270","80","100"
"1996","Couple + C. LE 16","109.8","100","516","64","78","130","160","320","106.18","113.42","12","400","93","100"
"1996","Couple + C. LE and GT 16","106.07","107","72","70","78","123","150","160","99.64","112.5","60","160","105","120"
"1996","Single parent","73.35","70","84","50","55","80","101","220","66.79","79.91","30","220","64","72"
"1997","(Married) couple without C.","83.57","76.85","439","50","60","100","126","191","80.56","86.58","10","230","73","78"
"1997","1-pers.-HH","57.04","56","223","33","40","70","86","120","53.87","60.21","10","165","50","59"
"1997","Couple + C. GT 16 ","128.02","140","116","63","100","150","170","230","117.45","138.59","50","365","100","106"
"1997","Couple + C. LE 16","100.74","96","467","60","75","120","150","224","97.49","103.99","20","250","86","98"
"1997","Couple + C. LE and GT 16","117.69","115","94","70","83","145","188","200","108.98","126.4","10","200","93","120"
"1997","Single parent","78.72","70.92","76","56","60","85","120","200","71.53","85.91","16","200","65","80"
"1998","(Married) couple without C.","92.62","85","4149","56","67","110","140","210","91.58","93.66","20","320","80","81"
"1998","1-pers.-HH","65.25","60","1741","35","48","80","100","160","63.91","66.59","6","280","59","60"
"1998","Couple + C. GT 16 ","112.24","108","2545","69","80","131","160","240","110.71","113.77","32","350","100","100"
"1998","Couple + C. LE 16","108.24","100","3094","65","79","128","160","250","106.89","109.59","12","420","95","99"
"1998","Couple + C. LE and GT 16","119.41","118.85","1250","72","90","140","175","240","117.25","121.57","50","280","100","110"
"1998","Single parent","86.8","80","703","53","63","100","130","210","84.36","89.24","20","270","75","80"
"1999","(Married) couple without C.","87.95","79.32","505","54","64","100","130","180","85.23","90.67","28","250","70","77"
"1999","1-pers.-HH","56.51","55","294","30","40","65","85","140","53.74","59.28","10","190","50","56"
