"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","92.52","85","12149","52","66","112","140","215","91.86","93.18","6","442","80","84"
"1985","92.07","85","10679","51","65","112","140","219","91.36","92.78","6","564","84","85"
"1986","84.63","76","1258","40","59","103","145","225","82.51","86.75","8","270","76","80"
"1987","82.66","78.23","1057","45","60","100","130","180","80.63","84.69","8","220","76","80"
"1988","83.6","76","1012","36","58","100","140","250","80.81","86.39","10","312","76","80"
"1989","85.89","80","952","42","58","110","135","215","83.32","88.46","12","270","76","80"
"1990","74.3","65","5303","40","50","90","120","200","73.4","75.2","0","300","68","70"
"1991","85.12","77","1135","40","55","110","143","200","82.71","87.53","9","300","72","80"
"1992","84.41","75","1161","40","55","108","145","210","82.05","86.77","9","250","75","80"
"1993","89.37","80","1273","40","60","115","146","240","87","91.74","10","350","78","82"
"1994","85.25","78","1340","38","53","110","145","250","83.01","87.49","10","270","78","81"
"1995","86.56","78","1862","42","59","109","140","230","84.63","88.49","10","400","80","81"
"1996","87.9","79","1604","45","60","105","145","260","85.9","89.9","10","400","78","80"
"1997","86.5","77","1496","44","60","107","142","220","84.47","88.53","10","365","77","80"
"1998","94.72","87","14198","52","65","120","150","220","94.07","95.37","6","420","86","89"
"1999","91.52","80","1600","45","60","107","150","300","89.11","93.93","10","450","80","84"
"2000","97.87","90","12213","52","67","120","150","240","97.09","98.65","10","450","93","95"
"2001","92.13","84","2183","48","61","116","150","240","90.3","93.96","8","320","85","88"
"2002","96.52","90","22815","52","67","120","150","240","95.92","97.12","9","450","98","100"
"2003","96.48","90","22224","52","66","120","150","240","95.87","97.09","10","450","98","100"
"2004","97.27","90","21670","53","67","120","150","244","96.64","97.9","9","450","99","100"
"2005","97.3","90","20782","53","67","120","150","245","96.66","97.94","6","450","98","100"
"2006","97.35","90","22328","53","67","120","150","240","96.72","97.98","9","838","100","100"
"2007","98.44","90","20910","54","68","120","150","244","97.79","99.09","9","838","100","100"
"2008","99.38","90","19639","54","68","120","150","250","98.71","100.05","10","938","100","100"
"2009","100.02","90","18309","54","69","120","155","250","99.32","100.72","10","550","100","100"
"2010","100.86","91","24350","54","70","120","158","250","100.26","101.46","8","550","100","100"
"2011","101.36","92","28966","54","70","125","160","250","100.81","101.91","9","500","100","100"
"2012","101.94","93","28244","54","70","125","160","250","101.37","102.51","9","540","100","100"
"2013","101.64","93","31229","54","70","125","160","250","101.11","102.17","10","540","99","100"
"2014","102.12","94","27708","54","70","125","160","250","101.56","102.68","10","470","100","100"
"2015","102.05","94","27386","54","70","125","160","250","101.48","102.62","10","470","99","100"
"2016","102.03","94","27542","54","70","125","160","250","101.47","102.59","6","470","95","98"
"2017","102.28","95","30857","54","70","126","160","250","101.75","102.81","8","470","97","100"
"2018","103.02","95","29477","53","70","128","160","250","102.48","103.56","9","420","96","98"
"2019","103.94","96.79","29530","54","70","130","160","250","103.33","104.55","8","698","100","100"
