"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","Female","99.43","96","1119","59","72","120","145","250","97.23","101.63","24","340","95","100"
"1985","Rural Area","Male","104.1","100","1081","60","78","126","150","220","101.85","106.35","13","340","100","100"
"1985","Urban Area","Female","86.84","80","4303","50","60","103","133","200","85.76","87.92","14","550","80","80"
"1985","Urban Area","Male","91.69","85","4176","50","65","110","140","220","90.54","92.84","6","564","80","83"
"1986","Rural Area","Female","96.69","79.34","118","50","64","135","156","225","88.55","104.83","10","240","75","103"
"1986","Rural Area","Male","99.07","88.02","104","53","64","130","153","240","90.67","107.47","10","240","78","100"
"1986","Urban Area","Female","79.6","75","518","35","55","100","120","200","76.48","82.72","12","270","72","80"
"1986","Urban Area","Male","82.9","77","518","40","59","100","127","200","79.73","86.07","8","270","75","80"
"1987","Rural Area","Female","91.8","80","102","56","63","120","136","200","84.46","99.14","25","220","75","90"
"1987","Rural Area","Male","91.71","80.06","91","60","68","113","136","220","84","99.42","12","220","76","90"
"1987","Urban Area","Female","80.36","75","427","44","58","100","125","175","77.3","83.42","10","220","75","82"
"1987","Urban Area","Male","80.88","77.24","437","38","56","100","130","175","77.76","84","8","180","75","83"
"1988","Rural Area","Female","92.78","80","93","48","60","100","146","312","80.51","105.05","25","312","78","92"
"1988","Rural Area","Male","89.98","80","85","39","60","100","140","312","77.92","102.04","25","312","73","91"
"1988","Urban Area","Female","80.5","72","425","35","55","98","135","200","76.62","84.38","10","260","70","80"
"1988","Urban Area","Male","83.34","76","409","36","58","100","140","210","79.15","87.53","10","260","75","80"
"1989","Rural Area","Female","96.54","85.35","86","39","57","120","180","250","86.13","106.95","13","250","80","95"
"1989","Rural Area","Male","101.81","90","95","45","70","130","170","250","92.24","111.38","15","250","80","110"
"1989","Urban Area","Female","80.63","73","385","42","57","100","130","200","76.83","84.43","12","270","70","80"
"1989","Urban Area","Male","84.6","80","386","42","60","110","130","200","80.81","88.39","12","270","74","80"
"1990","Rural Area","Female","73.34","64","1556","40","50","90","120","196","71.64","75.04","13","240","65","70"
"1990","Rural Area","Male","77.08","70","1432","42","54","93","120","200","75.3","78.86","16","240","70","70"
"1990","Urban Area","Female","73.42","65","1159","35","50","90","120","240","71.55","75.29","10","300","65","70"
"1990","Urban Area","Male","73.88","67","1069","35","50","90","120","200","71.92","75.84","0","300","68","70"
"1991","Rural Area","Female","85.2","75","178","30","50","110","150","200","77.99","92.41","12","300","72","96"
"1991","Rural Area","Male","96.91","93.19","176","40","60","120","150","250","89.67","104.15","10","300","82","100"
"1991","Urban Area","Female","81.25","70","398","42","55","100","140","199","77.62","84.88","12","204","70","78"
"1991","Urban Area","Male","84.18","75","371","43","56","110","140","200","80.35","88.01","9","204","70","80"
"1992","Rural Area","Female","88.15","75","217","40","54","110","150","240","82.46","93.84","15","240","70","90"
"1992","Rural Area","Male","94.02","80","178","48","60","120","150","240","87.72","100.32","15","240","78","90"
"1992","Urban Area","Female","78.78","70","378","35","51","100","135","200","74.69","82.87","9","250","67","76"
"1992","Urban Area","Male","84","75","370","40","60","100","138","210","79.97","88.03","12","250","70","80"
"1993","Rural Area","Female","96.41","90","201","45","60","130","160","200","90.08","102.74","10","350","80","96"
"1993","Rural Area","Male","87.15","74.41","195","35","58","115","146","200","80.71","93.59","14","350","75","92"
"1993","Urban Area","Female","86.05","79.39","452","40","56","105","140","250","82.27","89.83","12","350","72","80"
"1993","Urban Area","Male","91.08","80","425","45","62","114","140","250","87.05","95.11","16","350","74","82"
"1994","Rural Area","Female","94.36","88.71","225","45","56","130","150","230","88.54","100.18","20","250","78","91"
"1994","Rural Area","Male","89.33","79.59","213","38","48","125","151","250","83.24","95.42","10","250","78","90"
"1994","Urban Area","Female","82.95","74","468","40","55","105","131","250","79.35","86.55","10","270","73","80"
"1994","Urban Area","Male","81.45","78","434","35","52","100","131","220","77.63","85.27","10","270","75","80"
"1995","Rural Area","Female","96.47","85.94","287","49","64","120","160","300","90.68","102.26","18","400","80","93"
"1995","Rural Area","Male","101.72","90","274","53","64","130","160","300","95.52","107.92","18","400","83","100"
"1995","Urban Area","Female","82.35","72.26","653","42","58","100","138","200","79.52","85.18","10","250","75","80"
"1995","Urban Area","Male","82.04","75.3","648","39","55","100","135","210","79.14","84.94","12","250","75","80"
"1996","Rural Area","Female","83.07","70","266","41","53","107","140","220","77.45","88.69","10","400","75","90"
"1996","Rural Area","Male","86.23","75.18","243","40","56","116","140","210","80.94","91.52","16","250","75","90"
"1996","Urban Area","Female","86.94","78","585","47","59","100","144","260","83.76","90.12","12","320","75","80"
"1996","Urban Area","Male","92.03","80.35","509","48","64","110","150","270","88.67","95.39","10","320","79","84"
"1997","Rural Area","Female","92.44","82","250","48","65","120","150","220","87.46","97.42","10","250","75","90"
"1997","Rural Area","Male","88.35","78.15","244","38","60","120","150","230","82.03","94.67","10","365","75","90"
"1997","Urban Area","Female","84.35","76","520","47","60","100","140","200","81.21","87.49","10","230","75","80"
"1997","Urban Area","Male","85.36","78","481","40","60","100","142","200","82","88.72","10","230","76","82"
"1998","Rural Area","Female","97.45","90","2482","50","65","120","150","220","95.79","99.11","10","350","90","95"
"1998","Rural Area","Male","102.97","100","2366","55","70","125","160","250","101.26","104.68","8","350","93","100"
"1998","Urban Area","Female","91.08","81","4852","50","63","110","143","220","90.02","92.14","6","420","81","84"
"1998","Urban Area","Male","93.75","86","4498","52","67","115","145","220","92.65","94.85","10","420","85","88"
"1999","Rural Area","Female","95.63","80.67","278","50","62","120","158","290","89.94","101.32","10","330","75","90"
"1999","Rural Area","Male","92.9","83.24","243","42","58","115","150","290","86.62","99.18","10","330","80","94"
"1999","Urban Area","Female","90.82","80","554","48","60","103","140","350","86.98","94.66","14","450","78","84"
"1999","Urban Area","Male","89.8","80","525","40","58","100","150","385","85.29","94.31","12","450","76","84"
"2000","Rural Area","Female","100.29","95","2128","53","69","120","150","240","98.45","102.13","14","450","98","100"
"2000","Rural Area","Male","103.05","100","2003","55","70","125","159","250","101.12","104.98","20","450","100","100"
"2000","Urban Area","Female","95.88","85","4248","52","65","120","150","240","94.55","97.21","10","400","89","90"
"2000","Urban Area","Male","96.52","88","3834","50","66","120","150","240","95.12","97.92","10","397","90","95"
"2001","Rural Area","Female","97.77","90","333","52","63","120","160","250","92.82","102.72","15","300","84","95"
"2001","Rural Area","Male","95.54","83.13","335","48","63","120","155","250","90.23","100.85","16","300","83","95"
"2001","Urban Area","Female","88.61","82","794","46","60","110","140","220","85.79","91.43","8","320","80","86"
"2001","Urban Area","Male","92.19","85","721","50","60","117","150","220","89.06","95.32","8","320","82","90"
"2002","Rural Area","Female","98.78","93","3861","53","68","120","150","230","97.35","100.21","16","450","98","100"
"2002","Rural Area","Male","101.04","98","3670","55","70","120","150","240","99.57","102.51","9","450","100","100"
"2002","Urban Area","Female","93.79","85","7931","52","65","120","150","230","92.77","94.81","10","450","92","96"
"2002","Urban Area","Male","96.29","88","7353","50","68","120","150","240","95.21","97.37","10","450","96","100"
"2003","Rural Area","Female","99.18","95","3770","52","68","120","150","230","97.71","100.65","16","450","100","100"
"2003","Rural Area","Male","100.95","99","3549","53","70","120","150","240","99.43","102.47","10","450","100","100"
"2003","Urban Area","Female","93.88","85","7755","52","65","117","146","240","92.87","94.89","10","450","91","95"
"2003","Urban Area","Male","95.97","88","7150","50","67","120","150","244","94.89","97.05","11","450","96","100"
"2004","Rural Area","Female","100.05","96","3702","53","68","120","150","250","98.51","101.59","16","450","100","100"
