"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","96.26","90","5640","55","70","120","145","220","95.29","97.23","6","442","82","85"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","88.39","80","4637","50","62","108","140","200","87.33","89.45","12","442","80","80"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","94.4","90","1872","56","70","115","140","220","92.79","96.01","8","280","84","87"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","95.56","90","4792","54","70","120","146","220","94.5","96.62","6","550","84","86"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","87.3","80","4085","50","60","105","134","200","86.14","88.46","10","564","80","83"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","96.32","90","1802","55","70","120","150","220","94.58","98.06","9","340","85","90"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","86.01","78","652","45","60","103","135","230","83.17","88.85","12","270","75","80"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","80.4","74.31","336","30","53","100","149","215","76.13","84.67","8","250","73","80"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","87.33","80","270","35","60","110","150","215","82.51","92.15","10","225","76","85"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","83.64","80","553","45","60","105","130","200","80.96","86.32","16","220","75","80"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","83.05","77.25","259","45","60","103","135","180","78.64","87.46","8","220","76","85"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","80.41","75","245","36","60","100","130","180","76.08","84.74","15","220","75","82"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","86.77","79","532","44","60","100","144","260","82.85","90.69","10","312","76","80"
"1988","Not Working","East Germany","","","","","","","","","","","","","",""
"1988","Not Working","West Germany","70.25","65.04","244","25","48","85","120","200","64.86","75.64","10","260","68","75"
"1988","Part Time","East Germany","","","","","","","","","","","","","",""
