"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Rural Area","106.78","100","1311","65","80","128","150","220","104.77","108.79","15","340","100","100"
"1985","Employed","Urban Area","92.57","85","5283","51","67","112","140","219","91.57","93.57","6","550","80","84"
"1985","Not Employed","Rural Area","95.63","90","889","55","70","120","140","240","93.11","98.15","13","340","90","98"
"1985","Not Employed","Urban Area","84.59","77","3196","49","60","100","130","200","83.3","85.88","10","564","80","80"
"1986","Employed","Rural Area","102.18","89.37","160","59","68","135","156","225","95.51","108.85","20","240","78","100"
"1986","Employed","Urban Area","82.57","77","762","40","59","100","125","200","80.01","85.13","10","270","75","80"
"1986","Not Employed","Rural Area","89.1","76","62","38","60","120","150","240","77.2","101","10","240","75","103"
"1986","Not Employed","Urban Area","77.7","73","274","30","50","98","127","200","73.23","82.17","8","250","71","80"
"1987","Employed","Rural Area","91.19","80","158","58","63","115","136","220","85.49","96.89","20","220","75","80"
"1987","Employed","Urban Area","80.31","77.87","640","38","58","100","126","175","77.84","82.78","15","220","75","81"
"1987","Not Employed","Rural Area","94.49","90","35","60","76","120","130","220","80.87","108.11","12","220","85","110"
"1987","Not Employed","Urban Area","81.4","74.81","224","45","58","100","135","175","76.78","86.02","8","180","74","84"
"1988","Employed","Rural Area","96.48","80","144","45","63","106","160","312","86.25","106.71","25","312","78","90"
"1988","Employed","Urban Area","85.95","80","624","45","60","100","140","200","82.74","89.16","10","260","76","80"
"1988","Not Employed","Rural Area","74.66","68","34","30","54","92","135","160","63.43","85.89","25","160","68","95"
"1988","Not Employed","Urban Area","69.33","65","210","20","36","85","120","200","63.32","75.34","10","260","65","72"
"1989","Employed","Rural Area","101.9","90","153","39","70","130","180","250","94.43","109.37","15","250","82","100"
"1989","Employed","Urban Area","84.03","80","588","45","59","103","130","200","80.93","87.13","12","270","74","80"
"1989","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1989","Not Employed","Urban Area","78.39","70","183","40","55","100","130","200","73.07","83.71","12","215","68","80"
"1990","Employed","Rural Area","93.85","80","154","47","60","127","160","199","86.18","101.52","13","240","75","90"
"1990","Employed","Urban Area","85.19","78.82","531","40","58","100","135","260","81.63","88.75","10","300","76","81"
"1990","Not Employed","Rural Area","82.2","70","42","40","49","110","130","196","66.95","97.45","32","240","61","110"
"1990","Not Employed","Urban Area","80.35","71.54","156","20","45","110","140","240","73.39","87.31","0","260","70","80"
"1991","Employed","Rural Area","93.22","94","130","45","65","120","150","200","86.25","100.19","10","200","85","104"
"1991","Employed","Urban Area","87.04","80","506","42","58","110","145","200","83.65","90.43","9","204","72","83"
"1991","Not Employed","Rural Area","112.1","106.35","38","40","70","150","200","250","94.83","129.37","15","250","93","120"
"1991","Not Employed","Urban Area","79.38","70","152","35","53","100","136","175","73.52","85.24","9","204","65","80"
"1992","Employed","Rural Area","91.97","78.71","327","46","57","120","155","240","87.23","96.71","15","240","75","86"
"1992","Employed","Urban Area","82.92","72","604","44","56","100","136","200","79.84","86","9","250","70","76"
"1992","Not Employed","Rural Area","86.02","81.74","68","37","57","110","150","170","76.89","95.15","23","200","76","100"
"1992","Not Employed","Urban Area","75.43","67.32","144","24","40","100","130","200","67.91","82.95","14","250","65","83"
"1993","Employed","Rural Area","91.45","80","308","36","60","120","147","200","86.24","96.66","10","350","78","90"
"1993","Employed","Urban Area","89.99","80","681","45","60","112","140","250","86.89","93.09","16","350","74","80"
"1993","Not Employed","Rural Area","92.07","84","88","35","60","120","160","200","83.13","101.01","15","200","79","100"
"1993","Not Employed","Urban Area","83.82","78","196","30","50","105","143","210","77.76","89.88","12","300","70","83"
"1994","Employed","Rural Area","90.28","85","335","40","52","122","150","230","85.65","94.91","12","250","85","93"
"1994","Employed","Urban Area","85.66","80","689","42","57","105","131","250","82.58","88.74","10","270","78","80"
"1994","Not Employed","Rural Area","95.84","82.57","103","33","51","148","170","250","86.15","105.53","10","250","70","90"
"1994","Not Employed","Urban Area","72.61","62","213","23","44","96","140","170","67.82","77.4","15","196","68","76"
"1995","Employed","Rural Area","102.22","90","413","52","68","130","160","300","97.26","107.18","18","400","88","100"
"1995","Employed","Urban Area","86.14","80","924","45","58","108","140","210","83.7","88.58","10","250","79","83"
"1995","Not Employed","Rural Area","89.91","75","148","39","60","109","146","300","81.86","97.96","18","300","73","90"
"1995","Not Employed","Urban Area","72.88","70","377","28","52","89","120","210","69.36","76.4","13","250","70","75"
"1996","Employed","Rural Area","86.18","75.39","394","42","55","116","140","210","81.84","90.52","10","400","76","90"
"1996","Employed","Urban Area","91","80","825","50","64","110","145","260","88.41","93.59","10","320","78","80"
"1996","Not Employed","Rural Area","80.24","65","115","35","52","100","140","210","71.74","88.74","12","250","70","90"
"1996","Not Employed","Urban Area","84.68","76","269","43","55","100","150","270","79.63","89.73","18","270","75","80"
"1997","Employed","Rural Area","93.57","83.04","353","48","65","120","150","250","88.74","98.4","16","365","80","91"
"1997","Employed","Urban Area","84.3","78","734","42","60","100","140","200","81.68","86.92","10","230","77","80"
"1997","Not Employed","Rural Area","84.85","75","141","30","58","120","150","200","77.87","91.83","10","220","70","80"
"1997","Not Employed","Urban Area","86.1","75","267","47","58","104","142","200","81.37","90.83","10","230","73","83"
"1998","Employed","Rural Area","104.99","100","3045","56","70","130","160","240","103.49","106.49","8","350","98","100"
"1998","Employed","Urban Area","95.34","88","5781","54","68","120","149","225","94.37","96.31","10","420","85","88"
"1998","Not Employed","Rural Area","94.05","90","1803","50","64","120","150","220","92.11","95.99","10","350","85","90"
"1998","Not Employed","Urban Area","88.32","80","3569","50","61","110","140","208","87.09","89.55","6","280","80","82"
"1999","Employed","Rural Area","97.82","86","395","45","62","120","158","290","93.08","102.56","10","330","82","90"
"1999","Employed","Urban Area","93.62","82","821","46","60","105","150","350","90.18","97.06","12","450","80","84"
"1999","Not Employed","Rural Area","84.04","68","126","45","53","103","140","290","74.9","93.18","10","330","68","90"
"1999","Not Employed","Urban Area","79.59","73","258","35","54","96","125","240","73.92","85.26","12","385","74","81"
"2000","Employed","Rural Area","107.08","100","2562","57","75","130","160","250","105.36","108.8","16","450","100","110"
"2000","Employed","Urban Area","96.42","87","5010","50","66","120","150","240","95.19","97.65","10","400","90","94"
"2000","Not Employed","Rural Area","93.09","90","1567","49","63","120","140","220","91.06","95.12","14","450","90","92"
"2000","Not Employed","Urban Area","95.83","85","3072","53","65","120","150","240","94.28","97.38","10","397","87","90"
"2001","Employed","Rural Area","96.81","90","494","50","63","120","155","250","92.76","100.86","15","300","88","95"
"2001","Employed","Urban Area","91.74","85","1156","50","61","115","143","230","89.32","94.16","12","320","84","89"
"2001","Not Employed","Rural Area","95.91","80","174","47","60","120","160","280","88.01","103.81","16","300","80","96"
"2001","Not Employed","Urban Area","86.17","78","359","40","60","112","145","190","81.97","90.37","8","320","75","85"
"2002","Employed","Rural Area","105.52","100","4763","59","75","126","160","240","104.21","106.83","9","450","100","110"
"2002","Employed","Urban Area","97.33","90","9884","53","68","120","150","240","96.4","98.26","10","450","100","100"
"2002","Not Employed","Rural Area","91.63","85","2768","49","62","117","142","200","90.03","93.23","12","450","90","92"
"2002","Not Employed","Urban Area","91.47","82","5400","50","64","114","146","218","90.26","92.68","10","440","88","90"
"2003","Employed","Rural Area","105.81","100","4569","58","75","128","160","240","104.47","107.15","10","450","102","110"
"2003","Employed","Urban Area","97.67","90","9458","53","69","120","150","245","96.72","98.62","11","450","100","100"
"2003","Not Employed","Rural Area","91.85","87","2750","48","60","115","145","210","90.17","93.53","12","440","90","93"
"2003","Not Employed","Urban Area","90.91","81","5447","50","63","110","140","230","89.74","92.08","10","450","87","90"
"2004","Employed","Rural Area","106.75","100","4417","58","75","130","160","250","105.35","108.15","14","450","105","110"
"2004","Employed","Urban Area","98.55","90","9054","55","69","120","150","244","97.58","99.52","11","450","100","100"
"2004","Not Employed","Rural Area","92.62","86","2750","48","61","120","140","230","90.87","94.37","12","450","90","95"
