"ple0024","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","1-pers.-HH","324","0.218875605906637","0.197615076975457","0.240136134837818"
"Yes","2009","Not Employed","(Married) couple without C. ","776","0.218813128372174","0.204831516410604","0.232794740333743"
"Yes","2009","Not Employed","Single parent ","150","0.534053073231643","0.476738900050358","0.591367246412928"
"Yes","2009","Not Employed","Couple + C. LE 16 ","284","0.691408142415133","0.647596086856687","0.735220197973579"
"Yes","2009","Not Employed","Couple + C. GT 16 ","456","0.574872684498037","0.541220274797042","0.608525094199032"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","215","0.703165059344331","0.651467074467714","0.754863044220947"
"Yes","2009","Employed","1-pers.-HH","795","0.550920663064808","0.524985852673763","0.576855473455854"
"Yes","2009","Employed","(Married) couple without C. ","1660","0.508724072086244","0.49147552594614","0.525972618226347"
"Yes","2009","Employed","Single parent ","431","0.616309801746947","0.57981375758019","0.652805845913703"
"Yes","2009","Employed","Couple + C. LE 16 ","1605","0.656375622464637","0.637259468546822","0.675491776382452"
"Yes","2009","Employed","Couple + C. GT 16 ","1406","0.632346191728271","0.612559078610869","0.652133304845673"
"Yes","2009","Employed","Couple + C. LE and GT 16","553","0.665357408951611","0.633930095964373","0.696784721938849"
"No","2009","Not Employed","1-pers.-HH","1129","0.781124394093363","0.759863865162182","0.802384923024543"
"No","2009","Not Employed","(Married) couple without C. ","2583","0.781186871627827","0.767205259666257","0.795168483589396"
"No","2009","Not Employed","Single parent ","141","0.465946926768357","0.408632753587072","0.523261099949642"
"No","2009","Not Employed","Couple + C. LE 16 ","143","0.308591857584867","0.264779802026421","0.352403913143313"
"No","2009","Not Employed","Couple + C. GT 16 ","373","0.425127315501963","0.391474905800968","0.458779725202958"
"No","2009","Not Employed","Couple + C. LE and GT 16","85","0.296834940655669","0.245136955779053","0.348532925532286"
"No","2009","Employed","1-pers.-HH","618","0.449079336935192","0.423144526544147","0.475014147326237"
"No","2009","Employed","(Married) couple without C. ","1567","0.491275927913756","0.474027381773653","0.508524474053859"
"No","2009","Employed","Single parent ","251","0.383690198253053","0.347194154086296","0.42018624241981"
"No","2009","Employed","Couple + C. LE 16 ","766","0.343624377535363","0.324508223617548","0.362740531453178"
"No","2009","Employed","Couple + C. GT 16 ","875","0.367653808271729","0.347866695154327","0.38744092138913"
"No","2009","Employed","Couple + C. LE and GT 16","313","0.334642591048389","0.303215278061151","0.366069904035627"
"Yes","2010","Not Employed","1-pers.-HH","","","",""
"Yes","2010","Not Employed","(Married) couple without C. ","","","",""
"Yes","2010","Not Employed","Single parent ","","","",""
"Yes","2010","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2010","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2010","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2010","Employed","1-pers.-HH","","","",""
"Yes","2010","Employed","(Married) couple without C. ","","","",""
"Yes","2010","Employed","Single parent ","","","",""
"Yes","2010","Employed","Couple + C. LE 16 ","","","",""
