"ple0024","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Urban Area","95","0.444479005313694","0.37437460138925","0.514583409238138"
"Yes","2009","Schleswig-Holstein","Rural Area","144","0.479013144375866","0.424106913792089","0.533919374959643"
"Yes","2009","Hamburg","Urban Area","120","0.415538346634017","0.356536682792503","0.474540010475531"
"Yes","2009","Hamburg","Rural Area","","","",""
"Yes","2009","Lower Saxony","Urban Area","379","0.439229525536801","0.405156741595347","0.473302309478256"
"Yes","2009","Lower Saxony","Rural Area","368","0.453376186132354","0.419008191132261","0.487744181132448"
"Yes","2009","Bremen","Urban Area","66","0.460417148559568","0.370102130105969","0.550732167013167"
"Yes","2009","Bremen","Rural Area","","","",""
"Yes","2009","North Rhine-Westphalia","Urban Area","1796","0.505076989157033","0.488465594988736","0.521688383325331"
"Yes","2009","North Rhine-Westphalia","Rural Area","66","0.629898057751086","0.537982087666949","0.721814027835223"
"Yes","2009","Hesse","Urban Area","464","0.465284263363676","0.43418212252573","0.496386404201622"
"Yes","2009","Hesse","Rural Area","95","0.443148979990325","0.377206658708333","0.509091301272318"
"Yes","2009","Rhineland-Palatinate,Saarland","Urban Area","372","0.491180943657583","0.455685464428699","0.526676422886466"
"Yes","2009","Rhineland-Palatinate,Saarland","Rural Area","118","0.47424981738295","0.4114673678106","0.5370322669553"
"Yes","2009","Baden-Württemberg","Urban Area","1071","0.519778094516177","0.497307447462813","0.542248741569542"
"Yes","2009","Baden-Württemberg","Rural Area","104","0.592681423358586","0.522259958603135","0.663102888114038"
"Yes","2009","Bavaria","Urban Area","597","0.490921880932626","0.462835148817773","0.519008613047479"
"Yes","2009","Bavaria","Rural Area","709","0.498308938918254","0.471803722529185","0.524814155307322"
"Yes","2009","Berlin","Urban Area","280","0.396278285927524","0.359158649811505","0.433397922043542"
"Yes","2009","Berlin","Rural Area","","","",""
"Yes","2009","Brandenburg","Urban Area","30","0.451733788663445","0.327857189140347","0.575610388186543"
"Yes","2009","Brandenburg","Rural Area","329","0.482323061155731","0.44587470759639","0.518771414715073"
"Yes","2009","Mecklenburg-Western Pomerania","Urban Area","32","0.518686959421998","0.387822849264307","0.649551069579689"
"Yes","2009","Mecklenburg-Western Pomerania","Rural Area","190","0.398566290945557","0.351347242538582","0.445785339352533"
"Yes","2009","Saxony","Urban Area","315","0.424371431023103","0.38741296288369","0.461329899162516"
"Yes","2009","Saxony","Rural Area","314","0.489514306947142","0.451549127355632","0.527479486538651"
"Yes","2009","Saxony-Anhalt","Urban Area","87","0.356314169837214","0.29027130142319","0.422357038251238"
"Yes","2009","Saxony-Anhalt","Rural Area","266","0.468868724509981","0.427351513683845","0.510385935336116"
"Yes","2009","Thuringia","Urban Area","110","0.506000905559186","0.443009814397507","0.568991996720864"
"Yes","2009","Thuringia","Rural Area","294","0.496286825369889","0.455204975986952","0.537368674752826"
"No","2009","Schleswig-Holstein","Urban Area","98","0.555520994686306","0.485416590761862","0.625625398610751"
"No","2009","Schleswig-Holstein","Rural Area","174","0.520986855624134","0.466080625040357","0.575893086207911"
"No","2009","Hamburg","Urban Area","148","0.584461653365983","0.525459989524469","0.643463317207497"
"No","2009","Hamburg","Rural Area","","","",""
"No","2009","Lower Saxony","Urban Area","436","0.560770474463199","0.526697690521744","0.594843258404653"
"No","2009","Lower Saxony","Rural Area","438","0.546623813867646","0.512255818867552","0.580991808867739"
"No","2009","Bremen","Urban Area","51","0.539582851440432","0.449267832986833","0.629897869894031"
"No","2009","Bremen","Rural Area","","","",""
"No","2009","North Rhine-Westphalia","Urban Area","1684","0.494923010842967","0.478311616674669","0.511534405011264"
"No","2009","North Rhine-Westphalia","Rural Area","40","0.370101942248914","0.278185972164777","0.462017912333051"
"No","2009","Hesse","Urban Area","524","0.534715736636324","0.503613595798378","0.56581787747427"
"No","2009","Hesse","Rural Area","123","0.556851020009675","0.490908698727682","0.622793341291667"
"No","2009","Rhineland-Palatinate,Saarland","Urban Area","390","0.508819056342417","0.473323577113534","0.544314535571301"
"No","2009","Rhineland-Palatinate,Saarland","Rural Area","125","0.52575018261705","0.4629677330447","0.5885326321894"
"No","2009","Baden-Württemberg","Urban Area","828","0.480221905483823","0.457751258430458","0.502692552537188"
"No","2009","Baden-Württemberg","Rural Area","83","0.407318576641414","0.336897111885962","0.477740041396865"
"No","2009","Bavaria","Urban Area","620","0.509078119067374","0.480991386952521","0.537164851182227"
"No","2009","Bavaria","Rural Area","658","0.501691061081746","0.475185844692678","0.528196277470815"
"No","2009","Berlin","Urban Area","387","0.603721714072476","0.566602077956458","0.640841350188495"
"No","2009","Berlin","Rural Area","","","",""
"No","2009","Brandenburg","Urban Area","32","0.548266211336555","0.424389611813457","0.672142810859653"
"No","2009","Brandenburg","Rural Area","393","0.517676938844268","0.481228585284927","0.55412529240361"
"No","2009","Mecklenburg-Western Pomerania","Urban Area","24","","",""
"No","2009","Mecklenburg-Western Pomerania","Rural Area","223","0.601433709054443","0.554214660647467","0.648652757461418"
"No","2009","Saxony","Urban Area","372","0.575628568976897","0.538670100837484","0.61258703711631"
"No","2009","Saxony","Rural Area","352","0.510485693052859","0.472520513461349","0.548450872644368"
"No","2009","Saxony-Anhalt","Urban Area","115","0.643685830162786","0.577642961748762","0.70972869857681"
