"ple0024","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","lower secondary degree","70","1","1","1"
"Yes","2009","Schleswig-Holstein","secondary school degree","71","1","1","1"
"Yes","2009","Schleswig-Holstein","college entrance qualification","71","1","1","1"
"Yes","2009","Schleswig-Holstein","Other degree","6","","",""
"Yes","2009","Schleswig-Holstein","no degree/no degree yet","10","","",""
"Yes","2009","Hamburg","lower secondary degree","17","","",""
"Yes","2009","Hamburg","secondary school degree","33","1","1","1"
"Yes","2009","Hamburg","college entrance qualification","57","1","1","1"
"Yes","2009","Hamburg","Other degree","3","","",""
"Yes","2009","Hamburg","no degree/no degree yet","7","","",""
"Yes","2009","Lower Saxony","lower secondary degree","179","1","1","1"
"Yes","2009","Lower Saxony","secondary school degree","269","1","1","1"
"Yes","2009","Lower Saxony","college entrance qualification","218","1","1","1"
"Yes","2009","Lower Saxony","Other degree","25","","",""
"Yes","2009","Lower Saxony","no degree/no degree yet","28","","",""
"Yes","2009","Bremen","lower secondary degree","12","","",""
"Yes","2009","Bremen","secondary school degree","23","","",""
"Yes","2009","Bremen","college entrance qualification","22","","",""
"Yes","2009","Bremen","Other degree","4","","",""
"Yes","2009","Bremen","no degree/no degree yet","2","","",""
"Yes","2009","North Rhine-Westphalia","lower secondary degree","484","1","1","1"
"Yes","2009","North Rhine-Westphalia","secondary school degree","433","1","1","1"
"Yes","2009","North Rhine-Westphalia","college entrance qualification","652","1","1","1"
"Yes","2009","North Rhine-Westphalia","Other degree","129","1","1","1"
"Yes","2009","North Rhine-Westphalia","no degree/no degree yet","81","1","1","1"
"Yes","2009","Hesse","lower secondary degree","114","1","1","1"
"Yes","2009","Hesse","secondary school degree","150","1","1","1"
"Yes","2009","Hesse","college entrance qualification","236","1","1","1"
"Yes","2009","Hesse","Other degree","26","","",""
"Yes","2009","Hesse","no degree/no degree yet","19","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","lower secondary degree","197","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","secondary school degree","109","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","college entrance qualification","111","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Other degree","30","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","no degree/no degree yet","18","","",""
"Yes","2009","Baden-Württemberg","lower secondary degree","339","1","1","1"
"Yes","2009","Baden-Württemberg","secondary school degree","309","1","1","1"
"Yes","2009","Baden-Württemberg","college entrance qualification","344","1","1","1"
"Yes","2009","Baden-Württemberg","Other degree","76","1","1","1"
"Yes","2009","Baden-Württemberg","no degree/no degree yet","45","1","1","1"
"Yes","2009","Bavaria","lower secondary degree","465","1","1","1"
"Yes","2009","Bavaria","secondary school degree","346","1","1","1"
"Yes","2009","Bavaria","college entrance qualification","351","1","1","1"
"Yes","2009","Bavaria","Other degree","50","1","1","1"
"Yes","2009","Bavaria","no degree/no degree yet","43","1","1","1"
"Yes","2009","Berlin","lower secondary degree","32","1","1","1"
"Yes","2009","Berlin","secondary school degree","87","1","1","1"
"Yes","2009","Berlin","college entrance qualification","126","1","1","1"
"Yes","2009","Berlin","Other degree","11","","",""
"Yes","2009","Berlin","no degree/no degree yet","12","","",""
"Yes","2009","Brandenburg","lower secondary degree","61","1","1","1"
"Yes","2009","Brandenburg","secondary school degree","165","1","1","1"
"Yes","2009","Brandenburg","college entrance qualification","101","1","1","1"
"Yes","2009","Brandenburg","Other degree","7","","",""
"Yes","2009","Brandenburg","no degree/no degree yet","10","","",""
"Yes","2009","Mecklenburg-Western Pomerania","lower secondary degree","37","1","1","1"
"Yes","2009","Mecklenburg-Western Pomerania","secondary school degree","98","1","1","1"
"Yes","2009","Mecklenburg-Western Pomerania","college entrance qualification","60","1","1","1"
"Yes","2009","Mecklenburg-Western Pomerania","Other degree","3","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no degree/no degree yet","10","","",""
"Yes","2009","Saxony","lower secondary degree","71","1","1","1"
"Yes","2009","Saxony","secondary school degree","349","1","1","1"
"Yes","2009","Saxony","college entrance qualification","176","1","1","1"
"Yes","2009","Saxony","Other degree","1","","",""
