"ple0024","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Saxony","West Germany","","","","","2"
"No","2009","Lower Saxony","West Germany","874","0.55405571969827","0.529858046676102","0.578253392720437","2"
"No","2009","Mecklenburg-Western Pomerania","East Germany","247","0.589451749374995","0.544930442603595","0.633973056146394","2"
"No","2009","Brandenburg","East Germany","425","0.520166391436169","0.485195513466935","0.555137269405402","2"
"No","2009","Lower Saxony","East Germany","","","","","2"
"No","2009","Schleswig-Holstein","East Germany","","","","","2"
"No","2009","Hamburg","East Germany","","","","","2"
"No","2009","Hamburg","West Germany","148","0.584461653365983","0.525459989524469","0.643463317207497","2"
"No","2009","Brandenburg","West Germany","","","","","2"
"No","2009","Bremen","East Germany","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","2009","North Rhine-Westphalia","East Germany","","","","","2"
"No","2009","Saxony","East Germany","724","0.541015388306376","0.514463032174232","0.56756774443852","2"
"No","2009","Schleswig-Holstein","West Germany","272","0.53238322891623","0.48912239734723","0.57564406048523","2"
"No","2009","Bremen","West Germany","51","0.539582851440432","0.449267832986833","0.629897869894031","2"
"No","2009","North Rhine-Westphalia","West Germany","1724","0.490597246525524","0.474235255667506","0.506959237383543","2"
"No","2009","Saxony-Anhalt","West Germany","","","","","2"
"No","2009","Hesse","West Germany","647","0.53925598174997","0.511123906169636","0.567388057330304","2"
"No","2009","Hesse","East Germany","","","","","2"
"No","2009","Rhineland-Palatinate,Saarland","West Germany","515","0.513044392242365","0.482142347400957","0.543946437083774","2"
"No","2009","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","2009","Saxony-Anhalt","East Germany","404","0.563652379396695","0.52832412901813","0.598980629775259","2"
"No","2009","Baden-Württemberg","West Germany","911","0.47207625709204","0.450653142277481","0.493499371906599","2"
"No","2009","Baden-Württemberg","East Germany","","","","","2"
"No","2009","Bavaria","West Germany","1278","0.505184676606989","0.485907275183171","0.524462078030806","2"
"No","2009","Bavaria","East Germany","","","","","2"
"No","2009","Berlin","West Germany","208","0.61552381974895","0.564919095122223","0.666128544375677","2"
"No","2009","Berlin","East Germany","179","0.58961096459994","0.535028713365281","0.644193215834599","2"
"No","2009","Thuringia","West Germany","","","","","2"
"No","2009","Thuringia","East Germany","407","0.500767295200136","0.466355513682639","0.535179076717634","2"
"Yes","2009","Schleswig-Holstein","West Germany","239","0.46761677108377","0.42435593951477","0.51087760265277","1"
