"ple0024","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","Urban Area","2951","0.690071445668325","0.676460788253351","0.703682103083298","2"
"No","2009","Full Time","Urban Area","1695","0.377567236142649","0.36332390869896","0.391810563586339","2"
"No","2009","Full Time","Rural Area","954","0.399808322311929","0.380263112821508","0.41935353180235","2"
"No","2009","Not Working","Rural Area","1606","0.672581895842715","0.653716868828829","0.691446922856602","2"
"No","2009","Part Time","Urban Area","1195","0.466651237832502","0.448072762792799","0.485229712872206","2"
"No","2009","Part Time","Rural Area","613","0.450979976850313","0.424726835933593","0.477233117767034","2"
"Yes","2009","Full Time","Urban Area","2755","0.622432763857351","0.608189436413661","0.636676091301041","1"
"Yes","2009","Full Time","Rural Area","1459","0.600191677688071","0.58064646819765","0.619736887178492","1"
"Yes","2009","Part Time","Urban Area","1575","0.533348762167498","0.514770287127794","0.551927237207201","1"
"Yes","2009","Part Time","Rural Area","767","0.549020023149686","0.522766882232966","0.575273164066407","1"
"Yes","2009","Not Working","Urban Area","1484","0.309928554331675","0.296317896916702","0.323539211746648","1"
"Yes","2009","Not Working","Rural Area","771","0.327418104157285","0.308553077143398","0.346283131171171","1"
"No","2010","Not Working","Urban Area","","","","","2"
"No","2010","Full Time","Urban Area","","","","","2"
"No","2010","Not Working","Rural Area","","","","","2"
"No","2010","Full Time","Rural Area","","","","","2"
"No","2010","Part Time","Urban Area","","","","","2"
"No","2010","Part Time","Rural Area","","","","","2"
"Yes","2010","Full Time","Urban Area","","","","","1"
"Yes","2010","Full Time","Rural Area","","","","","1"
"Yes","2010","Part Time","Urban Area","","","","","1"
"Yes","2010","Part Time","Rural Area","","","","","1"
"Yes","2010","Not Working","Urban Area","","","","","1"
"Yes","2010","Not Working","Rural Area","","","","","1"
"No","2011","Full Time","Urban Area","2439","0.492102925949037","0.478198259909414","0.506007591988659","2"
"No","2011","Not Working","Urban Area","3900","0.769260830342867","0.757874232612778","0.780647428072957","2"
"No","2011","Not Working","Rural Area","2214","0.800339318437082","0.785569695922249","0.815108940951916","2"
"No","2011","Full Time","Rural Area","1344","0.509592919223876","0.490812984037398","0.528372854410353","2"
"No","2011","Part Time","Urban Area","1691","0.544073536307849","0.526825255128235","0.561321817487462","2"
"No","2011","Part Time","Rural Area","933","0.595748705976549","0.572048148870659","0.619449263082439","2"
"Yes","2011","Full Time","Urban Area","2527","0.507897074050963","0.493992408011341","0.521801740090586","1"
"Yes","2011","Full Time","Rural Area","1378","0.490407080776124","0.471627145589647","0.509187015962602","1"
"Yes","2011","Part Time","Urban Area","1512","0.455926463692151","0.438678182512538","0.473174744871765","1"
"Yes","2011","Part Time","Rural Area","714","0.404251294023451","0.38055073691756","0.427951851129341","1"
"Yes","2011","Not Working","Urban Area","1359","0.230739169657132","0.219352571927043","0.242125767387222","1"
"Yes","2011","Not Working","Rural Area","600","0.199660681562918","0.184891059048084","0.214430304077751","1"
"No","2012","Full Time","Urban Area","","","","","2"
