"ple0024","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Part Time","1808","0.461759143110746","0.446591429323102","0.47692685689839","2"
"No","2009","Not Employed","Full Time","","","","","2"
"No","2009","Not Employed","Part Time","","","","","2"
"No","2009","Employed","Not Working","","","","","2"
"No","2009","Not Employed","Not Working","4557","0.684500639156828","0.673465013956221","0.695536264357435","2"
"No","2009","Employed","Full Time","2649","0.384809123752246","0.373297973709276","0.396320273795216","2"
"Yes","2009","Not Employed","Full Time","","","","","1"
"Yes","2009","Not Employed","Part Time","","","","","1"
"Yes","2009","Not Employed","Not Working","2255","0.315499360843172","0.304463735642565","0.326534986043779","1"
"Yes","2009","Employed","Full Time","4214","0.615190876247754","0.603679726204784","0.626702026290724","1"
"Yes","2009","Employed","Part Time","2342","0.538240856889254","0.52307314310161","0.553408570676898","1"
"Yes","2009","Employed","Not Working","","","","","1"
"No","2010","Employed","Part Time","","","","","2"
"No","2010","Not Employed","Full Time","","","","","2"
"No","2010","Employed","Not Working","","","","","2"
"No","2010","Not Employed","Part Time","","","","","2"
"No","2010","Not Employed","Not Working","","","","","2"
"No","2010","Employed","Full Time","","","","","2"
"Yes","2010","Not Employed","Full Time","","","","","1"
"Yes","2010","Not Employed","Part Time","","","","","1"
"Yes","2010","Not Employed","Not Working","","","","","1"
"Yes","2010","Employed","Full Time","","","","","1"
"Yes","2010","Employed","Part Time","","","","","1"
"Yes","2010","Employed","Not Working","","","","","1"
"No","2011","Not Employed","Full Time","","","","","2"
"No","2011","Employed","Part Time","2624","0.560245568234836","0.54627636779182","0.574214768677852","2"
"No","2011","Employed","Not Working","","","","","2"
"No","2011","Not Employed","Part Time","","","","","2"
"No","2011","Not Employed","Not Working","6114","0.779011876912966","0.769961073728933","0.788062680096999","2"
"No","2011","Employed","Full Time","3783","0.49779033451545","0.486613799913871","0.508966869117029","2"
"Yes","2011","Not Employed","Full Time","","","","","1"
"Yes","2011","Not Employed","Part Time","","","","","1"
"Yes","2011","Not Employed","Not Working","1959","0.220988123087034","0.211937319903001","0.230038926271067","1"
"Yes","2011","Employed","Full Time","3905","0.50220966548455","0.491033130882971","0.513386200086129","1"
"Yes","2011","Employed","Part Time","2226","0.439754431765164","0.425785231322148","0.45372363220818","1"
"Yes","2011","Employed","Not Working","","","","","1"
"No","2012","Not Employed","Full Time","","","","","2"
"No","2012","Not Employed","Part Time","","","","","2"
"No","2012","Employed","Part Time","","","","","2"
