"ple0024","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","9014","0.518388744849794","0.5110535877884","0.525723901911188","2"
"Yes","2009","8811","0.481611255150206","0.474276098088812","0.4889464122116","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","12521","0.621256238340205","0.614633971371007","0.627878505309402","2"
"Yes","2011","8090","0.378743761659795","0.372121494690598","0.385366028628992","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","12096","0.657659913897428","0.650878176241548","0.664441651553307","2"
"Yes","2013","6709","0.342340086102573","0.335558348446693","0.349121823758452","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","14714","0.627600675595902","0.621600146469145","0.63360120472266","2"
"Yes","2015","10221","0.372399324404098","0.36639879527734","0.378399853530855","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","15959","0.634487899575632","0.628694580371592","0.640281218779672","2"
"Yes","2017","10585","0.365512100424368","0.359718781220328","0.371305419628408","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","16750","0.676022963238354","0.6702974385019","0.681748487974808","2"
"Yes","2019","8915","0.323977036761645","0.318251512025191","0.329702561498099","1"
