"ple0024","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","lower secondary degree","795","1","1","1"
"Yes","2009","Not Employed","secondary school degree","480","1","1","1"
"Yes","2009","Not Employed","college entrance qualification","521","1","1","1"
"Yes","2009","Not Employed","Other degree","99","1","1","1"
"Yes","2009","Not Employed","no degree/no degree yet","229","1","1","1"
"Yes","2009","Employed","lower secondary degree","1435","1","1","1"
"Yes","2009","Employed","secondary school degree","2326","1","1","1"
"Yes","2009","Employed","college entrance qualification","2184","1","1","1"
"Yes","2009","Employed","Other degree","281","1","1","1"
"Yes","2009","Employed","no degree/no degree yet","83","1","1","1"
"Yes","2010","Not Employed","lower secondary degree","","","",""
"Yes","2010","Not Employed","secondary school degree","","","",""
"Yes","2010","Not Employed","college entrance qualification","","","",""
"Yes","2010","Not Employed","Other degree","","","",""
"Yes","2010","Not Employed","no degree/no degree yet","","","",""
"Yes","2010","Employed","lower secondary degree","","","",""
"Yes","2010","Employed","secondary school degree","","","",""
"Yes","2010","Employed","college entrance qualification","","","",""
"Yes","2010","Employed","Other degree","","","",""
"Yes","2010","Employed","no degree/no degree yet","","","",""
"Yes","2011","Not Employed","lower secondary degree","594","1","1","1"
"Yes","2011","Not Employed","secondary school degree","382","1","1","1"
"Yes","2011","Not Employed","college entrance qualification","522","1","1","1"
"Yes","2011","Not Employed","Other degree","132","1","1","1"
"Yes","2011","Not Employed","no degree/no degree yet","230","1","1","1"
"Yes","2011","Employed","lower secondary degree","1233","1","1","1"
"Yes","2011","Employed","secondary school degree","2090","1","1","1"
"Yes","2011","Employed","college entrance qualification","2138","1","1","1"
"Yes","2011","Employed","Other degree","336","1","1","1"
"Yes","2011","Employed","no degree/no degree yet","87","1","1","1"
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","454","1","1","1"
"Yes","2013","Not Employed","secondary school degree","290","1","1","1"
"Yes","2013","Not Employed","college entrance qualification","393","1","1","1"
"Yes","2013","Not Employed","Other degree","103","1","1","1"
"Yes","2013","Not Employed","no degree/no degree yet","174","1","1","1"
"Yes","2013","Employed","lower secondary degree","940","1","1","1"
"Yes","2013","Employed","secondary school degree","1749","1","1","1"
"Yes","2013","Employed","college entrance qualification","1952","1","1","1"
"Yes","2013","Employed","Other degree","249","1","1","1"
"Yes","2013","Employed","no degree/no degree yet","84","1","1","1"
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","510","1","1","1"
"Yes","2015","Not Employed","secondary school degree","385","1","1","1"
"Yes","2015","Not Employed","college entrance qualification","527","1","1","1"
"Yes","2015","Not Employed","Other degree","263","1","1","1"
"Yes","2015","Not Employed","no degree/no degree yet","277","1","1","1"
"Yes","2015","Employed","lower secondary degree","1297","1","1","1"
"Yes","2015","Employed","secondary school degree","2323","1","1","1"
"Yes","2015","Employed","college entrance qualification","2835","1","1","1"
