"ple0024","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","West Germany","3388","0.413474613144637","0.402929633515787","0.424019592773487","2"
"No","2009","Employed","East Germany","1069","0.416107779079781","0.397287457349165","0.434928100810398","2"
"No","2009","Not Employed","East Germany","1317","0.721689077875507","0.701272400170589","0.742105755580424","2"
"No","2009","Not Employed","West Germany","3240","0.674882158350959","0.661847554020319","0.687916762681599","2"
"Yes","2009","Not Employed","West Germany","1721","0.325117841649041","0.312083237318401","0.338152445979681","1"
"Yes","2009","Not Employed","East Germany","534","0.278310922124493","0.257894244419576","0.298727599829411","1"
"Yes","2009","Employed","West Germany","4990","0.586525386855363","0.575980407226513","0.597070366484213","1"
"Yes","2009","Employed","East Germany","1566","0.583892220920219","0.565071899189602","0.602712542650835","1"
"No","2010","Not Employed","East Germany","","","","","2"
"No","2010","Not Employed","West Germany","","","","","2"
"No","2010","Employed","West Germany","","","","","2"
"No","2010","Employed","East Germany","","","","","2"
"Yes","2010","Not Employed","West Germany","","","","","1"
"Yes","2010","Not Employed","East Germany","","","","","1"
"Yes","2010","Employed","West Germany","","","","","1"
"Yes","2010","Employed","East Germany","","","","","1"
"No","2011","Not Employed","East Germany","1618","0.814364256512295","0.797353855285849","0.831374657738742","2"
"No","2011","Employed","East Germany","1470","0.529450396771332","0.511199020322518","0.547701773220145","2"
"No","2011","Not Employed","West Germany","4496","0.770444187298991","0.759861118324681","0.781027256273302","2"
"No","2011","Employed","West Germany","4937","0.518218099990504","0.508256509356181","0.528179690624828","2"
"Yes","2011","Not Employed","East Germany","389","0.185635743487705","0.168625342261258","0.202646144714151","1"
"Yes","2011","Employed","West Germany","4728","0.481781900009496","0.471820309375172","0.491743490643819","1"
"Yes","2011","Employed","East Germany","1403","0.470549603228668","0.452298226779854","0.488800979677482","1"
"Yes","2011","Not Employed","West Germany","1570","0.229555812701009","0.218972743726698","0.240138881675319","1"
"No","2012","Not Employed","East Germany","","","","","2"
"No","2012","Employed","East Germany","","","","","2"
"No","2012","Not Employed","West Germany","","","","","2"
"No","2012","Employed","West Germany","","","","","2"
"Yes","2012","Not Employed","East Germany","","","","","1"
"Yes","2012","Employed","West Germany","","","","","1"
"Yes","2012","Employed","East Germany","","","","","1"
"Yes","2012","Not Employed","West Germany","","","","","1"
"No","2013","Not Employed","East Germany","1561","0.828648606383191","0.811565279031206","0.845731933735176","2"
"No","2013","Employed","East Germany","1397","0.538067460815045","0.518844978111279","0.557289943518812","2"
"No","2013","Not Employed","West Germany","4269","0.812581971080355","0.80222317123485","0.82294077092586","2"
"No","2013","Employed","West Germany","4869","0.555189982720526","0.544865669350524","0.565514296090528","2"
"Yes","2013","Not Employed","East Germany","308","0.171351393616809","0.154268066264825","0.188434720968794","1"
"Yes","2013","Not Employed","West Germany","1183","0.187418028919645","0.17705922907414","0.19777682876515","1"
"Yes","2013","Employed","West Germany","4031","0.444810017279474","0.434485703909472","0.455134330649476","1"
"Yes","2013","Employed","East Germany","1187","0.461932539184955","0.442710056481188","0.481155021888721","1"
"No","2014","Not Employed","East Germany","","","","","2"
"No","2014","Employed","East Germany","","","","","2"
"No","2014","Not Employed","West Germany","","","","","2"
"No","2014","Employed","West Germany","","","","","2"
"Yes","2014","Not Employed","East Germany","","","","","1"
"Yes","2014","Employed","East Germany","","","","","1"
"Yes","2014","Not Employed","West Germany","","","","","1"
"Yes","2014","Employed","West Germany","","","","","1"
"No","2015","Not Employed","West Germany","4681","0.78321018202476","0.773133816167887","0.793286547881634","2"
"No","2015","Not Employed","East Germany","1627","0.824418250232478","0.807863579298655","0.840972921166301","2"
"No","2015","Employed","East Germany","1740","0.556776316652247","0.539572631820145","0.573980001484348","2"
"No","2015","Employed","West Germany","6666","0.525801225103613","0.517308317169458","0.534294133037769","2"
"Yes","2015","Not Employed","East Germany","402","0.175581749767522","0.159027078833699","0.192136420701345","1"
"Yes","2015","Employed","East Germany","1463","0.443223683347753","0.426019998515652","0.460427368179855","1"
"Yes","2015","Not Employed","West Germany","1743","0.21678981797524","0.206713452118366","0.226866183832113","1"
"Yes","2015","Employed","West Germany","6613","0.474198774896386","0.465705866962231","0.482691682830542","1"
"No","2016","Employed","East Germany","","","","","2"
"No","2016","Not Employed","West Germany","","","","","2"
"No","2016","Not Employed","East Germany","","","","","2"
"No","2016","Employed","West Germany","","","","","2"
"Yes","2016","Not Employed","East Germany","","","","","1"
"Yes","2016","Employed","East Germany","","","","","1"
"Yes","2016","Not Employed","West Germany","","","","","1"
"Yes","2016","Employed","West Germany","","","","","1"
"No","2017","Employed","East Germany","1995","0.562991725986944","0.546736820190652","0.579246631783237","2"
"No","2017","Not Employed","West Germany","4748","0.786283759210898","0.776352560275622","0.796214958146174","2"
"No","2017","Not Employed","East Germany","1621","0.817297416892183","0.80049589407163","0.834098939712736","2"
"No","2017","Employed","West Germany","7595","0.543484508788902","0.535346108656764","0.551622908921039","2"
"Yes","2017","Not Employed","East Germany","411","0.182702583107817","0.165901060287264","0.199504105928369","1"
"Yes","2017","Employed","East Germany","1582","0.437008274013056","0.420753368216763","0.453263179809348","1"
"Yes","2017","Not Employed","West Germany","1797","0.213716240789102","0.203785041853826","0.223647439724378","1"
"Yes","2017","Employed","West Germany","6795","0.456515491211098","0.448377091078961","0.464653891343236","1"
"No","2018","Not Employed","West Germany","","","","","2"
"No","2018","Not Employed","East Germany","","","","","2"
"No","2018","Employed","West Germany","","","","","2"
"No","2018","Employed","East Germany","","","","","2"
"Yes","2018","Not Employed","West Germany","","","","","1"
"Yes","2018","Not Employed","East Germany","","","","","1"
"Yes","2018","Employed","East Germany","","","","","1"
"Yes","2018","Employed","West Germany","","","","","1"
"No","2019","Not Employed","West Germany","4679","0.820802341282208","0.811170154323479","0.830434528240937","2"
"No","2019","Not Employed","East Germany","1622","0.83755899320114","0.821221053583153","0.853896932819127","2"
"No","2019","Employed","West Germany","8167","0.588695871677715","0.580532906068085","0.596858837287344","2"
"No","2019","Employed","East Germany","2221","0.630543691826511","0.614730979228899","0.646356404424122","2"
"Yes","2019","Employed","East Germany","1358","0.369456308173489","0.353643595575878","0.385269020771101","1"
"Yes","2019","Employed","West Germany","5792","0.411304128322285","0.403141162712656","0.419467093931915","1"
