"ple0024","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Urban Area","5841","0.519361396434482","0.510290794471243","0.528431998397721","2"
"No","2009","Rural Area","3173","0.51631948257841","0.503850125475414","0.528788839681405","2"
"Yes","2009","Urban Area","5814","0.480638603565518","0.471568001602279","0.489709205528757","1"
"Yes","2009","Rural Area","2997","0.48368051742159","0.471211160318595","0.496149874524586","1"
"No","2010","Urban Area","","","","","2"
"No","2010","Rural Area","","","","","2"
"Yes","2010","Urban Area","","","","","1"
"Yes","2010","Rural Area","","","","","1"
"No","2011","Urban Area","8030","0.612453694769704","0.604213435914514","0.620693953624895","2"
"No","2011","Rural Area","4491","0.640130736175397","0.629031275526927","0.651230196823868","2"
"Yes","2011","Urban Area","5398","0.387546305230296","0.379306046375105","0.395786564085486","1"
"Yes","2011","Rural Area","2692","0.359869263824603","0.348769803176132","0.370968724473073","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","7732","0.65371427126488","0.645263638719861","0.6621649038099","2"
"No","2013","Rural Area","4364","0.665686944804747","0.654329816575003","0.677044073034491","2"
"Yes","2013","Urban Area","4445","0.346285728735119","0.3378350961901","0.354736361280139","1"
"Yes","2013","Rural Area","2264","0.334313055195253","0.322955926965509","0.345670183424997","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","9459","0.618562003718698","0.611100532184003","0.626023475253394","2"
"No","2015","Rural Area","5255","0.647149462610591","0.637082180380758","0.657216744840424","2"
"Yes","2015","Urban Area","6821","0.381437996281302","0.373976524746606","0.388899467815997","1"
"Yes","2015","Rural Area","3400","0.352850537389409","0.342783255159576","0.362917819619242","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","10172","0.620975583856628","0.613716859492759","0.628234308220497","2"
"No","2017","Rural Area","5787","0.664029623007761","0.654473135160433","0.673586110855089","2"
"Yes","2017","Urban Area","6988","0.379024416143372","0.371765691779503","0.386283140507241","1"
"Yes","2017","Rural Area","3597","0.335970376992239","0.326413889144911","0.345526864839567","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","9816","0.659464506457313","0.65196266150078","0.666966351413847","2"
"No","2019","Rural Area","5853","0.702075922090436","0.692532924968512","0.71161891921236","2"
"Yes","2019","Urban Area","5513","0.340535493542687","0.333033648586153","0.34803733849922","1"
"Yes","2019","Rural Area","2970","0.297924077909564","0.28838108078764","0.307467075031488","1"
