"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.51","6","20682","4","5","7","7","5.49","5.53","6","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","5.32","6","17997","3","4","6","7","5.3","5.34","6","6"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.53","6","7126","4","5","6","7","5.5","5.56","6","6"
"2013","5.42","6","18864","4","5","6","7","5.4","5.44","6","6"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","5.45","6","29282","4","5","6","7","5.43","5.47","6","6"
"2018","","","","","","","","","","",""
"2019","5.36","6","25746","3","5","6","7","5.34","5.38","6","6"
