"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","7.39","8","4558","4","6","10","10","7.31","7.47","8","8"
"1984","35-65 y.","8.07","9","6322","5","7","10","10","8.01","8.13","8","8"
"1984","66 and older","8.44","9","1273","5","8","10","10","8.33","8.55","9","9"
"1985","16-34 y.","7.43","8","4110","4","6","9","10","7.35","7.51","8","8"
"1985","35-65 y.","7.97","8","5756","5","7","10","10","7.91","8.03","8","8"
"1985","66 and older","8.28","9","1110","5","7","10","10","8.17","8.39","8","9"
"1986","16-34 y.","7.32","8","4066","4","6","9","10","7.25","7.39","8","8"
"1986","35-65 y.","7.9","8","5479","5","7","10","10","7.84","7.96","8","8"
"1986","66 and older","8.3","9","1040","6","7","10","10","8.19","8.41","8","9"
"1987","16-34 y.","7.42","8","2953","4","6","9","10","7.34","7.5","8","8"
"1987","35-65 y.","8.05","8","3925","5","7","10","10","7.99","8.11","8","8"
"1987","66 and older","8.32","9","1064","5","8","10","10","8.21","8.43","9","9"
"1988","16-34 y.","7.38","8","3826","4","6","9","10","7.3","7.46","8","8"
"1988","35-65 y.","7.82","8","5102","5","7","10","10","7.76","7.88","8","8"
"1988","66 and older","8.15","8","1050","5","7","10","10","8.04","8.26","8","9"
"1989","16-34 y.","7.3","8","3740","4","6","9","10","7.22","7.38","8","8"
"1989","35-65 y.","7.79","8","4886","5","7","9","10","7.73","7.85","8","8"
"1989","66 and older","8.24","9","1026","5","7","10","10","8.13","8.35","8","9"
"1990","16-34 y.","6.98","8","5309","3","5","9","10","6.91","7.05","7","8"
"1990","35-65 y.","7.66","8","7089","5","7","9","10","7.61","7.71","8","8"
"1990","66 and older","8.1","8","1489","5","7","10","10","7.99","8.21","8","9"
"1991","16-34 y.","6.96","8","5142","3","5","9","10","6.89","7.03","7","7"
"1991","35-65 y.","7.68","8","6997","5","7","9","10","7.63","7.73","8","8"
"1991","66 and older","8.25","9","1482","6","7","10","10","8.16","8.34","8","9"
"1992","16-34 y.","6.89","7","4947","3","5","9","10","6.82","6.96","7","7"
"1992","35-65 y.","7.53","8","6887","5","6","9","10","7.48","7.58","8","8"
