"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.8","6","20713","4","5","7","7","5.78","5.82","6","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","5.67","6","18000","4","5","7","7","5.65","5.69","6","6"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.81","6","7120","4","5","7","7","5.79","5.83","6","6"
"2013","5.77","6","18857","4","5","7","7","5.75","5.79","6","6"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","5.84","6","29279","4","5","7","7","5.83","5.85","6","6"
"2018","","","","","","","","","","",""
"2019","5.81","6","25780","4","5","7","7","5.8","5.82","6","6"
