"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","general elemantary","Rural Area","3.23","3","748","2","3","4","4","5","3.16","3.3","1","5","3","3"
"2007","general elemantary","Urban Area","3.28","3","1468","2","3","4","4","5","3.23","3.33","1","5","3","3"
"2007","higher education","Rural Area","3.52","4","1259","3","3","4","4","5","3.48","3.56","1","5","4","4"
"2007","higher education","Urban Area","3.49","4","3135","2","3","4","4","5","3.46","3.52","1","5","4","4"
"2007","higher vocational","Rural Area","3.51","4","579","3","3","4","4","5","3.44","3.58","1","5","4","4"
"2007","higher vocational","Urban Area","3.42","4","958","2","3","4","4","5","3.37","3.47","1","5","4","4"
"2007","in school","Rural Area","3.88","4","113","3","3","4","5","5","3.75","4.01","2","5","4","4"
"2007","in school","Urban Area","3.68","4","228","3","3","4","5","5","3.59","3.77","2","5","4","4"
"2007","inadequately","Rural Area","3.54","4","65","2","3","4","5","5","3.3","3.78","1","5","3","4"
"2007","inadequately","Urban Area","3.02","3","152","2","2","4","4","5","2.86","3.18","1","5","3","3"
"2007","middle vocational","Rural Area","3.42","3","3797","2","3","4","4","5","3.39","3.45","1","5","3","4"
"2007","middle vocational","Urban Area","3.42","4","6544","2","3","4","4","5","3.4","3.44","1","5","4","4"
"2007","vocational + Abi","Rural Area","3.46","4","290","2","3","4","4","5","3.36","3.56","1","5","4","4"
"2007","vocational + Abi","Urban Area","3.56","4","882","2","3","4","5","5","3.5","3.62","1","5","4","4"
"2008","general elemantary","Rural Area","3.34","3","684","2","3","4","4","5","3.27","3.41","1","5","3","4"
"2008","general elemantary","Urban Area","3.29","3","1342","2","3","4","4","5","3.24","3.34","1","5","3","3"
"2008","higher education","Rural Area","3.49","4","1203","3","3","4","4","5","3.45","3.53","1","5","4","4"
"2008","higher education","Urban Area","3.47","4","2996","2","3","4","4","5","3.44","3.5","1","5","4","4"
"2008","higher vocational","Rural Area","3.46","4","530","3","3","4","4","5","3.39","3.53","1","5","3","4"
"2008","higher vocational","Urban Area","3.4","4","887","2","3","4","4","5","3.34","3.46","1","5","3","4"
"2008","in school","Rural Area","3.79","4","117","3","3","4","5","5","3.65","3.93","1","5","4","4"
"2008","in school","Urban Area","3.82","4","235","3","3","4","5","5","3.72","3.92","1","5","4","4"
"2008","inadequately","Rural Area","3.38","3","51","2","3","4","4","5","3.09","3.67","1","5","3","4"
"2008","inadequately","Urban Area","3.15","3","135","2","3","4","4","5","2.99","3.31","1","5","3","3"
"2008","middle vocational","Rural Area","3.41","3","3581","2","3","4","4","5","3.38","3.44","1","5","3","4"
"2008","middle vocational","Urban Area","3.4","3","6161","2","3","4","4","5","3.38","3.42","1","5","4","4"
"2008","vocational + Abi","Rural Area","3.53","4","273","2","3","4","4","5","3.42","3.64","1","5","4","4"
"2008","vocational + Abi","Urban Area","3.55","4","825","3","3","4","4","5","3.49","3.61","1","5","4","4"
"2009","general elemantary","Rural Area","3.2","3","602","2","3","4","4","5","3.13","3.27","1","5","3","3"
"2009","general elemantary","Urban Area","3.22","3","1197","2","3","4","4","5","3.17","3.27","1","5","3","3"
"2009","higher education","Rural Area","3.53","4","1192","3","3","4","4","5","3.49","3.57","1","5","4","4"
"2009","higher education","Urban Area","3.49","4","2844","2","3","4","4","5","3.46","3.52","1","5","4","4"
"2009","higher vocational","Rural Area","3.37","3","513","2","3","4","4","5","3.29","3.45","1","5","3","4"
"2009","higher vocational","Urban Area","3.41","4","815","2","3","4","4","5","3.35","3.47","1","5","3","4"
"2009","in school","Rural Area","3.93","4","94","3","4","4","5","5","3.79","4.07","2","5","4","4"
"2009","in school","Urban Area","3.87","4","218","3","3","4","5","5","3.76","3.98","1","5","4","4"
"2009","inadequately","Rural Area","2.99","3","43","2","2","4","5","5","2.67","3.31","1","5","3","4"
"2009","inadequately","Urban Area","3.05","3","125","2","3","4","4","4","2.9","3.2","1","5","3","3"
"2009","middle vocational","Rural Area","3.41","4","3411","2","3","4","4","5","3.38","3.44","1","5","3","4"
"2009","middle vocational","Urban Area","3.35","3","5647","2","3","4","4","5","3.33","3.37","1","5","3","4"
"2009","vocational + Abi","Rural Area","3.56","4","257","3","3","4","4","5","3.46","3.66","1","5","4","4"
"2009","vocational + Abi","Urban Area","3.49","4","742","2","3","4","4","5","3.43","3.55","1","5","4","4"
"2010","general elemantary","Rural Area","3.29","3","527","2","3","4","4","5","3.22","3.36","1","5","3","3"
"2010","general elemantary","Urban Area","3.23","3","1105","2","3","4","4","5","3.17","3.29","1","5","3","3"
"2010","higher education","Rural Area","3.55","4","1107","3","3","4","4","5","3.5","3.6","1","5","4","4"
"2010","higher education","Urban Area","3.47","4","2729","2","3","4","4","5","3.44","3.5","1","5","4","4"
"2010","higher vocational","Rural Area","3.47","4","477","3","3","4","4","5","3.4","3.54","1","5","3","4"
"2010","higher vocational","Urban Area","3.49","4","778","2","3","4","4","5","3.43","3.55","1","5","4","4"
"2010","in school","Rural Area","4","4","69","3","4","4","5","5","3.8","4.2","1","5","4","4"
"2010","in school","Urban Area","3.79","4","200","3","3","4","5","5","3.68","3.9","1","5","4","4"
"2010","inadequately","Rural Area","3.21","3","34","2","2","4","5","5","2.83","3.59","1","5","3","3"
"2010","inadequately","Urban Area","2.99","3","106","2","2","4","4","5","2.78","3.2","1","5","3","3"
"2010","middle vocational","Rural Area","3.43","4","3111","2","3","4","4","5","3.4","3.46","1","5","4","4"
"2010","middle vocational","Urban Area","3.39","3","5205","2","3","4","4","5","3.37","3.41","1","5","4","4"
"2010","vocational + Abi","Rural Area","3.5","4","245","3","3","4","4","5","3.39","3.61","1","5","4","4"
"2010","vocational + Abi","Urban Area","3.53","4","700","3","3","4","5","5","3.47","3.59","1","5","4","4"
"2011","general elemantary","Rural Area","3.29","3","744","2","3","4","4","5","3.22","3.36","1","5","3","4"
"2011","general elemantary","Urban Area","3.3","3","1423","2","3","4","4","5","3.25","3.35","1","5","3","4"
"2011","higher education","Rural Area","3.54","4","1341","3","3","4","4","5","3.5","3.58","1","5","4","4"
"2011","higher education","Urban Area","3.56","4","3251","3","3","4","4","5","3.53","3.59","1","5","4","4"
"2011","higher vocational","Rural Area","3.45","4","577","2","3","4","4","5","3.38","3.52","1","5","4","4"
"2011","higher vocational","Urban Area","3.55","4","871","3","3","4","5","5","3.5","3.6","1","5","4","4"
"2011","in school","Rural Area","3.81","4","76","3","3","4","5","5","3.64","3.98","1","5","4","4"
"2011","in school","Urban Area","3.92","4","236","3","3","4","5","5","3.82","4.02","2","5","4","4"
"2011","inadequately","Rural Area","3.38","3","65","2","3","4","5","5","3.1","3.66","1","5","3","4"
"2011","inadequately","Urban Area","3.12","3","165","2","3","4","4","5","2.97","3.27","1","5","3","3"
"2011","middle vocational","Rural Area","3.45","4","4010","2","3","4","4","5","3.42","3.48","1","5","4","4"
"2011","middle vocational","Urban Area","3.43","4","6470","2","3","4","4","5","3.41","3.45","1","5","4","4"
"2011","vocational + Abi","Rural Area","3.6","4","320","3","3","4","4","5","3.51","3.69","1","5","4","4"
"2011","vocational + Abi","Urban Area","3.51","4","885","2","3","4","4","5","3.45","3.57","1","5","4","4"
