"year","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1984","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","Female","7.2","8","5613","7.14","7.26","4","5","9","10"
"1984","Westdeutschland, alte Bundeslaender","Male","6.39","6","2224","6.28","6.5","3","5","8","10"
"1985","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1985","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","Female","7.14","7","4914","7.08","7.2","4","5","9","10"
"1985","Westdeutschland, alte Bundeslaender","Male","6.4","6","1519","6.28","6.52","3","5","8","10"
"1986","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1986","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","Female","7.06","7","4711","7","7.12","4","5","9","10"
"1986","Westdeutschland, alte Bundeslaender","Male","6.42","7","1676","6.31","6.53","3","5","8","10"
"1987","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1987","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","Female","7.14","7","4670","7.08","7.2","5","6","9","10"
"1987","Westdeutschland, alte Bundeslaender","Male","6.5","7","1691","6.39","6.61","4","5","8","10"
"1988","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1988","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","Female","6.95","7","4476","6.89","7.01","4","5","8","10"
"1988","Westdeutschland, alte Bundeslaender","Male","6.39","7","1637","6.28","6.5","3","5","8","10"
"1989","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1989","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","Female","6.85","7","4366","6.79","6.91","4","5","8","10"
"1989","Westdeutschland, alte Bundeslaender","Male","6.38","6","1698","6.27","6.49","3","5","8","10"
"1990","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1990","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1990","Westdeutschland, alte Bundeslaender","Female","6.83","7","4331","6.77","6.89","4","5","8","10"
"1990","Westdeutschland, alte Bundeslaender","Male","6.4","7","2060","6.3","6.5","4","5","8","9"
"1991","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1991","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1991","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"1991","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"1992","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"1992","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"1992","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"1992","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"1993","Ostdeutschland, neue Bundeslaender","Female","6.36","7","1480","6.25","6.47","3","5","8","9"
"1993","Ostdeutschland, neue Bundeslaender","Male","6.21","6","794","6.06","6.36","4","5","8","9"
"1993","Westdeutschland, alte Bundeslaender","Female","6.62","7","4254","6.56","6.68","4","5","8","9"
"1993","Westdeutschland, alte Bundeslaender","Male","6.35","6","2094","6.25","6.45","4","5","8","9"
"1994","Ostdeutschland, neue Bundeslaender","Female","6.32","7","1524","6.22","6.42","3","5","8","9"
"1994","Ostdeutschland, neue Bundeslaender","Male","6.06","6","829","5.91","6.21","3","5","8","9"
"1994","Westdeutschland, alte Bundeslaender","Female","6.62","7","4247","6.56","6.68","4","5","8","9"
"1994","Westdeutschland, alte Bundeslaender","Male","6.34","6","2034","6.24","6.44","3","5","8","9"
"1995","Ostdeutschland, neue Bundeslaender","Female","6.38","7","1498","6.28","6.48","3","5","8","9"
"1995","Ostdeutschland, neue Bundeslaender","Male","6.17","6","868","6.03","6.31","3","5","8","9"
"1995","Westdeutschland, alte Bundeslaender","Female","6.61","7","4463","6.55","6.67","4","5","8","9"
"1995","Westdeutschland, alte Bundeslaender","Male","6.35","7","2302","6.26","6.44","3","5","8","9"
"1996","Ostdeutschland, neue Bundeslaender","Female","6.36","7","1495","6.26","6.46","4","5","8","9"
"1996","Ostdeutschland, neue Bundeslaender","Male","6.36","6","860","6.23","6.49","4","5","8","9"
"1996","Westdeutschland, alte Bundeslaender","Female","6.6","7","4376","6.54","6.66","4","5","8","9"
"1996","Westdeutschland, alte Bundeslaender","Male","6.35","7","2275","6.26","6.44","4","5","8","9"
"1997","Ostdeutschland, neue Bundeslaender","Female","6.5","7","1469","6.4","6.6","4","5","8","9"
"1997","Ostdeutschland, neue Bundeslaender","Male","6.23","6","921","6.1","6.36","4","5","8","9"
"1997","Westdeutschland, alte Bundeslaender","Female","6.53","7","4267","6.47","6.59","4","5","8","9"
"1997","Westdeutschland, alte Bundeslaender","Male","6.38","7","2281","6.29","6.47","4","5","8","9"
"1998","Ostdeutschland, neue Bundeslaender","Female","6.48","7","1607","6.39","6.57","4","5","8","9"
"1998","Ostdeutschland, neue Bundeslaender","Male","6.44","7","1036","6.32","6.56","4","5","8","9"
"1998","Westdeutschland, alte Bundeslaender","Female","6.62","7","4810","6.56","6.68","4","5","8","9"
"1998","Westdeutschland, alte Bundeslaender","Male","6.45","7","2494","6.36","6.54","4","5","8","9"
"1999","Ostdeutschland, neue Bundeslaender","Female","6.5","7","1582","6.41","6.59","4","5","8","9"
"1999","Ostdeutschland, neue Bundeslaender","Male","6.42","7","1041","6.3","6.54","4","5","8","9"
"1999","Westdeutschland, alte Bundeslaender","Female","6.59","7","4605","6.53","6.65","4","5","8","9"
"1999","Westdeutschland, alte Bundeslaender","Male","6.38","7","2518","6.29","6.47","4","5","8","9"
"2000","Ostdeutschland, neue Bundeslaender","Female","6.63","7","2445","6.55","6.71","4","5","8","9"
"2000","Ostdeutschland, neue Bundeslaender","Male","6.35","6","1614","6.25","6.45","4","5","8","9"
"2000","Westdeutschland, alte Bundeslaender","Female","6.74","7","8559","6.7","6.78","4","5","8","10"
"2000","Westdeutschland, alte Bundeslaender","Male","6.41","7","4770","6.35","6.47","3","5","8","9"
"2001","Ostdeutschland, neue Bundeslaender","Female","6.62","7","2336","6.54","6.7","4","5","8","9"
"2001","Ostdeutschland, neue Bundeslaender","Male","6.44","7","1596","6.34","6.54","4","5","8","9"
"2001","Westdeutschland, alte Bundeslaender","Female","6.75","7","7766","6.71","6.79","4","5","8","9"
"2001","Westdeutschland, alte Bundeslaender","Male","6.48","7","4376","6.41","6.55","4","5","8","9"
"2002","Ostdeutschland, neue Bundeslaender","Female","6.52","7","2302","6.44","6.6","4","5","8","9"
"2002","Ostdeutschland, neue Bundeslaender","Male","6.29","6","1585","6.19","6.39","4","5","8","9"
"2002","Westdeutschland, alte Bundeslaender","Female","6.64","7","8131","6.6","6.68","4","5","8","9"
"2002","Westdeutschland, alte Bundeslaender","Male","6.4","7","4617","6.34","6.46","4","5","8","9"
"2003","Ostdeutschland, neue Bundeslaender","Female","6.5","7","2303","6.42","6.58","4","5","8","9"
"2003","Ostdeutschland, neue Bundeslaender","Male","6.45","7","1658","6.36","6.54","4","5","8","9"
"2003","Westdeutschland, alte Bundeslaender","Female","6.66","7","7803","6.62","6.7","4","5","8","9"
"2003","Westdeutschland, alte Bundeslaender","Male","6.42","7","4737","6.36","6.48","3","5","8","9"
"2004","Ostdeutschland, neue Bundeslaender","Female","6.4","7","2287","6.32","6.48","4","5","8","9"
"2004","Ostdeutschland, neue Bundeslaender","Male","6.31","6","1637","6.21","6.41","4","5","8","9"
"2004","Westdeutschland, alte Bundeslaender","Female","6.64","7","7648","6.6","6.68","4","5","8","9"
"2004","Westdeutschland, alte Bundeslaender","Male","6.46","7","4657","6.4","6.52","4","5","8","9"
"2005","Ostdeutschland, neue Bundeslaender","Female","6.54","7","2190","6.46","6.62","4","5","8","9"
"2005","Ostdeutschland, neue Bundeslaender","Male","6.4","7","1586","6.3","6.5","4","5","8","9"
"2005","Westdeutschland, alte Bundeslaender","Female","6.6","7","7329","6.55","6.65","4","5","8","9"
"2005","Westdeutschland, alte Bundeslaender","Male","6.43","7","4559","6.37","6.49","4","5","8","9"
"2006","Ostdeutschland, neue Bundeslaender","Female","6.49","7","2292","6.41","6.57","4","5","8","9"
"2006","Ostdeutschland, neue Bundeslaender","Male","6.48","7","1700","6.39","6.57","4","5","8","9"
"2006","Westdeutschland, alte Bundeslaender","Female","6.62","7","7890","6.58","6.66","4","5","8","9"
"2006","Westdeutschland, alte Bundeslaender","Male","6.44","7","4940","6.38","6.5","4","5","8","9"
"2007","Ostdeutschland, neue Bundeslaender","Female","6.5","7","2183","6.42","6.58","4","5","8","9"
"2007","Ostdeutschland, neue Bundeslaender","Male","6.49","7","1605","6.39","6.59","4","5","8","9"
"2007","Westdeutschland, alte Bundeslaender","Female","6.63","7","7370","6.59","6.67","4","5","8","9"
"2007","Westdeutschland, alte Bundeslaender","Male","6.57","7","4695","6.51","6.63","4","5","8","9"
"2008","Ostdeutschland, neue Bundeslaender","Female","6.7","7","2063","6.62","6.78","4","5","8","9"
"2008","Ostdeutschland, neue Bundeslaender","Male","6.62","7","1606","6.53","6.71","4","5","8","9"
"2008","Westdeutschland, alte Bundeslaender","Female","6.65","7","6825","6.6","6.7","4","5","8","9"
"2008","Westdeutschland, alte Bundeslaender","Male","6.58","7","4414","6.52","6.64","4","5","8","9"
"2009","Ostdeutschland, neue Bundeslaender","Female","6.71","7","1973","6.63","6.79","5","5","8","9"
"2009","Ostdeutschland, neue Bundeslaender","Male","6.67","7","1517","6.58","6.76","4","5","8","9"
"2009","Westdeutschland, alte Bundeslaender","Female","6.68","7","6377","6.63","6.73","4","5","8","9"
"2009","Westdeutschland, alte Bundeslaender","Male","6.57","7","4240","6.51","6.63","4","5","8","9"
"2010","Ostdeutschland, neue Bundeslaender","Female","6.76","7","2567","6.69","6.83","5","5","8","9"
"2010","Ostdeutschland, neue Bundeslaender","Male","6.78","7","1806","6.69","6.87","4","5","8","9"
"2010","Westdeutschland, alte Bundeslaender","Female","6.69","7","9321","6.65","6.73","4","5","8","9"
"2010","Westdeutschland, alte Bundeslaender","Male","6.69","7","5956","6.64","6.74","4","5","8","9"
